localhost/voipmonitor/vllm	jj-r32-spark-sm121	74e53e710bef	34.4 GB	5 days ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm17b78ef-b12xcd3ce19-fi1ac6942-cu132-20260818	276f00868134	25.7 GB	4 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm9eb28db-b12xcd3ce19-fi1ac6942-cu132-20260817	5f4691ed91c9	25.7 GB	4 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm28e8eaf-b12x06db0f4-fi1ac6942-cu132-20260808	69f83ec7efff	25.8 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm44700e3-b12x06db0f4-fi1ac6942-cu132-20260808	3055794c5160	25.8 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r28-spark-sm121-vllm47d1950-si200c1db-fi7ad08da-cu132-20260804	5ac378214692	25.7 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p3p1-spark-sm121-vllm41ae549-si2b9bf2a-fi7ad08da-cu132-20260803	b8b163757819	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p3-spark-sm121-vllm92b27a4-si2b9bf2a-fi7ad08da-cu132-20260803	dfad43d4b2de	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm9e70264-si9c34ff8-fi7ad08da-cu132-20260730	6c3586c535b7	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm6dbe127-si9c34ff8-fi7ad08da-cu132-20260730	777bd6bbdfef	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p1-ds4-spark-sm121-vllm2167295-si6a92bcc-fi7ad08da-cu132-20260722	2dc397ccf5dd	25.1 GB	7 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p0-ds4-spark-sm121-vllm2167295-si6a92bcc-fi801d57a-cu132-20260722	83c03df2d236	25.1 GB	7 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v19-dspark-spark-sm121-vllm371085e-b12xc7dc733-fice40d25-cu132-20260719	e17c0d62009c	25.1 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p5-quantfix-spark-sm121-vllm4966149-b12x6b10833-fi7ad08da-cu132-20260718	1cc876901bfb	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p4-grid48-spark-sm121-vllmdf7a0b7-b12x6b10833-fi801d57a-cu132-20260718	fa34c82d5098	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p3-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	18196de8525d	24.6 GB	8 weeks ago
<none>	<none>	86c323024209	24.6 GB	8 weeks ago
<none>	<none>	45c2fb6f72c7	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p2-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	132858481974	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p1-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	6dee37f8af25	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	a60741b76f22	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p3-spark-sm121-vllm6a5a106-b12xfe06f49-fic0700ff-cu132-20260716	f48058737ff9	24.6 GB	2 months ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p2-spark-sm121-vllm8f86f42-b12x1bcc652-fi3245a18-cu132-20260716	4a062ad1cb95	24.6 GB	2 months ago
localhost/voipmonitor/vllm	fathomless-firmament-v16p1-spark-sm121-vllm8f86f42-b12x1bcc652-fi801d57a-cu132-20260716	4cec256d3b2a	24.6 GB	2 months ago
