ea031e1d3d05	localhost/voipmonitor/build-candidates	jj-r38-runtime-20260915T163156Z-64815	2026-09-15 16:33:13 +0000 UTC	35.9 GB
ea031e1d3d05	localhost/voipmonitor/vllm	jj-r38-spark-sm121	2026-09-15 16:33:13 +0000 UTC	35.9 GB
56757ca24b13	<none>	<none>	2026-09-15 16:33:12 +0000 UTC	35.9 GB
a3d17627b567	<none>	<none>	2026-09-15 16:33:12 +0000 UTC	35.9 GB
d254a9e4289f	<none>	<none>	2026-09-15 16:33:12 +0000 UTC	35.9 GB
d2b71f02e5c6	<none>	<none>	2026-09-15 16:33:06 +0000 UTC	35.9 GB
439f62616867	<none>	<none>	2026-09-15 16:32:53 +0000 UTC	35.1 GB
b31d14149cca	<none>	<none>	2026-09-15 16:32:52 +0000 UTC	35.1 GB
f335c14f0154	<none>	<none>	2026-09-15 16:32:52 +0000 UTC	35.1 GB
8e1316d1c3fd	<none>	<none>	2026-09-15 16:32:51 +0000 UTC	35.1 GB
2c6a890d037b	<none>	<none>	2026-09-15 16:32:50 +0000 UTC	34.8 GB
0b2252cf89ed	<none>	<none>	2026-09-15 16:32:48 +0000 UTC	34.9 GB
2aa3ea5d6f5e	<none>	<none>	2026-09-15 16:32:24 +0000 UTC	34.9 GB
6ff2f9d6d747	<none>	<none>	2026-09-15 16:32:24 +0000 UTC	34.9 GB
2e327a610ef4	<none>	<none>	2026-09-15 16:32:22 +0000 UTC	34.8 GB
d8cdd18c50a0	<none>	<none>	2026-09-15 16:32:21 +0000 UTC	34.8 GB
e6df075918af	<none>	<none>	2026-09-15 16:32:21 +0000 UTC	34.8 GB
31be6a00cbd9	<none>	<none>	2026-09-15 16:32:21 +0000 UTC	34.8 GB
d559aa83f9f9	<none>	<none>	2026-09-15 16:32:20 +0000 UTC	34.8 GB
eb0739cdc7da	<none>	<none>	2026-09-15 16:32:20 +0000 UTC	34.8 GB
ca0d05983346	<none>	<none>	2026-09-15 16:32:20 +0000 UTC	34.8 GB
d113e3877777	<none>	<none>	2026-09-15 16:32:20 +0000 UTC	34.8 GB
0cffec6d1589	<none>	<none>	2026-09-15 16:32:19 +0000 UTC	34.8 GB
32c3ba375354	<none>	<none>	2026-09-15 16:32:19 +0000 UTC	34.8 GB
24a236862702	<none>	<none>	2026-09-15 16:32:18 +0000 UTC	34.8 GB
befa1d01903a	<none>	<none>	2026-09-15 16:32:10 +0000 UTC	34.7 GB
08e91a3b6301	<none>	<none>	2026-09-15 16:32:01 +0000 UTC	34.4 GB
61e1c7827eb3	<none>	<none>	2026-09-15 16:32:01 +0000 UTC	34.4 GB
d379c0be155b	<none>	<none>	2026-09-15 16:32:00 +0000 UTC	34.4 GB
e5cc211adf93	<none>	<none>	2026-09-15 16:31:59 +0000 UTC	34.4 GB
28b3bcdf1b47	<none>	<none>	2026-09-15 16:31:59 +0000 UTC	34.4 GB
112a1dbebc6c	<none>	<none>	2026-09-15 16:31:59 +0000 UTC	37.4 GB
45614cd3d6e8	localhost/voipmonitor/build-components	jj-r38-flashinfer-20260915T160431Z-59162	2026-09-15 16:31:52 +0000 UTC	37.4 GB
68a9fa4b513e	<none>	<none>	2026-09-15 16:31:52 +0000 UTC	37.4 GB
16680ede8b8e	<none>	<none>	2026-09-15 16:31:51 +0000 UTC	37.4 GB
013e40b333a3	<none>	<none>	2026-09-15 16:31:51 +0000 UTC	37.4 GB
b9b413141ece	<none>	<none>	2026-09-15 16:31:50 +0000 UTC	37.4 GB
129d4b9b4cb9	<none>	<none>	2026-09-15 16:31:39 +0000 UTC	37.4 GB
12ec5cf73645	<none>	<none>	2026-09-15 16:04:50 +0000 UTC	35 GB
90ba300de575	<none>	<none>	2026-09-15 16:04:46 +0000 UTC	35 GB
42384a470240	<none>	<none>	2026-09-15 16:04:36 +0000 UTC	34.4 GB
c8f161376d86	<none>	<none>	2026-09-15 16:04:32 +0000 UTC	34.4 GB
52778cedaf91	<none>	<none>	2026-09-15 16:04:32 +0000 UTC	34.4 GB
7bada1125097	localhost/sol-h3-spark/stage2	ce7b6f6a735ad6e2	2026-09-12 04:22:42 +0000 UTC	20.7 GB
47da48bde6e3	<none>	<none>	2026-09-12 04:22:42 +0000 UTC	20.4 GB
ac599488d3b3	<none>	<none>	2026-09-12 04:22:40 +0000 UTC	20.4 GB
cb892fbdf439	<none>	<none>	2026-09-12 04:20:04 +0000 UTC	20 GB
bafe67a0c123	<none>	<none>	2026-09-12 04:19:05 +0000 UTC	19.5 GB
c433fb98684e	<none>	<none>	2026-09-12 04:18:37 +0000 UTC	8.16 GB
4796d8300f98	localhost/sol-h3-spark/stage1	1992711d52ebccab	2026-09-12 04:18:25 +0000 UTC	23.3 GB
09e829016ea3	<none>	<none>	2026-09-12 04:18:25 +0000 UTC	22.4 GB
d3b3030ef120	<none>	<none>	2026-09-12 04:18:19 +0000 UTC	22.4 GB
4c91223ee590	<none>	<none>	2026-09-12 04:18:17 +0000 UTC	21.6 GB
5a4185579b68	<none>	<none>	2026-09-12 04:18:15 +0000 UTC	21.6 GB
5cdb4f9de1bc	<none>	<none>	2026-09-12 04:17:23 +0000 UTC	21.5 GB
41e8be31fe9a	<none>	<none>	2026-09-12 04:15:51 +0000 UTC	20.9 GB
bb57959b31b3	<none>	<none>	2026-09-12 03:54:11 +0000 UTC	7.7 GB
0bad224f667e	localhost/sol-h3-spark/qwen	4a14585f9da54ac2	2026-09-12 03:54:08 +0000 UTC	22.9 GB
b1a7d7923294	<none>	<none>	2026-09-12 03:54:08 +0000 UTC	22.9 GB
53e4cc0fdd7e	<none>	<none>	2026-09-12 03:54:07 +0000 UTC	22.9 GB
80c456120860	<none>	<none>	2026-09-12 03:53:45 +0000 UTC	22.9 GB
9af34d01b9b3	<none>	<none>	2026-09-12 03:53:27 +0000 UTC	22.3 GB
6da7c57820ba	<none>	<none>	2026-09-12 03:53:22 +0000 UTC	19.8 GB
4c5992148bb8	localhost/sol-h3-test/qwen-audio-291	20260911	2026-09-12 02:27:02 +0000 UTC	22.5 GB
4b08e09960d4	<none>	<none>	2026-09-12 02:26:42 +0000 UTC	22.5 GB
16b7cae7454c	localhost/sol-h3-test/stage1	20260911	2026-09-12 02:20:58 +0000 UTC	23.1 GB
5cc4f0f3d7bc	<none>	<none>	2026-09-12 02:20:58 +0000 UTC	22.2 GB
1fcd2e93e3d1	<none>	<none>	2026-09-12 02:20:52 +0000 UTC	22.2 GB
416ac72fb261	<none>	<none>	2026-09-12 02:19:48 +0000 UTC	21.4 GB
218a6885700f	<none>	<none>	2026-09-12 02:19:46 +0000 UTC	21.4 GB
1a9b4824460b	<none>	<none>	2026-09-12 02:18:57 +0000 UTC	21.3 GB
86de1552c097	localhost/sol-h3-test/qwen-audio	20260911	2026-09-12 02:18:24 +0000 UTC	22.4 GB
c43a43b2c9bd	localhost/sol-h3-test/qwen	20260911	2026-09-12 02:15:04 +0000 UTC	22.4 GB
090417dd627a	<none>	<none>	2026-09-12 02:15:03 +0000 UTC	22.4 GB
d12d09442b27	<none>	<none>	2026-09-12 02:15:03 +0000 UTC	22.4 GB
8c78716ac7a8	<none>	<none>	2026-09-12 02:14:47 +0000 UTC	22.3 GB
18412f00134e	<none>	<none>	2026-09-12 02:14:41 +0000 UTC	19.8 GB
25ef9135bb22	<none>	<none>	2026-09-12 02:14:41 +0000 UTC	19.8 GB
bd11383a5464	<none>	<none>	2026-09-12 02:14:40 +0000 UTC	19.8 GB
8c5645e0cef0	<none>	<none>	2026-09-12 02:14:39 +0000 UTC	19.8 GB
fe330b7a5d88	localhost/sol-h3-test/stage2-audio-candidate	20260911	2026-09-12 02:12:34 +0000 UTC	19.9 GB
54bbdc22fe1b	<none>	<none>	2026-09-12 02:09:49 +0000 UTC	20.9 GB
0d8dd6d6db79	<none>	<none>	2026-09-12 02:09:18 +0000 UTC	7.7 GB
b996832d73d3	<none>	<none>	2026-09-12 02:09:18 +0000 UTC	7.7 GB
8f04ca0407cd	<none>	<none>	2026-09-12 02:09:13 +0000 UTC	7.7 GB
9dfb6d8d5f38	<none>	<none>	2026-09-12 02:08:49 +0000 UTC	7.1 GB
46e443b1e6f8	<none>	<none>	2026-09-12 02:08:48 +0000 UTC	7.1 GB
a45f067f5ba4	localhost/sol-h3-test/stage2	20260911	2026-09-12 02:03:12 +0000 UTC	20.2 GB
99bae85d8609	<none>	<none>	2026-09-12 02:03:12 +0000 UTC	19.9 GB
918a775b543f	<none>	<none>	2026-09-12 02:03:10 +0000 UTC	19.9 GB
7bd3ed46cf16	<none>	<none>	2026-09-12 02:00:39 +0000 UTC	19.5 GB
451f304c80fe	<none>	<none>	2026-09-12 01:59:46 +0000 UTC	19.5 GB
0f0eb0cb66b0	<none>	<none>	2026-09-12 01:56:22 +0000 UTC	8.16 GB
70b76bbaf221	<none>	<none>	2026-09-12 01:56:22 +0000 UTC	8.16 GB
a06309516d3d	<none>	<none>	2026-09-12 01:56:17 +0000 UTC	8.16 GB
e6199c1e053f	<none>	<none>	2026-09-12 01:55:59 +0000 UTC	7.59 GB
b836434900f7	<none>	<none>	2026-09-12 01:55:59 +0000 UTC	7.59 GB
b65162ec72e4	ghcr.io/astral-sh/uv	0.12.13	2026-09-10 18:52:40 +0000 UTC	46.9 MB
74e53e710bef	localhost/voipmonitor/vllm	jj-r32-spark-sm121	2026-09-10 14:50:10 +0000 UTC	34.4 GB
276f00868134	localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm17b78ef-b12xcd3ce19-fi1ac6942-cu132-20260818	2026-08-18 14:57:35 +0000 UTC	25.7 GB
5f4691ed91c9	localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm9eb28db-b12xcd3ce19-fi1ac6942-cu132-20260817	2026-08-18 02:47:47 +0000 UTC	25.7 GB
69f83ec7efff	localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm28e8eaf-b12x06db0f4-fi1ac6942-cu132-20260808	2026-08-09 22:19:10 +0000 UTC	25.8 GB
3055794c5160	localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm44700e3-b12x06db0f4-fi1ac6942-cu132-20260808	2026-08-09 13:40:02 +0000 UTC	25.8 GB
5ac378214692	localhost/voipmonitor/vllm	gilded-gnosis-v20-r28-spark-sm121-vllm47d1950-si200c1db-fi7ad08da-cu132-20260804	2026-08-04 19:12:39 +0000 UTC	25.7 GB
b8b163757819	localhost/voipmonitor/vllm	gilded-gnosis-v20p3p1-spark-sm121-vllm41ae549-si2b9bf2a-fi7ad08da-cu132-20260803	2026-08-03 18:27:13 +0000 UTC	25.7 GB
dfad43d4b2de	localhost/voipmonitor/vllm	gilded-gnosis-v20p3-spark-sm121-vllm92b27a4-si2b9bf2a-fi7ad08da-cu132-20260803	2026-08-03 05:28:03 +0000 UTC	25.7 GB
6c3586c535b7	localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm9e70264-si9c34ff8-fi7ad08da-cu132-20260730	2026-07-31 04:35:10 +0000 UTC	25.7 GB
777bd6bbdfef	localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm6dbe127-si9c34ff8-fi7ad08da-cu132-20260730	2026-07-31 03:31:50 +0000 UTC	25.7 GB
2dc397ccf5dd	localhost/voipmonitor/vllm	gilded-gnosis-v20p1-ds4-spark-sm121-vllm2167295-si6a92bcc-fi7ad08da-cu132-20260722	2026-07-23 00:24:25 +0000 UTC	25.1 GB
54a0d654f021	<none>	<none>	2026-07-23 00:24:25 +0000 UTC	25.1 GB
e312c953d072	<none>	<none>	2026-07-23 00:24:25 +0000 UTC	25.1 GB
e04c09379f14	<none>	<none>	2026-07-23 00:24:25 +0000 UTC	25.1 GB
1d17d497f657	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
36141fbfabbb	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
9eec27a5650e	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
d05d1708a266	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
b86f34c98822	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
a86f6a66d8e8	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
d9009312785e	<none>	<none>	2026-07-23 00:24:24 +0000 UTC	25.1 GB
e1f25edaf34c	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
5de23fdffb50	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
74348dd108d7	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
aeac78aecb61	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
729536b68b4d	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
b88e93288082	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
f1135965480a	<none>	<none>	2026-07-23 00:24:23 +0000 UTC	25.1 GB
dfa5da4e9434	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
a630742f1b33	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
399e72bef6bd	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
1ebc939d91df	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
3dd83b9d6113	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
01170bc15be6	<none>	<none>	2026-07-23 00:24:22 +0000 UTC	25.1 GB
1a6b8ade4cc9	<none>	<none>	2026-07-23 00:24:08 +0000 UTC	25.1 GB
97a66609292c	<none>	<none>	2026-07-23 00:24:08 +0000 UTC	25.1 GB
0fb8bc87101d	<none>	<none>	2026-07-23 00:24:08 +0000 UTC	25.1 GB
18030d54781b	<none>	<none>	2026-07-23 00:24:08 +0000 UTC	25.1 GB
941cb5bb7689	<none>	<none>	2026-07-23 00:24:05 +0000 UTC	25.1 GB
581988abd323	<none>	<none>	2026-07-23 00:24:03 +0000 UTC	24.4 GB
bd61ddf81512	<none>	<none>	2026-07-23 00:23:28 +0000 UTC	24.4 GB
ea16789ab810	<none>	<none>	2026-07-23 00:23:27 +0000 UTC	24.4 GB
3c30cf995307	<none>	<none>	2026-07-23 00:23:15 +0000 UTC	24.4 GB
7d36eef5c597	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
f037bf3b970b	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
d1af53b1a782	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
e7bb1596abef	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
ca12baa3d56d	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
bf456197bda3	<none>	<none>	2026-07-23 00:23:01 +0000 UTC	22.9 GB
fffa1a2d41a4	<none>	<none>	2026-07-23 00:23:00 +0000 UTC	22.9 GB
b8d626dc954d	<none>	<none>	2026-07-23 00:23:00 +0000 UTC	22.9 GB
21f2e1a5aa91	<none>	<none>	2026-07-23 00:23:00 +0000 UTC	22.9 GB
a7a84a7eec99	<none>	<none>	2026-07-23 00:22:48 +0000 UTC	22.9 GB
62625fda4b55	<none>	<none>	2026-07-23 00:22:00 +0000 UTC	21.2 GB
83c03df2d236	localhost/voipmonitor/vllm	gilded-gnosis-v20p0-ds4-spark-sm121-vllm2167295-si6a92bcc-fi801d57a-cu132-20260722	2026-07-22 19:02:13 +0000 UTC	25.1 GB
8303328c1250	<none>	<none>	2026-07-22 19:02:13 +0000 UTC	25.1 GB
