timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:08:39.967, 208 MHz, 0x0000000000000004, 45, 6.11 W
2026/09/15 15:08:40.989, 2405 MHz, 0x0000000000000000, 46, 9.38 W
2026/09/15 15:08:41.989, 2405 MHz, 0x0000000000000000, 47, 13.82 W
2026/09/15 15:08:42.990, 591 MHz, 0x0000000000000000, 47, 10.34 W
2026/09/15 15:08:43.990, 2405 MHz, 0x0000000000000000, 47, 14.05 W
2026/09/15 15:08:44.990, 2405 MHz, 0x0000000000000000, 47, 13.83 W
2026/09/15 15:08:45.991, 208 MHz, 0x0000000000000000, 46, 6.83 W
2026/09/15 15:08:46.991, 208 MHz, 0x0000000000000000, 46, 6.71 W
2026/09/15 15:08:47.992, 208 MHz, 0x0000000000000000, 46, 6.40 W
2026/09/15 15:08:48.992, 208 MHz, 0x0000000000000000, 46, 6.28 W
2026/09/15 15:08:49.993, 208 MHz, 0x0000000000000000, 46, 6.28 W
2026/09/15 15:08:50.993, 208 MHz, 0x0000000000000000, 46, 6.21 W
2026/09/15 15:08:51.994, 208 MHz, 0x0000000000000004, 46, 6.22 W
2026/09/15 15:08:52.994, 208 MHz, 0x0000000000000000, 46, 6.26 W
2026/09/15 15:08:53.995, 208 MHz, 0x0000000000000004, 46, 6.25 W
2026/09/15 15:08:54.995, 208 MHz, 0x0000000000000000, 46, 6.27 W
2026/09/15 15:08:55.995, 208 MHz, 0x0000000000000004, 46, 6.24 W
2026/09/15 15:08:56.996, 208 MHz, 0x0000000000000000, 46, 6.30 W
2026/09/15 15:08:57.996, 208 MHz, 0x0000000000000000, 46, 6.31 W
2026/09/15 15:08:58.997, 208 MHz, 0x0000000000000000, 46, 6.31 W
2026/09/15 15:08:59.997, 208 MHz, 0x0000000000000000, 46, 6.27 W
2026/09/15 15:09:00.998, 208 MHz, 0x0000000000000004, 46, 6.20 W
2026/09/15 15:09:01.998, 208 MHz, 0x0000000000000000, 46, 6.20 W
2026/09/15 15:09:02.998, 208 MHz, 0x0000000000000004, 46, 6.22 W
2026/09/15 15:09:03.999, 214 MHz, 0x0000000000000000, 46, 6.26 W
2026/09/15 15:09:05.000, 208 MHz, 0x0000000000000000, 46, 6.31 W
2026/09/15 15:09:06.000, 208 MHz, 0x0000000000000000, 46, 6.31 W
2026/09/15 15:09:07.001, 208 MHz, 0x0000000000000000, 47, 6.24 W
2026/09/15 15:09:08.001, 208 MHz, 0x0000000000000004, 47, 6.24 W
2026/09/15 15:09:09.002, 208 MHz, 0x0000000000000000, 47, 6.22 W
2026/09/15 15:09:10.003, 208 MHz, 0x0000000000000000, 47, 6.28 W
2026/09/15 15:09:11.003, 214 MHz, 0x0000000000000000, 47, 6.32 W
2026/09/15 15:09:12.003, 214 MHz, 0x0000000000000000, 47, 6.32 W
2026/09/15 15:09:13.004, 208 MHz, 0x0000000000000000, 47, 6.24 W
2026/09/15 15:09:14.005, 208 MHz, 0x0000000000000004, 47, 6.24 W
2026/09/15 15:09:15.005, 208 MHz, 0x0000000000000000, 47, 6.23 W
2026/09/15 15:09:16.005, 208 MHz, 0x0000000000000004, 47, 6.23 W
2026/09/15 15:09:17.006, 208 MHz, 0x0000000000000000, 47, 6.26 W
2026/09/15 15:09:18.006, 208 MHz, 0x0000000000000004, 47, 6.28 W
2026/09/15 15:09:19.007, 208 MHz, 0x0000000000000000, 47, 6.26 W
2026/09/15 15:09:20.007, 208 MHz, 0x0000000000000004, 47, 6.25 W
2026/09/15 15:09:21.008, 208 MHz, 0x0000000000000000, 47, 6.24 W
2026/09/15 15:09:22.009, 208 MHz, 0x0000000000000004, 47, 6.25 W
2026/09/15 15:09:23.009, 208 MHz, 0x0000000000000000, 47, 6.27 W
2026/09/15 15:09:24.009, 208 MHz, 0x0000000000000004, 47, 6.24 W
2026/09/15 15:09:25.010, 208 MHz, 0x0000000000000000, 47, 6.18 W
2026/09/15 15:09:26.010, 2405 MHz, 0x0000000000000000, 48, 8.23 W
2026/09/15 15:09:27.011, 2405 MHz, 0x0000000000000000, 48, 14.10 W
