timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:08:39.925, 2405 MHz, 0x0000000000000000, 47, 7.97 W
2026/09/15 15:08:40.931, 2405 MHz, 0x0000000000000000, 47, 11.17 W
2026/09/15 15:08:41.931, 208 MHz, 0x0000000000000000, 46, 6.35 W
2026/09/15 15:08:42.932, 208 MHz, 0x0000000000000000, 46, 5.36 W
2026/09/15 15:08:43.932, 208 MHz, 0x0000000000000000, 46, 5.36 W
2026/09/15 15:08:44.933, 2411 MHz, 0x0000000000000000, 47, 6.11 W
2026/09/15 15:08:45.933, 2405 MHz, 0x0000000000000000, 47, 11.31 W
2026/09/15 15:08:46.934, 2405 MHz, 0x0000000000000000, 47, 11.13 W
2026/09/15 15:08:47.935, 208 MHz, 0x0000000000000000, 47, 6.18 W
2026/09/15 15:08:48.936, 208 MHz, 0x0000000000000000, 47, 5.39 W
2026/09/15 15:08:49.936, 208 MHz, 0x0000000000000000, 47, 5.39 W
2026/09/15 15:08:50.937, 208 MHz, 0x0000000000000000, 47, 4.77 W
2026/09/15 15:08:51.937, 214 MHz, 0x0000000000000000, 47, 4.89 W
2026/09/15 15:08:52.938, 208 MHz, 0x0000000000000000, 47, 4.89 W
2026/09/15 15:08:53.938, 208 MHz, 0x0000000000000000, 47, 4.89 W
2026/09/15 15:08:54.939, 208 MHz, 0x0000000000000000, 47, 4.88 W
2026/09/15 15:08:55.939, 208 MHz, 0x0000000000000004, 47, 4.87 W
2026/09/15 15:08:56.939, 208 MHz, 0x0000000000000000, 47, 4.84 W
2026/09/15 15:08:57.940, 208 MHz, 0x0000000000000004, 47, 4.83 W
2026/09/15 15:08:58.941, 208 MHz, 0x0000000000000000, 47, 4.81 W
2026/09/15 15:08:59.941, 208 MHz, 0x0000000000000004, 47, 4.89 W
2026/09/15 15:09:00.942, 208 MHz, 0x0000000000000000, 47, 4.83 W
2026/09/15 15:09:01.942, 208 MHz, 0x0000000000000004, 47, 4.83 W
2026/09/15 15:09:02.943, 208 MHz, 0x0000000000000000, 47, 4.85 W
