timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 21:12:27.312, 208 MHz, 0x0000000000000000, 49, 6.03 W
2026/09/06 21:12:28.321, 208 MHz, 0x0000000000000004, 49, 6.04 W
2026/09/06 21:12:29.321, 208 MHz, 0x0000000000000000, 49, 6.18 W
2026/09/06 21:12:30.322, 208 MHz, 0x0000000000000000, 49, 6.18 W
2026/09/06 21:12:31.322, 208 MHz, 0x0000000000000000, 49, 6.18 W
2026/09/06 21:12:32.322, 208 MHz, 0x0000000000000000, 50, 6.10 W
2026/09/06 21:12:33.322, 208 MHz, 0x0000000000000004, 50, 6.11 W
2026/09/06 21:12:34.323, 208 MHz, 0x0000000000000000, 49, 6.10 W
2026/09/06 21:12:35.323, 208 MHz, 0x0000000000000004, 49, 6.09 W
2026/09/06 21:12:36.323, 208 MHz, 0x0000000000000000, 49, 6.09 W
2026/09/06 21:12:37.324, 208 MHz, 0x0000000000000000, 50, 6.07 W
2026/09/06 21:12:38.324, 208 MHz, 0x0000000000000000, 50, 6.11 W
2026/09/06 21:12:39.325, 208 MHz, 0x0000000000000000, 50, 6.11 W
2026/09/06 21:12:40.325, 208 MHz, 0x0000000000000000, 50, 6.04 W
2026/09/06 21:12:41.325, 208 MHz, 0x0000000000000004, 50, 6.05 W
2026/09/06 21:12:42.325, 208 MHz, 0x0000000000000004, 50, 6.05 W
2026/09/06 21:12:43.326, 208 MHz, 0x0000000000000000, 50, 6.04 W
2026/09/06 21:12:44.326, 208 MHz, 0x0000000000000004, 50, 6.04 W
2026/09/06 21:12:45.326, 208 MHz, 0x0000000000000000, 50, 6.04 W
2026/09/06 21:12:46.327, 208 MHz, 0x0000000000000004, 50, 6.01 W
2026/09/06 21:12:47.327, 208 MHz, 0x0000000000000000, 50, 5.96 W
2026/09/06 21:12:48.327, 208 MHz, 0x0000000000000004, 50, 5.94 W
2026/09/06 21:12:49.328, 208 MHz, 0x0000000000000000, 50, 5.93 W
2026/09/06 21:12:50.328, 208 MHz, 0x0000000000000004, 50, 5.92 W
