timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 21:12:27.319, 208 MHz, 0x0000000000000000, 49, 4.54 W
2026/09/06 21:12:28.327, 208 MHz, 0x0000000000000004, 49, 4.52 W
2026/09/06 21:12:29.327, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/06 21:12:30.328, 208 MHz, 0x0000000000000004, 49, 4.68 W
2026/09/06 21:12:31.328, 208 MHz, 0x0000000000000000, 49, 4.63 W
2026/09/06 21:12:32.329, 208 MHz, 0x0000000000000000, 49, 4.65 W
2026/09/06 21:12:33.330, 208 MHz, 0x0000000000000000, 49, 4.69 W
2026/09/06 21:12:34.330, 208 MHz, 0x0000000000000004, 49, 4.43 W
2026/09/06 21:12:35.330, 208 MHz, 0x0000000000000000, 49, 4.43 W
2026/09/06 21:12:36.331, 208 MHz, 0x0000000000000004, 49, 4.42 W
2026/09/06 21:12:37.331, 208 MHz, 0x0000000000000000, 49, 4.44 W
2026/09/06 21:12:38.331, 208 MHz, 0x0000000000000004, 49, 4.49 W
2026/09/06 21:12:39.332, 208 MHz, 0x0000000000000000, 49, 4.62 W
2026/09/06 21:12:40.332, 208 MHz, 0x0000000000000000, 49, 4.51 W
2026/09/06 21:12:41.333, 208 MHz, 0x0000000000000000, 49, 4.51 W
2026/09/06 21:12:42.334, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/06 21:12:43.335, 208 MHz, 0x0000000000000004, 49, 4.40 W
2026/09/06 21:12:44.335, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/06 21:12:45.336, 208 MHz, 0x0000000000000004, 49, 4.56 W
2026/09/06 21:12:46.336, 208 MHz, 0x0000000000000000, 49, 4.73 W
2026/09/06 21:12:47.337, 208 MHz, 0x0000000000000004, 49, 4.63 W
2026/09/06 21:12:48.338, 208 MHz, 0x0000000000000000, 49, 4.15 W
2026/09/06 21:12:49.338, 208 MHz, 0x0000000000000004, 49, 4.14 W
2026/09/06 21:12:50.338, 208 MHz, 0x0000000000000000, 49, 4.14 W
2026/09/06 21:12:51.339, 208 MHz, 0x0000000000000004, 49, 4.13 W
2026/09/06 21:12:52.340, 208 MHz, 0x0000000000000000, 49, 4.13 W
2026/09/06 21:12:53.340, 208 MHz, 0x0000000000000004, 49, 4.13 W
2026/09/06 21:12:54.341, 208 MHz, 0x0000000000000000, 49, 4.13 W
2026/09/06 21:12:55.341, 208 MHz, 0x0000000000000004, 49, 4.12 W
2026/09/06 21:12:56.342, 208 MHz, 0x0000000000000000, 49, 4.12 W
2026/09/06 21:12:57.343, 208 MHz, 0x0000000000000004, 49, 4.11 W
2026/09/06 21:12:58.344, 208 MHz, 0x0000000000000000, 48, 4.11 W
2026/09/06 21:12:59.345, 208 MHz, 0x0000000000000004, 48, 4.11 W
