timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 21:12:27.324, 208 MHz, 0x0000000000000004, 48, 5.46 W
2026/09/06 21:12:28.334, 208 MHz, 0x0000000000000004, 48, 5.49 W
2026/09/06 21:12:29.335, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/06 21:12:30.335, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/06 21:12:31.335, 208 MHz, 0x0000000000000000, 49, 5.39 W
2026/09/06 21:12:32.336, 208 MHz, 0x0000000000000004, 49, 5.37 W
2026/09/06 21:12:33.337, 208 MHz, 0x0000000000000000, 49, 5.32 W
2026/09/06 21:12:34.337, 208 MHz, 0x0000000000000004, 49, 5.32 W
2026/09/06 21:12:35.338, 208 MHz, 0x0000000000000000, 49, 5.32 W
2026/09/06 21:12:36.338, 208 MHz, 0x0000000000000004, 49, 5.43 W
2026/09/06 21:12:37.339, 208 MHz, 0x0000000000000000, 49, 5.49 W
2026/09/06 21:12:38.339, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/06 21:12:39.340, 208 MHz, 0x0000000000000000, 49, 5.36 W
2026/09/06 21:12:40.341, 208 MHz, 0x0000000000000004, 49, 5.36 W
2026/09/06 21:12:41.341, 208 MHz, 0x0000000000000000, 49, 5.38 W
2026/09/06 21:12:42.342, 208 MHz, 0x0000000000000004, 49, 5.37 W
2026/09/06 21:12:43.342, 208 MHz, 0x0000000000000000, 49, 5.46 W
2026/09/06 21:12:44.343, 208 MHz, 0x0000000000000004, 49, 5.43 W
2026/09/06 21:12:45.343, 208 MHz, 0x0000000000000000, 49, 5.26 W
2026/09/06 21:12:46.344, 208 MHz, 0x0000000000000004, 49, 5.26 W
2026/09/06 21:12:47.344, 208 MHz, 0x0000000000000000, 49, 5.23 W
2026/09/06 21:12:48.345, 208 MHz, 0x0000000000000004, 49, 5.22 W
2026/09/06 21:12:49.346, 208 MHz, 0x0000000000000000, 49, 5.22 W
2026/09/06 21:12:50.346, 208 MHz, 0x0000000000000004, 49, 5.24 W
2026/09/06 21:12:51.347, 208 MHz, 0x0000000000000000, 49, 5.24 W
2026/09/06 21:12:52.347, 208 MHz, 0x0000000000000004, 48, 5.21 W
