timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 21:12:27.342, 208 MHz, 0x0000000000000000, 48, 4.26 W
2026/09/06 21:12:28.351, 208 MHz, 0x0000000000000004, 48, 4.38 W
2026/09/06 21:12:29.351, 208 MHz, 0x0000000000000000, 48, 4.38 W
2026/09/06 21:12:30.351, 208 MHz, 0x0000000000000004, 48, 4.33 W
2026/09/06 21:12:31.351, 208 MHz, 0x0000000000000000, 48, 4.26 W
2026/09/06 21:12:32.352, 208 MHz, 0x0000000000000004, 48, 4.41 W
2026/09/06 21:12:33.352, 208 MHz, 0x0000000000000000, 48, 4.51 W
2026/09/06 21:12:34.352, 208 MHz, 0x0000000000000000, 48, 4.43 W
2026/09/06 21:12:35.352, 208 MHz, 0x0000000000000000, 48, 4.43 W
2026/09/06 21:12:36.353, 208 MHz, 0x0000000000000000, 48, 4.42 W
2026/09/06 21:12:37.354, 208 MHz, 0x0000000000000004, 48, 4.34 W
2026/09/06 21:12:38.354, 208 MHz, 0x0000000000000000, 48, 4.36 W
2026/09/06 21:12:39.354, 208 MHz, 0x0000000000000004, 48, 4.36 W
2026/09/06 21:12:40.354, 208 MHz, 0x0000000000000000, 48, 4.33 W
2026/09/06 21:12:41.355, 208 MHz, 0x0000000000000004, 48, 4.48 W
2026/09/06 21:12:42.355, 208 MHz, 0x0000000000000000, 48, 4.54 W
2026/09/06 21:12:43.356, 214 MHz, 0x0000000000000000, 48, 4.49 W
2026/09/06 21:12:44.356, 208 MHz, 0x0000000000000000, 48, 4.38 W
2026/09/06 21:12:45.357, 208 MHz, 0x0000000000000004, 48, 4.39 W
2026/09/06 21:12:46.357, 208 MHz, 0x0000000000000000, 48, 4.40 W
2026/09/06 21:12:47.357, 208 MHz, 0x0000000000000004, 48, 4.38 W
2026/09/06 21:12:48.357, 214 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/06 21:12:49.358, 208 MHz, 0x0000000000000004, 48, 4.36 W
2026/09/06 21:12:50.359, 208 MHz, 0x0000000000000000, 48, 4.40 W
2026/09/06 21:12:51.359, 208 MHz, 0x0000000000000004, 48, 4.47 W
2026/09/06 21:12:52.359, 208 MHz, 0x0000000000000000, 48, 4.54 W
2026/09/06 21:12:53.360, 208 MHz, 0x0000000000000004, 48, 4.38 W
2026/09/06 21:12:54.360, 208 MHz, 0x0000000000000000, 48, 4.40 W
2026/09/06 21:12:55.361, 208 MHz, 0x0000000000000004, 48, 4.38 W
2026/09/06 21:12:56.361, 208 MHz, 0x0000000000000000, 48, 4.40 W
2026/09/06 21:12:57.362, 208 MHz, 0x0000000000000004, 48, 4.53 W
2026/09/06 21:12:58.363, 208 MHz, 0x0000000000000000, 49, 4.39 W
2026/09/06 21:12:59.363, 208 MHz, 0x0000000000000004, 48, 4.27 W
2026/09/06 21:13:00.364, 208 MHz, 0x0000000000000000, 48, 4.14 W
2026/09/06 21:13:01.365, 208 MHz, 0x0000000000000004, 48, 4.13 W
2026/09/06 21:13:02.365, 208 MHz, 0x0000000000000000, 48, 4.15 W
2026/09/06 21:13:03.366, 318 MHz, 0x0000000000000000, 48, 4.32 W
2026/09/06 21:13:04.366, 2405 MHz, 0x0000000000000000, 49, 12.04 W
2026/09/06 21:13:05.366, 2405 MHz, 0x0000000000000000, 49, 11.87 W
2026/09/06 21:13:06.367, 2405 MHz, 0x0000000000000000, 49, 11.87 W
2026/09/06 21:13:07.367, 2405 MHz, 0x0000000000000000, 49, 12.04 W
2026/09/06 21:13:08.367, 2405 MHz, 0x0000000000000000, 49, 11.96 W
2026/09/06 21:13:09.367, 2405 MHz, 0x0000000000000000, 50, 11.93 W
2026/09/06 21:13:10.367, 2405 MHz, 0x0000000000000000, 50, 11.88 W
2026/09/06 21:13:11.368, 2405 MHz, 0x0000000000000000, 50, 12.18 W
2026/09/06 21:13:12.368, 2405 MHz, 0x0000000000000000, 50, 12.15 W
2026/09/06 21:13:13.368, 2405 MHz, 0x0000000000000000, 50, 12.14 W
2026/09/06 21:13:14.368, 2405 MHz, 0x0000000000000000, 50, 12.04 W
2026/09/06 21:13:15.368, 2405 MHz, 0x0000000000000000, 50, 11.95 W
2026/09/06 21:13:16.368, 2411 MHz, 0x0000000000000000, 50, 12.18 W
2026/09/06 21:13:17.369, 2437 MHz, 0x0000000000000000, 51, 17.78 W
2026/09/06 21:13:18.369, 2470 MHz, 0x0000000000000000, 52, 17.72 W
2026/09/06 21:13:19.369, 2463 MHz, 0x0000000000000000, 52, 18.03 W
2026/09/06 21:13:20.369, 2463 MHz, 0x0000000000000000, 52, 18.78 W
2026/09/06 21:13:21.370, 2444 MHz, 0x0000000000000000, 52, 16.46 W
2026/09/06 21:13:22.370, 2476 MHz, 0x0000000000000000, 53, 18.28 W
2026/09/06 21:13:23.370, 2483 MHz, 0x0000000000000000, 53, 18.75 W
2026/09/06 21:13:24.370, 2470 MHz, 0x0000000000000000, 53, 19.22 W
2026/09/06 21:13:25.370, 2457 MHz, 0x0000000000000000, 53, 17.36 W
2026/09/06 21:13:26.371, 2457 MHz, 0x0000000000000000, 53, 17.20 W
2026/09/06 21:13:27.371, 2457 MHz, 0x0000000000000000, 53, 16.76 W
2026/09/06 21:13:28.371, 2463 MHz, 0x0000000000000000, 53, 16.58 W
2026/09/06 21:13:29.372, 2463 MHz, 0x0000000000000000, 54, 19.45 W
2026/09/06 21:13:30.372, 2437 MHz, 0x0000000000000000, 54, 17.84 W
2026/09/06 21:13:31.372, 2463 MHz, 0x0000000000000000, 54, 17.53 W
