timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 22:11:00.169, 208 MHz, 0x0000000000000000, 47, 6.04 W
2026/09/06 22:11:01.177, 208 MHz, 0x0000000000000004, 47, 6.02 W
2026/09/06 22:11:02.177, 208 MHz, 0x0000000000000000, 47, 6.07 W
2026/09/06 22:11:03.178, 208 MHz, 0x0000000000000004, 47, 6.06 W
2026/09/06 22:11:04.178, 208 MHz, 0x0000000000000000, 47, 6.06 W
2026/09/06 22:11:05.178, 208 MHz, 0x0000000000000004, 47, 6.06 W
2026/09/06 22:11:06.179, 208 MHz, 0x0000000000000000, 47, 6.06 W
2026/09/06 22:11:07.179, 208 MHz, 0x0000000000000004, 47, 6.07 W
2026/09/06 22:11:08.180, 208 MHz, 0x0000000000000000, 47, 6.05 W
2026/09/06 22:11:09.180, 208 MHz, 0x0000000000000004, 47, 5.95 W
2026/09/06 22:11:10.181, 208 MHz, 0x0000000000000000, 47, 5.92 W
2026/09/06 22:11:11.181, 208 MHz, 0x0000000000000004, 47, 5.92 W
2026/09/06 22:11:12.182, 208 MHz, 0x0000000000000000, 47, 5.91 W
2026/09/06 22:11:13.183, 208 MHz, 0x0000000000000004, 47, 5.91 W
2026/09/06 22:11:14.183, 208 MHz, 0x0000000000000000, 47, 5.91 W
2026/09/06 22:11:15.184, 208 MHz, 0x0000000000000004, 47, 5.90 W
2026/09/06 22:11:16.184, 208 MHz, 0x0000000000000000, 47, 5.88 W
2026/09/06 22:11:17.185, 208 MHz, 0x0000000000000004, 46, 5.92 W
2026/09/06 22:11:18.186, 208 MHz, 0x0000000000000000, 46, 5.91 W
2026/09/06 22:11:19.186, 208 MHz, 0x0000000000000004, 46, 5.93 W
2026/09/06 22:11:20.187, 208 MHz, 0x0000000000000000, 46, 5.91 W
2026/09/06 22:11:21.188, 208 MHz, 0x0000000000000004, 46, 5.87 W
2026/09/06 22:11:22.189, 208 MHz, 0x0000000000000000, 46, 5.89 W
2026/09/06 22:11:23.189, 208 MHz, 0x0000000000000004, 46, 5.90 W
2026/09/06 22:11:24.190, 208 MHz, 0x0000000000000000, 46, 5.91 W
2026/09/06 22:11:25.190, 208 MHz, 0x0000000000000004, 46, 5.90 W
2026/09/06 22:11:26.190, 208 MHz, 0x0000000000000000, 46, 5.92 W
2026/09/06 22:11:27.191, 208 MHz, 0x0000000000000004, 46, 5.89 W
2026/09/06 22:11:28.191, 2405 MHz, 0x0000000000000000, 47, 9.92 W
2026/09/06 22:11:29.192, 2411 MHz, 0x0000000000000000, 47, 13.08 W
2026/09/06 22:11:30.192, 2411 MHz, 0x0000000000000000, 47, 13.08 W
2026/09/06 22:11:31.193, 2424 MHz, 0x0000000000000000, 47, 13.21 W
2026/09/06 22:11:32.193, 2411 MHz, 0x0000000000000000, 48, 13.13 W
2026/09/06 22:11:33.193, 2411 MHz, 0x0000000000000000, 48, 13.11 W
2026/09/06 22:11:34.194, 2405 MHz, 0x0000000000000000, 48, 13.08 W
2026/09/06 22:11:35.194, 2405 MHz, 0x0000000000000000, 48, 13.08 W
2026/09/06 22:11:36.194, 2411 MHz, 0x0000000000000000, 48, 13.39 W
2026/09/06 22:11:37.195, 2411 MHz, 0x0000000000000000, 48, 13.29 W
2026/09/06 22:11:38.195, 2411 MHz, 0x0000000000000000, 48, 13.33 W
2026/09/06 22:11:39.195, 2411 MHz, 0x0000000000000000, 48, 13.17 W
2026/09/06 22:11:40.196, 2405 MHz, 0x0000000000000000, 48, 13.19 W
2026/09/06 22:11:41.196, 2411 MHz, 0x0000000000000000, 49, 13.12 W
2026/09/06 22:11:42.196, 2522 MHz, 0x0000000000000000, 50, 18.00 W
2026/09/06 22:11:43.197, 2489 MHz, 0x0000000000000000, 50, 17.97 W
2026/09/06 22:11:44.197, 2476 MHz, 0x0000000000000000, 50, 19.30 W
2026/09/06 22:11:45.197, 2502 MHz, 0x0000000000000000, 51, 19.92 W
2026/09/06 22:11:46.197, 2457 MHz, 0x0000000000000000, 51, 17.68 W
2026/09/06 22:11:47.197, 2496 MHz, 0x0000000000000000, 51, 18.36 W
