timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 22:11:00.189, 208 MHz, 0x0000000000000004, 49, 4.35 W
2026/09/06 22:11:01.200, 208 MHz, 0x0000000000000000, 49, 4.42 W
2026/09/06 22:11:02.201, 208 MHz, 0x0000000000000004, 49, 4.76 W
2026/09/06 22:11:03.201, 208 MHz, 0x0000000000000000, 49, 4.63 W
2026/09/06 22:11:04.202, 208 MHz, 0x0000000000000004, 49, 4.50 W
2026/09/06 22:11:05.202, 208 MHz, 0x0000000000000000, 49, 4.55 W
2026/09/06 22:11:06.203, 208 MHz, 0x0000000000000004, 49, 4.53 W
2026/09/06 22:11:07.203, 208 MHz, 0x0000000000000000, 49, 4.56 W
2026/09/06 22:11:08.204, 208 MHz, 0x0000000000000004, 49, 4.55 W
2026/09/06 22:11:09.204, 208 MHz, 0x0000000000000000, 49, 4.76 W
2026/09/06 22:11:10.205, 208 MHz, 0x0000000000000004, 49, 4.67 W
2026/09/06 22:11:11.206, 208 MHz, 0x0000000000000000, 49, 4.39 W
2026/09/06 22:11:12.206, 208 MHz, 0x0000000000000004, 49, 4.17 W
2026/09/06 22:11:13.207, 208 MHz, 0x0000000000000000, 49, 4.16 W
2026/09/06 22:11:14.208, 208 MHz, 0x0000000000000004, 49, 4.15 W
2026/09/06 22:11:15.209, 208 MHz, 0x0000000000000000, 49, 4.16 W
2026/09/06 22:11:16.209, 208 MHz, 0x0000000000000004, 49, 4.15 W
2026/09/06 22:11:17.210, 208 MHz, 0x0000000000000000, 49, 4.15 W
2026/09/06 22:11:18.211, 208 MHz, 0x0000000000000004, 49, 4.19 W
2026/09/06 22:11:19.211, 208 MHz, 0x0000000000000000, 49, 4.16 W
2026/09/06 22:11:20.211, 208 MHz, 0x0000000000000004, 49, 4.14 W
2026/09/06 22:11:21.212, 208 MHz, 0x0000000000000000, 49, 4.13 W
2026/09/06 22:11:22.213, 201 MHz, 0x0000000000000004, 49, 4.12 W
2026/09/06 22:11:23.214, 208 MHz, 0x0000000000000000, 49, 4.13 W
2026/09/06 22:11:24.214, 208 MHz, 0x0000000000000004, 48, 4.13 W
2026/09/06 22:11:25.215, 208 MHz, 0x0000000000000000, 48, 4.13 W
2026/09/06 22:11:26.215, 208 MHz, 0x0000000000000004, 48, 4.13 W
2026/09/06 22:11:27.216, 591 MHz, 0x0000000000000000, 49, 5.20 W
2026/09/06 22:11:28.216, 2398 MHz, 0x0000000000000000, 49, 12.78 W
2026/09/06 22:11:29.217, 2405 MHz, 0x0000000000000000, 50, 12.70 W
2026/09/06 22:11:30.217, 2398 MHz, 0x0000000000000000, 50, 12.66 W
2026/09/06 22:11:31.217, 2405 MHz, 0x0000000000000000, 50, 12.77 W
2026/09/06 22:11:32.217, 2405 MHz, 0x0000000000000000, 50, 12.81 W
2026/09/06 22:11:33.218, 2398 MHz, 0x0000000000000000, 50, 12.72 W
2026/09/06 22:11:34.218, 2398 MHz, 0x0000000000000000, 50, 12.73 W
2026/09/06 22:11:35.219, 2405 MHz, 0x0000000000000000, 50, 12.90 W
2026/09/06 22:11:36.219, 2398 MHz, 0x0000000000000000, 50, 13.01 W
2026/09/06 22:11:37.219, 2398 MHz, 0x0000000000000000, 50, 13.00 W
2026/09/06 22:11:38.219, 2398 MHz, 0x0000000000000000, 50, 12.89 W
2026/09/06 22:11:39.219, 2405 MHz, 0x0000000000000000, 51, 12.91 W
2026/09/06 22:11:40.220, 2398 MHz, 0x0000000000000000, 51, 12.80 W
2026/09/06 22:11:41.220, 2405 MHz, 0x0000000000000000, 51, 13.20 W
2026/09/06 22:11:42.220, 2463 MHz, 0x0000000000000000, 52, 19.24 W
2026/09/06 22:11:43.221, 2457 MHz, 0x0000000000000000, 52, 19.03 W
2026/09/06 22:11:44.221, 2450 MHz, 0x0000000000000000, 53, 19.07 W
2026/09/06 22:11:45.221, 2450 MHz, 0x0000000000000000, 53, 19.62 W
2026/09/06 22:11:46.221, 2431 MHz, 0x0000000000000000, 53, 17.78 W
2026/09/06 22:11:47.221, 2444 MHz, 0x0000000000000000, 53, 19.16 W
2026/09/06 22:11:48.222, 2444 MHz, 0x0000000000000000, 54, 19.72 W
2026/09/06 22:11:49.222, 2444 MHz, 0x0000000000000000, 54, 20.50 W
2026/09/06 22:11:50.222, 2431 MHz, 0x0000000000000000, 54, 17.84 W
2026/09/06 22:11:51.222, 2424 MHz, 0x0000000000000000, 54, 16.85 W
2026/09/06 22:11:52.222, 2431 MHz, 0x0000000000000000, 54, 16.81 W
2026/09/06 22:11:53.223, 2424 MHz, 0x0000000000000000, 54, 16.75 W
2026/09/06 22:11:54.223, 2437 MHz, 0x0000000000000000, 55, 19.34 W
2026/09/06 22:11:55.223, 2431 MHz, 0x0000000000000000, 55, 18.16 W
2026/09/06 22:11:56.223, 2437 MHz, 0x0000000000000000, 55, 17.88 W
2026/09/06 22:11:57.223, 2437 MHz, 0x0000000000000000, 55, 17.95 W
2026/09/06 22:11:58.223, 2424 MHz, 0x0000000000000000, 55, 17.77 W
2026/09/06 22:11:59.224, 2444 MHz, 0x0000000000000000, 56, 19.31 W
2026/09/06 22:12:00.224, 2437 MHz, 0x0000000000000000, 56, 19.53 W
2026/09/06 22:12:01.224, 2424 MHz, 0x0000000000000000, 56, 17.83 W
2026/09/06 22:12:02.225, 2431 MHz, 0x0000000000000000, 56, 16.92 W
2026/09/06 22:12:03.225, 2424 MHz, 0x0000000000000000, 56, 16.87 W
2026/09/06 22:12:04.225, 2424 MHz, 0x0000000000000000, 56, 17.03 W
2026/09/06 22:12:05.226, 2424 MHz, 0x0000000000000000, 56, 16.99 W
2026/09/06 22:12:06.226, 2431 MHz, 0x0000000000000000, 56, 16.97 W
2026/09/06 22:12:07.226, 2424 MHz, 0x0000000000000000, 56, 16.95 W
2026/09/06 22:12:08.226, 2437 MHz, 0x0000000000000000, 57, 18.34 W
2026/09/06 22:12:09.227, 2437 MHz, 0x0000000000000000, 57, 19.50 W
2026/09/06 22:12:10.227, 2437 MHz, 0x0000000000000000, 57, 19.93 W
2026/09/06 22:12:11.227, 2444 MHz, 0x0000000000000000, 57, 20.44 W
2026/09/06 22:12:12.228, 2444 MHz, 0x0000000000000000, 57, 20.00 W
2026/09/06 22:12:13.228, 2437 MHz, 0x0000000000000000, 57, 19.84 W
2026/09/06 22:12:14.228, 2431 MHz, 0x0000000000000000, 57, 17.91 W
2026/09/06 22:12:15.228, 2444 MHz, 0x0000000000000000, 58, 19.91 W
2026/09/06 22:12:16.229, 2437 MHz, 0x0000000000000000, 58, 18.52 W
2026/09/06 22:12:17.229, 2437 MHz, 0x0000000000000000, 58, 20.17 W
2026/09/06 22:12:18.229, 2444 MHz, 0x0000000000000000, 58, 20.74 W
2026/09/06 22:12:19.229, 2444 MHz, 0x0000000000000000, 58, 20.31 W
2026/09/06 22:12:20.230, 2444 MHz, 0x0000000000000000, 58, 20.58 W
2026/09/06 22:12:21.230, 2431 MHz, 0x0000000000000000, 58, 18.67 W
2026/09/06 22:12:22.230, 2431 MHz, 0x0000000000000000, 58, 18.62 W
2026/09/06 22:12:23.231, 2437 MHz, 0x0000000000000000, 58, 18.52 W
2026/09/06 22:12:24.231, 2437 MHz, 0x0000000000000000, 59, 18.90 W
2026/09/06 22:12:25.231, 2444 MHz, 0x0000000000000000, 59, 20.88 W
2026/09/06 22:12:26.231, 2444 MHz, 0x0000000000000000, 59, 20.46 W
2026/09/06 22:12:27.231, 2437 MHz, 0x0000000000000000, 59, 18.98 W
2026/09/06 22:12:28.232, 2444 MHz, 0x0000000000000000, 59, 21.14 W
2026/09/06 22:12:29.232, 2444 MHz, 0x0000000000000000, 59, 20.44 W
2026/09/06 22:12:30.232, 2450 MHz, 0x0000000000000000, 60, 21.90 W
2026/09/06 22:12:31.232, 2457 MHz, 0x0000000000000000, 60, 23.07 W
2026/09/06 22:12:32.232, 2457 MHz, 0x0000000000000000, 60, 23.51 W
2026/09/06 22:12:33.233, 2457 MHz, 0x0000000000000000, 60, 23.95 W
2026/09/06 22:12:34.233, 2411 MHz, 0x0000000000000000, 59, 15.84 W
2026/09/06 22:12:35.233, 2411 MHz, 0x0000000000000000, 60, 16.63 W
2026/09/06 22:12:36.233, 2411 MHz, 0x0000000000000000, 61, 23.63 W
2026/09/06 22:12:37.234, 2418 MHz, 0x0000000000000000, 60, 19.12 W
2026/09/06 22:12:38.234, 2457 MHz, 0x0000000000000000, 61, 23.84 W
2026/09/06 22:12:39.234, 2457 MHz, 0x0000000000000000, 61, 24.53 W
2026/09/06 22:12:40.234, 2431 MHz, 0x0000000000000000, 60, 22.60 W
2026/09/06 22:12:41.234, 2411 MHz, 0x0000000000000000, 59, 14.93 W
2026/09/06 22:12:42.234, 2411 MHz, 0x0000000000000000, 59, 14.75 W
2026/09/06 22:12:43.235, 2411 MHz, 0x0000000000000000, 59, 14.76 W
2026/09/06 22:12:44.235, 2411 MHz, 0x0000000000000000, 59, 15.43 W
2026/09/06 22:12:45.235, 2411 MHz, 0x0000000000000000, 58, 19.72 W
2026/09/06 22:12:46.235, 2411 MHz, 0x0000000000000000, 58, 14.61 W
2026/09/06 22:12:47.236, 2424 MHz, 0x0000000000000000, 66, 47.32 W
2026/09/06 22:12:48.236, 2418 MHz, 0x0000000000000000, 68, 72.79 W
2026/09/06 22:12:49.236, 2398 MHz, 0x0000000000000000, 70, 75.39 W
2026/09/06 22:12:50.236, 2444 MHz, 0x0000000000000000, 61, 45.92 W
2026/09/06 22:12:51.236, 2424 MHz, 0x0000000000000000, 60, 18.21 W
2026/09/06 22:12:52.237, 2457 MHz, 0x0000000000000000, 64, 26.83 W
2026/09/06 22:12:53.237, 2431 MHz, 0x0000000000000000, 65, 53.26 W
2026/09/06 22:12:54.237, 2418 MHz, 0x0000000000000000, 60, 27.56 W
2026/09/06 22:12:55.237, 2437 MHz, 0x0000000000000000, 60, 22.83 W
2026/09/06 22:12:56.238, 2418 MHz, 0x0000000000000000, 60, 15.99 W
2026/09/06 22:12:57.238, 2431 MHz, 0x0000000000000000, 59, 17.42 W
2026/09/06 22:12:58.239, 2431 MHz, 0x0000000000000000, 59, 16.39 W
2026/09/06 22:12:59.239, 2418 MHz, 0x0000000000000000, 58, 16.43 W
2026/09/06 22:13:00.240, 2418 MHz, 0x0000000000000000, 58, 16.20 W
2026/09/06 22:13:01.240, 2424 MHz, 0x0000000000000000, 59, 17.14 W
2026/09/06 22:13:02.240, 2418 MHz, 0x0000000000000000, 59, 16.31 W
2026/09/06 22:13:03.241, 2431 MHz, 0x0000000000000000, 58, 16.58 W
2026/09/06 22:13:04.241, 2418 MHz, 0x0000000000000000, 58, 16.10 W
2026/09/06 22:13:05.242, 2411 MHz, 0x0000000000000000, 57, 14.81 W
2026/09/06 22:13:06.242, 2418 MHz, 0x0000000000000000, 57, 14.75 W
2026/09/06 22:13:07.243, 2418 MHz, 0x0000000000000000, 57, 15.41 W
2026/09/06 22:13:08.243, 2411 MHz, 0x0000000000000000, 57, 14.55 W
2026/09/06 22:13:09.244, 2411 MHz, 0x0000000000000000, 57, 15.47 W
2026/09/06 22:13:10.244, 2411 MHz, 0x0000000000000000, 57, 15.58 W
2026/09/06 22:13:11.244, 2411 MHz, 0x0000000000000000, 57, 15.27 W
2026/09/06 22:13:12.245, 2411 MHz, 0x0000000000000000, 57, 16.12 W
2026/09/06 22:13:13.245, 2411 MHz, 0x0000000000000000, 56, 17.28 W
2026/09/06 22:13:14.246, 2418 MHz, 0x0000000000000000, 57, 23.61 W
2026/09/06 22:13:15.246, 2431 MHz, 0x0000000000000000, 56, 16.59 W
2026/09/06 22:13:16.247, 2411 MHz, 0x0000000000000000, 56, 14.80 W
2026/09/06 22:13:17.247, 2411 MHz, 0x0000000000000000, 56, 14.44 W
2026/09/06 22:13:18.248, 2424 MHz, 0x0000000000000000, 56, 15.58 W
2026/09/06 22:13:19.249, 2411 MHz, 0x0000000000000000, 56, 14.31 W
2026/09/06 22:13:20.249, 2424 MHz, 0x0000000000000000, 56, 15.77 W
2026/09/06 22:13:21.250, 2411 MHz, 0x0000000000000000, 56, 14.20 W
2026/09/06 22:13:22.250, 2424 MHz, 0x0000000000000000, 56, 15.54 W
2026/09/06 22:13:23.250, 2411 MHz, 0x0000000000000000, 56, 14.22 W
2026/09/06 22:13:24.251, 2424 MHz, 0x0000000000000000, 56, 15.47 W
2026/09/06 22:13:25.251, 2411 MHz, 0x0000000000000000, 55, 14.22 W
2026/09/06 22:13:26.251, 2418 MHz, 0x0000000000000000, 55, 15.62 W
2026/09/06 22:13:27.252, 2411 MHz, 0x0000000000000000, 55, 14.17 W
2026/09/06 22:13:28.252, 2418 MHz, 0x0000000000000000, 55, 15.91 W
2026/09/06 22:13:29.252, 2418 MHz, 0x0000000000000000, 56, 17.61 W
2026/09/06 22:13:30.252, 2431 MHz, 0x0000000000000000, 55, 16.69 W
2026/09/06 22:13:31.253, 2418 MHz, 0x0000000000000000, 55, 15.29 W
2026/09/06 22:13:32.253, 2411 MHz, 0x0000000000000000, 55, 14.37 W
