timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 22:11:00.194, 208 MHz, 0x0000000000000004, 46, 5.19 W
2026/09/06 22:11:01.203, 208 MHz, 0x0000000000000000, 46, 5.33 W
2026/09/06 22:11:02.203, 208 MHz, 0x0000000000000004, 46, 5.25 W
2026/09/06 22:11:03.204, 208 MHz, 0x0000000000000000, 46, 5.20 W
2026/09/06 22:11:04.205, 208 MHz, 0x0000000000000004, 46, 5.18 W
2026/09/06 22:11:05.206, 208 MHz, 0x0000000000000000, 47, 5.16 W
2026/09/06 22:11:06.206, 208 MHz, 0x0000000000000004, 47, 5.22 W
2026/09/06 22:11:07.207, 208 MHz, 0x0000000000000000, 47, 5.22 W
2026/09/06 22:11:08.208, 208 MHz, 0x0000000000000004, 47, 5.33 W
2026/09/06 22:11:09.209, 208 MHz, 0x0000000000000000, 47, 5.22 W
2026/09/06 22:11:10.209, 208 MHz, 0x0000000000000004, 47, 5.09 W
2026/09/06 22:11:11.210, 208 MHz, 0x0000000000000000, 47, 5.06 W
2026/09/06 22:11:12.211, 208 MHz, 0x0000000000000004, 47, 5.05 W
2026/09/06 22:11:13.212, 208 MHz, 0x0000000000000000, 47, 5.05 W
2026/09/06 22:11:14.213, 208 MHz, 0x0000000000000004, 47, 5.07 W
2026/09/06 22:11:15.213, 208 MHz, 0x0000000000000000, 47, 5.07 W
2026/09/06 22:11:16.214, 208 MHz, 0x0000000000000004, 46, 5.04 W
2026/09/06 22:11:17.215, 208 MHz, 0x0000000000000000, 46, 5.05 W
2026/09/06 22:11:18.216, 208 MHz, 0x0000000000000004, 46, 5.07 W
2026/09/06 22:11:19.217, 208 MHz, 0x0000000000000000, 46, 5.08 W
2026/09/06 22:11:20.218, 208 MHz, 0x0000000000000004, 46, 5.07 W
2026/09/06 22:11:21.219, 208 MHz, 0x0000000000000000, 46, 5.09 W
2026/09/06 22:11:22.219, 208 MHz, 0x0000000000000004, 46, 5.07 W
2026/09/06 22:11:23.220, 208 MHz, 0x0000000000000000, 46, 5.07 W
2026/09/06 22:11:24.221, 208 MHz, 0x0000000000000004, 46, 5.07 W
2026/09/06 22:11:25.222, 208 MHz, 0x0000000000000000, 46, 5.07 W
2026/09/06 22:11:26.222, 208 MHz, 0x0000000000000004, 46, 5.07 W
2026/09/06 22:11:27.223, 208 MHz, 0x0000000000000004, 46, 5.38 W
2026/09/06 22:11:28.223, 2411 MHz, 0x0000000000000000, 47, 12.79 W
2026/09/06 22:11:29.223, 2411 MHz, 0x0000000000000000, 47, 12.49 W
2026/09/06 22:11:30.223, 2405 MHz, 0x0000000000000000, 47, 12.51 W
2026/09/06 22:11:31.224, 2424 MHz, 0x0000000000000000, 48, 12.69 W
2026/09/06 22:11:32.224, 2411 MHz, 0x0000000000000000, 48, 12.61 W
2026/09/06 22:11:33.225, 2411 MHz, 0x0000000000000000, 48, 12.64 W
2026/09/06 22:11:34.225, 2405 MHz, 0x0000000000000000, 48, 12.60 W
2026/09/06 22:11:35.225, 2405 MHz, 0x0000000000000000, 48, 12.64 W
2026/09/06 22:11:36.225, 2405 MHz, 0x0000000000000000, 48, 12.86 W
2026/09/06 22:11:37.226, 2411 MHz, 0x0000000000000000, 48, 12.90 W
2026/09/06 22:11:38.226, 2411 MHz, 0x0000000000000000, 48, 12.74 W
2026/09/06 22:11:39.226, 2411 MHz, 0x0000000000000000, 48, 12.70 W
2026/09/06 22:11:40.226, 2405 MHz, 0x0000000000000000, 48, 12.68 W
2026/09/06 22:11:41.227, 2411 MHz, 0x0000000000000000, 49, 12.79 W
2026/09/06 22:11:42.227, 2580 MHz, 0x0000000000000000, 50, 18.71 W
2026/09/06 22:11:43.227, 2522 MHz, 0x0000000000000000, 50, 18.72 W
2026/09/06 22:11:44.227, 2496 MHz, 0x0000000000000000, 51, 19.77 W
2026/09/06 22:11:45.228, 2509 MHz, 0x0000000000000000, 51, 19.75 W
2026/09/06 22:11:46.228, 2463 MHz, 0x0000000000000000, 51, 17.81 W
2026/09/06 22:11:47.228, 2515 MHz, 0x0000000000000000, 51, 18.34 W
2026/09/06 22:11:48.228, 2496 MHz, 0x0000000000000000, 51, 19.90 W
2026/09/06 22:11:49.228, 2528 MHz, 0x0000000000000000, 52, 21.06 W
2026/09/06 22:11:50.228, 2476 MHz, 0x0000000000000000, 52, 19.00 W
2026/09/06 22:11:51.229, 2502 MHz, 0x0000000000000000, 52, 18.67 W
2026/09/06 22:11:52.229, 2489 MHz, 0x0000000000000000, 52, 18.64 W
2026/09/06 22:11:53.229, 2476 MHz, 0x0000000000000000, 52, 18.18 W
2026/09/06 22:11:54.229, 2528 MHz, 0x0000000000000000, 53, 20.31 W
2026/09/06 22:11:55.229, 2509 MHz, 0x0000000000000000, 53, 19.61 W
2026/09/06 22:11:56.229, 2489 MHz, 0x0000000000000000, 53, 17.67 W
2026/09/06 22:11:57.230, 2463 MHz, 0x0000000000000000, 53, 17.81 W
2026/09/06 22:11:58.230, 2457 MHz, 0x0000000000000000, 53, 18.57 W
2026/09/06 22:11:59.230, 2496 MHz, 0x0000000000000000, 54, 19.59 W
2026/09/06 22:12:00.230, 2541 MHz, 0x0000000000000000, 54, 21.51 W
2026/09/06 22:12:01.230, 2509 MHz, 0x0000000000000000, 54, 20.54 W
2026/09/06 22:12:02.230, 2483 MHz, 0x0000000000000000, 54, 19.18 W
2026/09/06 22:12:03.230, 2496 MHz, 0x0000000000000000, 54, 19.58 W
2026/09/06 22:12:04.231, 2496 MHz, 0x0000000000000000, 54, 19.24 W
2026/09/06 22:12:05.231, 2496 MHz, 0x0000000000000000, 54, 19.18 W
2026/09/06 22:12:06.231, 2483 MHz, 0x0000000000000000, 55, 19.27 W
2026/09/06 22:12:07.231, 2483 MHz, 0x0000000000000000, 55, 19.32 W
2026/09/06 22:12:08.231, 2483 MHz, 0x0000000000000000, 55, 19.24 W
