timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/06 22:11:00.202, 208 MHz, 0x0000000000000004, 49, 4.39 W
2026/09/06 22:11:01.211, 208 MHz, 0x0000000000000000, 49, 4.59 W
2026/09/06 22:11:02.211, 208 MHz, 0x0000000000000004, 49, 4.60 W
2026/09/06 22:11:03.212, 208 MHz, 0x0000000000000000, 49, 4.40 W
2026/09/06 22:11:04.212, 208 MHz, 0x0000000000000004, 49, 4.42 W
2026/09/06 22:11:05.213, 208 MHz, 0x0000000000000000, 49, 4.45 W
2026/09/06 22:11:06.213, 208 MHz, 0x0000000000000004, 49, 4.40 W
2026/09/06 22:11:07.214, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/06 22:11:08.214, 208 MHz, 0x0000000000000004, 49, 4.39 W
2026/09/06 22:11:09.215, 208 MHz, 0x0000000000000000, 49, 4.39 W
2026/09/06 22:11:10.215, 208 MHz, 0x0000000000000004, 49, 4.38 W
2026/09/06 22:11:11.215, 208 MHz, 0x0000000000000000, 49, 4.38 W
2026/09/06 22:11:12.216, 208 MHz, 0x0000000000000004, 49, 4.49 W
2026/09/06 22:11:13.216, 208 MHz, 0x0000000000000000, 49, 4.53 W
2026/09/06 22:11:14.217, 208 MHz, 0x0000000000000004, 49, 4.44 W
2026/09/06 22:11:15.217, 214 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/06 22:11:16.217, 208 MHz, 0x0000000000000004, 49, 4.41 W
2026/09/06 22:11:17.218, 208 MHz, 0x0000000000000000, 49, 4.45 W
2026/09/06 22:11:18.218, 208 MHz, 0x0000000000000004, 49, 4.57 W
2026/09/06 22:11:19.219, 208 MHz, 0x0000000000000000, 49, 4.47 W
2026/09/06 22:11:20.220, 208 MHz, 0x0000000000000004, 49, 4.20 W
2026/09/06 22:11:21.221, 208 MHz, 0x0000000000000000, 49, 4.15 W
2026/09/06 22:11:22.222, 208 MHz, 0x0000000000000004, 49, 4.15 W
2026/09/06 22:11:23.222, 208 MHz, 0x0000000000000000, 49, 4.18 W
2026/09/06 22:11:24.222, 208 MHz, 0x0000000000000004, 49, 4.18 W
2026/09/06 22:11:25.223, 208 MHz, 0x0000000000000000, 49, 4.20 W
2026/09/06 22:11:26.224, 208 MHz, 0x0000000000000004, 48, 4.20 W
2026/09/06 22:11:27.225, 208 MHz, 0x0000000000000000, 48, 4.27 W
2026/09/06 22:11:28.225, 2405 MHz, 0x0000000000000000, 49, 11.51 W
2026/09/06 22:11:29.225, 2411 MHz, 0x0000000000000000, 50, 12.01 W
2026/09/06 22:11:30.226, 2405 MHz, 0x0000000000000000, 50, 11.98 W
2026/09/06 22:11:31.226, 2418 MHz, 0x0000000000000000, 50, 12.06 W
2026/09/06 22:11:32.227, 2405 MHz, 0x0000000000000000, 50, 12.05 W
2026/09/06 22:11:33.227, 2405 MHz, 0x0000000000000000, 50, 12.07 W
2026/09/06 22:11:34.227, 2405 MHz, 0x0000000000000000, 50, 12.05 W
2026/09/06 22:11:35.227, 2405 MHz, 0x0000000000000000, 50, 12.11 W
2026/09/06 22:11:36.227, 2405 MHz, 0x0000000000000000, 50, 12.30 W
2026/09/06 22:11:37.228, 2405 MHz, 0x0000000000000000, 50, 12.39 W
2026/09/06 22:11:38.228, 2405 MHz, 0x0000000000000000, 50, 12.15 W
2026/09/06 22:11:39.228, 2405 MHz, 0x0000000000000000, 50, 12.17 W
2026/09/06 22:11:40.228, 2405 MHz, 0x0000000000000000, 50, 12.14 W
2026/09/06 22:11:41.228, 2405 MHz, 0x0000000000000000, 51, 12.27 W
2026/09/06 22:11:42.229, 2509 MHz, 0x0000000000000000, 52, 18.10 W
2026/09/06 22:11:43.229, 2476 MHz, 0x0000000000000000, 52, 17.61 W
2026/09/06 22:11:44.229, 2463 MHz, 0x0000000000000000, 52, 18.52 W
2026/09/06 22:11:45.229, 2476 MHz, 0x0000000000000000, 53, 19.09 W
2026/09/06 22:11:46.229, 2444 MHz, 0x0000000000000000, 53, 16.98 W
2026/09/06 22:11:47.230, 2476 MHz, 0x0000000000000000, 53, 17.68 W
2026/09/06 22:11:48.230, 2463 MHz, 0x0000000000000000, 53, 18.71 W
2026/09/06 22:11:49.230, 2457 MHz, 0x0000000000000000, 54, 19.45 W
2026/09/06 22:11:50.230, 2431 MHz, 0x0000000000000000, 54, 17.31 W
2026/09/06 22:11:51.230, 2437 MHz, 0x0000000000000000, 54, 16.81 W
2026/09/06 22:11:52.231, 2444 MHz, 0x0000000000000000, 54, 16.72 W
2026/09/06 22:11:53.231, 2437 MHz, 0x0000000000000000, 54, 16.91 W
2026/09/06 22:11:54.231, 2463 MHz, 0x0000000000000000, 55, 18.71 W
2026/09/06 22:11:55.231, 2457 MHz, 0x0000000000000000, 55, 18.23 W
2026/09/06 22:11:56.231, 2450 MHz, 0x0000000000000000, 55, 17.29 W
2026/09/06 22:11:57.231, 2437 MHz, 0x0000000000000000, 55, 17.61 W
2026/09/06 22:11:58.232, 2437 MHz, 0x0000000000000000, 55, 17.82 W
2026/09/06 22:11:59.232, 2444 MHz, 0x0000000000000000, 55, 18.58 W
2026/09/06 22:12:00.232, 2457 MHz, 0x0000000000000000, 55, 19.34 W
2026/09/06 22:12:01.232, 2444 MHz, 0x0000000000000000, 55, 18.14 W
2026/09/06 22:12:02.232, 2431 MHz, 0x0000000000000000, 55, 17.09 W
2026/09/06 22:12:03.232, 2444 MHz, 0x0000000000000000, 56, 17.43 W
2026/09/06 22:12:04.232, 2444 MHz, 0x0000000000000000, 56, 17.34 W
2026/09/06 22:12:05.233, 2437 MHz, 0x0000000000000000, 56, 17.21 W
2026/09/06 22:12:06.233, 2431 MHz, 0x0000000000000000, 56, 17.22 W
2026/09/06 22:12:07.233, 2444 MHz, 0x0000000000000000, 56, 17.60 W
2026/09/06 22:12:08.233, 2431 MHz, 0x0000000000000000, 56, 17.42 W
2026/09/06 22:12:09.233, 2457 MHz, 0x0000000000000000, 56, 18.72 W
2026/09/06 22:12:10.233, 2463 MHz, 0x0000000000000000, 57, 19.44 W
2026/09/06 22:12:11.234, 2457 MHz, 0x0000000000000000, 57, 18.95 W
2026/09/06 22:12:12.234, 2457 MHz, 0x0000000000000000, 57, 19.14 W
2026/09/06 22:12:13.234, 2463 MHz, 0x0000000000000000, 57, 19.63 W
2026/09/06 22:12:14.234, 2431 MHz, 0x0000000000000000, 57, 17.06 W
