timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/08 19:07:32.522, 2541 MHz, 0x0000000000000000, 57, 19.08 W
2026/09/08 19:07:33.541, 2411 MHz, 0x0000000000000000, 55, 16.83 W
2026/09/08 19:07:34.541, 2554 MHz, 0x0000000000000000, 60, 34.31 W
2026/09/08 19:07:35.541, 2561 MHz, 0x0000000000000000, 58, 41.12 W
2026/09/08 19:07:36.542, 2548 MHz, 0x0000000000000000, 60, 52.20 W
2026/09/08 19:07:37.542, 2411 MHz, 0x0000000000000000, 56, 22.26 W
2026/09/08 19:07:38.543, 2528 MHz, 0x0000000000000000, 65, 42.01 W
2026/09/08 19:07:39.543, 2528 MHz, 0x0000000000000000, 62, 66.60 W
2026/09/08 19:07:40.544, 2502 MHz, 0x0000000000000000, 58, 34.24 W
2026/09/08 19:07:41.544, 2411 MHz, 0x0000000000000000, 57, 14.23 W
2026/09/08 19:07:42.544, 2411 MHz, 0x0000000000000000, 57, 14.15 W
2026/09/08 19:07:43.545, 2411 MHz, 0x0000000000000000, 57, 14.09 W
2026/09/08 19:07:44.545, 2411 MHz, 0x0000000000000000, 56, 14.06 W
2026/09/08 19:07:45.546, 2411 MHz, 0x0000000000000000, 56, 14.03 W
2026/09/08 19:07:46.546, 2502 MHz, 0x0000000000000000, 62, 25.12 W
2026/09/08 19:07:47.546, 2522 MHz, 0x0000000000000000, 67, 74.43 W
2026/09/08 19:07:48.547, 2528 MHz, 0x0000000000000000, 62, 71.36 W
2026/09/08 19:07:49.547, 2476 MHz, 0x0000000000000000, 59, 35.07 W
2026/09/08 19:07:50.547, 2470 MHz, 0x0000000000000000, 60, 17.47 W
2026/09/08 19:07:51.548, 2561 MHz, 0x0000000000000000, 60, 35.44 W
2026/09/08 19:07:52.548, 2528 MHz, 0x0000000000000000, 67, 59.90 W
2026/09/08 19:07:53.549, 2528 MHz, 0x0000000000000000, 65, 60.61 W
2026/09/08 19:07:54.550, 2528 MHz, 0x0000000000000000, 65, 60.37 W
2026/09/08 19:07:55.550, 2528 MHz, 0x0000000000000000, 65, 38.64 W
2026/09/08 19:07:56.551, 2528 MHz, 0x0000000000000000, 66, 61.64 W
2026/09/08 19:07:57.551, 2528 MHz, 0x0000000000000000, 67, 60.92 W
2026/09/08 19:07:58.552, 2411 MHz, 0x0000000000000000, 61, 42.23 W
2026/09/08 19:07:59.552, 2528 MHz, 0x0000000000000000, 66, 38.71 W
2026/09/08 19:08:00.553, 2522 MHz, 0x0000000000000000, 68, 62.23 W
2026/09/08 19:08:01.553, 2528 MHz, 0x0000000000000000, 67, 63.03 W
2026/09/08 19:08:02.553, 2522 MHz, 0x0000000000000000, 68, 64.00 W
2026/09/08 19:08:03.553, 2522 MHz, 0x0000000000000000, 71, 64.14 W
2026/09/08 19:08:04.553, 2522 MHz, 0x0000000000000000, 68, 64.31 W
2026/09/08 19:08:05.554, 2522 MHz, 0x0000000000000000, 69, 64.25 W
2026/09/08 19:08:06.554, 2522 MHz, 0x0000000000000000, 70, 64.65 W
