timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/09 14:09:04.698, 208 MHz, 0x0000000000000000, 49, 6.74 W
2026/09/09 14:09:05.708, 208 MHz, 0x0000000000000000, 49, 6.76 W
2026/09/09 14:09:06.708, 208 MHz, 0x0000000000000000, 49, 6.43 W
2026/09/09 14:09:07.708, 208 MHz, 0x0000000000000000, 49, 6.27 W
2026/09/09 14:09:08.709, 208 MHz, 0x0000000000000004, 49, 6.11 W
2026/09/09 14:09:09.709, 208 MHz, 0x0000000000000000, 49, 6.12 W
2026/09/09 14:09:10.710, 208 MHz, 0x0000000000000000, 49, 6.19 W
2026/09/09 14:09:11.710, 208 MHz, 0x0000000000000000, 49, 6.17 W
2026/09/09 14:09:12.711, 208 MHz, 0x0000000000000000, 49, 6.17 W
2026/09/09 14:09:13.712, 208 MHz, 0x0000000000000000, 49, 6.09 W
2026/09/09 14:09:14.712, 208 MHz, 0x0000000000000004, 49, 6.12 W
2026/09/09 14:09:15.712, 208 MHz, 0x0000000000000000, 49, 6.12 W
2026/09/09 14:09:16.712, 208 MHz, 0x0000000000000004, 49, 6.14 W
2026/09/09 14:09:17.712, 208 MHz, 0x0000000000000000, 49, 6.14 W
2026/09/09 14:09:18.713, 208 MHz, 0x0000000000000004, 49, 6.15 W
2026/09/09 14:09:19.713, 208 MHz, 0x0000000000000000, 49, 6.14 W
2026/09/09 14:09:20.714, 208 MHz, 0x0000000000000004, 49, 6.16 W
2026/09/09 14:09:21.714, 208 MHz, 0x0000000000000000, 49, 6.21 W
2026/09/09 14:09:22.714, 208 MHz, 0x0000000000000000, 49, 6.22 W
2026/09/09 14:09:23.715, 208 MHz, 0x0000000000000000, 50, 6.22 W
2026/09/09 14:09:24.715, 208 MHz, 0x0000000000000000, 50, 6.12 W
2026/09/09 14:09:25.715, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/09 14:09:26.716, 208 MHz, 0x0000000000000000, 50, 6.16 W
2026/09/09 14:09:27.716, 208 MHz, 0x0000000000000004, 50, 6.17 W
2026/09/09 14:09:28.716, 208 MHz, 0x0000000000000000, 50, 6.15 W
2026/09/09 14:09:29.717, 208 MHz, 0x0000000000000000, 50, 6.19 W
2026/09/09 14:09:30.717, 208 MHz, 0x0000000000000000, 50, 6.23 W
2026/09/09 14:09:31.718, 208 MHz, 0x0000000000000000, 50, 6.23 W
2026/09/09 14:09:32.719, 208 MHz, 0x0000000000000000, 50, 6.14 W
2026/09/09 14:09:33.719, 208 MHz, 0x0000000000000004, 50, 6.11 W
2026/09/09 14:09:34.719, 208 MHz, 0x0000000000000000, 50, 6.19 W
2026/09/09 14:09:35.720, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/09 14:09:36.720, 208 MHz, 0x0000000000000000, 50, 6.16 W
2026/09/09 14:09:37.721, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/09 14:09:38.721, 208 MHz, 0x0000000000000000, 50, 6.09 W
2026/09/09 14:09:39.722, 208 MHz, 0x0000000000000004, 50, 6.02 W
2026/09/09 14:09:40.722, 208 MHz, 0x0000000000000000, 50, 6.04 W
2026/09/09 14:09:41.723, 208 MHz, 0x0000000000000004, 50, 6.03 W
2026/09/09 14:09:42.724, 208 MHz, 0x0000000000000000, 50, 6.03 W
2026/09/09 14:09:43.725, 208 MHz, 0x0000000000000004, 50, 6.02 W
2026/09/09 14:09:44.726, 208 MHz, 0x0000000000000000, 49, 6.02 W
2026/09/09 14:09:45.726, 208 MHz, 0x0000000000000004, 49, 6.01 W
2026/09/09 14:09:46.727, 208 MHz, 0x0000000000000000, 49, 6.02 W
2026/09/09 14:09:47.728, 208 MHz, 0x0000000000000004, 49, 6.02 W
2026/09/09 14:09:48.729, 208 MHz, 0x0000000000000000, 49, 6.01 W
2026/09/09 14:09:49.730, 208 MHz, 0x0000000000000004, 49, 6.00 W
2026/09/09 14:09:50.731, 208 MHz, 0x0000000000000000, 49, 6.01 W
