timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/09 14:09:04.697, 2398 MHz, 0x0000000000000000, 51, 12.73 W
2026/09/09 14:09:05.702, 1196 MHz, 0x0000000000000000, 50, 10.40 W
2026/09/09 14:09:06.703, 208 MHz, 0x0000000000000000, 50, 5.18 W
2026/09/09 14:09:07.704, 208 MHz, 0x0000000000000000, 50, 5.19 W
2026/09/09 14:09:08.705, 208 MHz, 0x0000000000000000, 50, 5.19 W
2026/09/09 14:09:09.705, 208 MHz, 0x0000000000000000, 50, 4.50 W
2026/09/09 14:09:10.706, 201 MHz, 0x0000000000000004, 50, 4.44 W
2026/09/09 14:09:11.707, 208 MHz, 0x0000000000000000, 50, 4.46 W
2026/09/09 14:09:12.707, 214 MHz, 0x0000000000000000, 50, 4.49 W
2026/09/09 14:09:13.708, 208 MHz, 0x0000000000000000, 50, 4.53 W
2026/09/09 14:09:14.708, 208 MHz, 0x0000000000000000, 50, 4.53 W
2026/09/09 14:09:15.708, 208 MHz, 0x0000000000000000, 50, 4.50 W
2026/09/09 14:09:16.709, 208 MHz, 0x0000000000000004, 50, 4.49 W
2026/09/09 14:09:17.709, 208 MHz, 0x0000000000000000, 50, 4.54 W
2026/09/09 14:09:18.709, 208 MHz, 0x0000000000000004, 50, 4.56 W
2026/09/09 14:09:19.710, 208 MHz, 0x0000000000000000, 50, 4.59 W
2026/09/09 14:09:20.710, 208 MHz, 0x0000000000000004, 50, 4.58 W
2026/09/09 14:09:21.711, 208 MHz, 0x0000000000000000, 50, 4.49 W
2026/09/09 14:09:22.711, 208 MHz, 0x0000000000000004, 50, 4.55 W
2026/09/09 14:09:23.711, 214 MHz, 0x0000000000000000, 50, 4.69 W
2026/09/09 14:09:24.712, 208 MHz, 0x0000000000000000, 50, 4.69 W
2026/09/09 14:09:25.712, 208 MHz, 0x0000000000000000, 50, 4.69 W
2026/09/09 14:09:26.713, 208 MHz, 0x0000000000000000, 50, 4.71 W
2026/09/09 14:09:27.714, 208 MHz, 0x0000000000000004, 50, 4.63 W
2026/09/09 14:09:28.714, 208 MHz, 0x0000000000000000, 50, 4.48 W
2026/09/09 14:09:29.715, 208 MHz, 0x0000000000000004, 50, 4.48 W
2026/09/09 14:09:30.715, 208 MHz, 0x0000000000000000, 50, 4.51 W
2026/09/09 14:09:31.716, 208 MHz, 0x0000000000000000, 50, 4.71 W
2026/09/09 14:09:32.716, 208 MHz, 0x0000000000000000, 50, 4.62 W
2026/09/09 14:09:33.717, 208 MHz, 0x0000000000000000, 50, 4.62 W
2026/09/09 14:09:34.718, 208 MHz, 0x0000000000000000, 50, 4.49 W
2026/09/09 14:09:35.718, 208 MHz, 0x0000000000000004, 50, 4.47 W
2026/09/09 14:09:36.719, 208 MHz, 0x0000000000000000, 50, 4.53 W
2026/09/09 14:09:37.720, 208 MHz, 0x0000000000000004, 50, 4.47 W
2026/09/09 14:09:38.720, 208 MHz, 0x0000000000000000, 50, 4.55 W
2026/09/09 14:09:39.720, 208 MHz, 0x0000000000000004, 50, 4.73 W
2026/09/09 14:09:40.721, 208 MHz, 0x0000000000000000, 50, 4.61 W
2026/09/09 14:09:41.722, 208 MHz, 0x0000000000000004, 50, 4.20 W
2026/09/09 14:09:42.723, 208 MHz, 0x0000000000000000, 50, 4.20 W
2026/09/09 14:09:43.724, 208 MHz, 0x0000000000000004, 50, 4.19 W
2026/09/09 14:09:44.725, 208 MHz, 0x0000000000000000, 49, 4.19 W
2026/09/09 14:09:45.726, 208 MHz, 0x0000000000000004, 49, 4.19 W
2026/09/09 14:09:46.727, 208 MHz, 0x0000000000000000, 49, 4.26 W
2026/09/09 14:09:47.728, 208 MHz, 0x0000000000000004, 49, 4.23 W
2026/09/09 14:09:48.728, 208 MHz, 0x0000000000000000, 49, 4.21 W
2026/09/09 14:09:49.729, 208 MHz, 0x0000000000000004, 49, 4.19 W
2026/09/09 14:09:50.730, 208 MHz, 0x0000000000000000, 49, 4.20 W
2026/09/09 14:09:51.731, 208 MHz, 0x0000000000000004, 49, 4.23 W
2026/09/09 14:09:52.731, 208 MHz, 0x0000000000000000, 49, 4.24 W
2026/09/09 14:09:53.731, 208 MHz, 0x0000000000000004, 49, 4.21 W
2026/09/09 14:09:54.732, 208 MHz, 0x0000000000000000, 49, 4.18 W
2026/09/09 14:09:55.732, 208 MHz, 0x0000000000000004, 49, 4.73 W
2026/09/09 14:09:56.733, 2398 MHz, 0x0000000000000000, 50, 12.93 W
2026/09/09 14:09:57.733, 2398 MHz, 0x0000000000000000, 50, 12.74 W
2026/09/09 14:09:58.733, 2398 MHz, 0x0000000000000000, 50, 12.72 W
2026/09/09 14:09:59.733, 2405 MHz, 0x0000000000000000, 50, 12.86 W
2026/09/09 14:10:00.734, 2405 MHz, 0x0000000000000000, 50, 12.85 W
2026/09/09 14:10:01.734, 2398 MHz, 0x0000000000000000, 50, 12.79 W
2026/09/09 14:10:02.734, 2398 MHz, 0x0000000000000000, 50, 12.81 W
2026/09/09 14:10:03.734, 2405 MHz, 0x0000000000000000, 51, 12.98 W
2026/09/09 14:10:04.735, 2398 MHz, 0x0000000000000000, 51, 13.09 W
2026/09/09 14:10:05.735, 2398 MHz, 0x0000000000000000, 51, 13.04 W
2026/09/09 14:10:06.735, 2398 MHz, 0x0000000000000000, 51, 12.84 W
2026/09/09 14:10:07.735, 2405 MHz, 0x0000000000000000, 51, 12.94 W
2026/09/09 14:10:08.736, 2398 MHz, 0x0000000000000000, 51, 12.82 W
2026/09/09 14:10:09.736, 2405 MHz, 0x0000000000000000, 51, 13.25 W
2026/09/09 14:10:10.736, 2431 MHz, 0x0000000000000000, 52, 19.55 W
2026/09/09 14:10:11.736, 2463 MHz, 0x0000000000000000, 53, 20.16 W
2026/09/09 14:10:12.736, 2444 MHz, 0x0000000000000000, 53, 19.32 W
2026/09/09 14:10:13.737, 2444 MHz, 0x0000000000000000, 53, 19.45 W
2026/09/09 14:10:14.737, 2431 MHz, 0x0000000000000000, 53, 17.44 W
2026/09/09 14:10:15.737, 2450 MHz, 0x0000000000000000, 54, 20.41 W
2026/09/09 14:10:16.737, 2450 MHz, 0x0000000000000000, 54, 19.91 W
2026/09/09 14:10:17.738, 2450 MHz, 0x0000000000000000, 54, 20.33 W
2026/09/09 14:10:18.738, 2424 MHz, 0x0000000000000000, 54, 17.33 W
2026/09/09 14:10:19.738, 2424 MHz, 0x0000000000000000, 54, 16.85 W
2026/09/09 14:10:20.738, 2431 MHz, 0x0000000000000000, 55, 16.90 W
2026/09/09 14:10:21.738, 2431 MHz, 0x0000000000000000, 55, 17.10 W
2026/09/09 14:10:22.738, 2444 MHz, 0x0000000000000000, 55, 19.61 W
2026/09/09 14:10:23.739, 2424 MHz, 0x0000000000000000, 55, 18.19 W
2026/09/09 14:10:24.739, 2444 MHz, 0x0000000000000000, 55, 18.06 W
2026/09/09 14:10:25.739, 2444 MHz, 0x0000000000000000, 56, 18.47 W
2026/09/09 14:10:26.739, 2431 MHz, 0x0000000000000000, 56, 18.14 W
2026/09/09 14:10:27.740, 2450 MHz, 0x0000000000000000, 56, 20.22 W
2026/09/09 14:10:28.740, 2437 MHz, 0x0000000000000000, 56, 20.35 W
2026/09/09 14:10:29.740, 2431 MHz, 0x0000000000000000, 56, 18.28 W
2026/09/09 14:10:30.740, 2431 MHz, 0x0000000000000000, 56, 18.28 W
2026/09/09 14:10:31.740, 2431 MHz, 0x0000000000000000, 56, 17.88 W
2026/09/09 14:10:32.741, 2431 MHz, 0x0000000000000000, 57, 18.11 W
2026/09/09 14:10:33.741, 2431 MHz, 0x0000000000000000, 57, 18.16 W
2026/09/09 14:10:34.741, 2431 MHz, 0x0000000000000000, 57, 18.27 W
2026/09/09 14:10:35.741, 2437 MHz, 0x0000000000000000, 57, 20.11 W
2026/09/09 14:10:36.741, 2444 MHz, 0x0000000000000000, 57, 20.61 W
2026/09/09 14:10:37.742, 2450 MHz, 0x0000000000000000, 58, 20.86 W
2026/09/09 14:10:38.742, 2437 MHz, 0x0000000000000000, 58, 20.14 W
2026/09/09 14:10:39.742, 2444 MHz, 0x0000000000000000, 58, 20.25 W
2026/09/09 14:10:40.742, 2431 MHz, 0x0000000000000000, 58, 18.55 W
2026/09/09 14:10:41.742, 2431 MHz, 0x0000000000000000, 58, 17.75 W
2026/09/09 14:10:42.743, 2444 MHz, 0x0000000000000000, 58, 20.11 W
2026/09/09 14:10:43.743, 2437 MHz, 0x0000000000000000, 58, 19.06 W
2026/09/09 14:10:44.743, 2437 MHz, 0x0000000000000000, 58, 20.87 W
2026/09/09 14:10:45.743, 2457 MHz, 0x0000000000000000, 59, 22.35 W
2026/09/09 14:10:46.744, 2450 MHz, 0x0000000000000000, 59, 20.33 W
2026/09/09 14:10:47.744, 2450 MHz, 0x0000000000000000, 59, 21.24 W
2026/09/09 14:10:48.744, 2437 MHz, 0x0000000000000000, 59, 19.32 W
2026/09/09 14:10:49.744, 2444 MHz, 0x0000000000000000, 59, 19.00 W
2026/09/09 14:10:50.745, 2424 MHz, 0x0000000000000000, 58, 17.90 W
