timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/09 14:09:04.708, 208 MHz, 0x0000000000000000, 49, 8.81 W
2026/09/09 14:09:05.716, 208 MHz, 0x0000000000000000, 49, 6.22 W
2026/09/09 14:09:06.717, 208 MHz, 0x0000000000000000, 49, 6.21 W
2026/09/09 14:09:07.717, 208 MHz, 0x0000000000000000, 49, 5.68 W
2026/09/09 14:09:08.717, 208 MHz, 0x0000000000000004, 49, 5.37 W
2026/09/09 14:09:09.718, 208 MHz, 0x0000000000000000, 49, 5.38 W
2026/09/09 14:09:10.718, 208 MHz, 0x0000000000000004, 49, 5.37 W
2026/09/09 14:09:11.719, 208 MHz, 0x0000000000000000, 49, 5.51 W
2026/09/09 14:09:12.719, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/09 14:09:13.719, 208 MHz, 0x0000000000000000, 49, 5.39 W
2026/09/09 14:09:14.720, 208 MHz, 0x0000000000000004, 49, 5.38 W
2026/09/09 14:09:15.720, 208 MHz, 0x0000000000000000, 49, 5.40 W
2026/09/09 14:09:16.721, 208 MHz, 0x0000000000000004, 49, 5.43 W
2026/09/09 14:09:17.721, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/09 14:09:18.722, 208 MHz, 0x0000000000000004, 49, 5.45 W
2026/09/09 14:09:19.722, 208 MHz, 0x0000000000000000, 49, 5.39 W
2026/09/09 14:09:20.723, 208 MHz, 0x0000000000000004, 49, 5.41 W
2026/09/09 14:09:21.723, 208 MHz, 0x0000000000000004, 49, 5.48 W
2026/09/09 14:09:22.724, 208 MHz, 0x0000000000000000, 49, 5.52 W
2026/09/09 14:09:23.724, 208 MHz, 0x0000000000000000, 49, 5.55 W
2026/09/09 14:09:24.725, 208 MHz, 0x0000000000000000, 49, 5.51 W
2026/09/09 14:09:25.725, 208 MHz, 0x0000000000000004, 49, 5.47 W
2026/09/09 14:09:26.726, 208 MHz, 0x0000000000000000, 49, 5.39 W
2026/09/09 14:09:27.726, 208 MHz, 0x0000000000000004, 49, 5.38 W
2026/09/09 14:09:28.726, 208 MHz, 0x0000000000000000, 49, 5.36 W
2026/09/09 14:09:29.727, 208 MHz, 0x0000000000000004, 49, 5.35 W
2026/09/09 14:09:30.727, 208 MHz, 0x0000000000000000, 49, 5.49 W
2026/09/09 14:09:31.727, 208 MHz, 0x0000000000000000, 49, 5.47 W
2026/09/09 14:09:32.728, 208 MHz, 0x0000000000000000, 49, 5.47 W
2026/09/09 14:09:33.728, 208 MHz, 0x0000000000000000, 49, 5.36 W
2026/09/09 14:09:34.729, 208 MHz, 0x0000000000000004, 49, 5.34 W
2026/09/09 14:09:35.729, 208 MHz, 0x0000000000000000, 49, 5.36 W
2026/09/09 14:09:36.730, 208 MHz, 0x0000000000000004, 49, 5.38 W
2026/09/09 14:09:37.730, 208 MHz, 0x0000000000000000, 49, 5.49 W
2026/09/09 14:09:38.731, 208 MHz, 0x0000000000000004, 49, 5.35 W
2026/09/09 14:09:39.732, 208 MHz, 0x0000000000000000, 49, 5.30 W
2026/09/09 14:09:40.732, 208 MHz, 0x0000000000000004, 49, 5.23 W
2026/09/09 14:09:41.733, 208 MHz, 0x0000000000000000, 49, 5.23 W
2026/09/09 14:09:42.733, 208 MHz, 0x0000000000000004, 49, 5.24 W
2026/09/09 14:09:43.734, 208 MHz, 0x0000000000000000, 49, 5.22 W
2026/09/09 14:09:44.735, 208 MHz, 0x0000000000000004, 49, 5.20 W
2026/09/09 14:09:45.736, 208 MHz, 0x0000000000000000, 49, 5.22 W
2026/09/09 14:09:46.737, 208 MHz, 0x0000000000000004, 49, 5.22 W
2026/09/09 14:09:47.738, 208 MHz, 0x0000000000000000, 49, 5.21 W
2026/09/09 14:09:48.738, 208 MHz, 0x0000000000000004, 49, 5.21 W
2026/09/09 14:09:49.738, 208 MHz, 0x0000000000000000, 49, 5.21 W
2026/09/09 14:09:50.739, 208 MHz, 0x0000000000000004, 49, 5.23 W
2026/09/09 14:09:51.740, 208 MHz, 0x0000000000000000, 49, 5.22 W
2026/09/09 14:09:52.741, 208 MHz, 0x0000000000000004, 48, 5.20 W
2026/09/09 14:09:53.742, 208 MHz, 0x0000000000000000, 48, 5.21 W
2026/09/09 14:09:54.743, 208 MHz, 0x0000000000000004, 48, 5.19 W
2026/09/09 14:09:55.743, 208 MHz, 0x0000000000000004, 49, 5.91 W
2026/09/09 14:09:56.744, 2411 MHz, 0x0000000000000000, 49, 12.98 W
2026/09/09 14:09:57.744, 2411 MHz, 0x0000000000000000, 49, 12.81 W
2026/09/09 14:09:58.745, 2411 MHz, 0x0000000000000000, 49, 12.85 W
2026/09/09 14:09:59.745, 2411 MHz, 0x0000000000000000, 50, 12.96 W
