timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/09 14:09:04.735, 208 MHz, 0x0000000000000004, 48, 4.28 W
2026/09/09 14:09:05.756, 2405 MHz, 0x0000000000000000, 49, 7.99 W
2026/09/09 14:09:06.756, 2405 MHz, 0x0000000000000000, 49, 11.77 W
2026/09/09 14:09:07.756, 208 MHz, 0x0000000000000000, 49, 7.10 W
2026/09/09 14:09:08.757, 208 MHz, 0x0000000000000000, 49, 4.87 W
2026/09/09 14:09:09.757, 208 MHz, 0x0000000000000000, 49, 4.86 W
2026/09/09 14:09:10.758, 208 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/09 14:09:11.758, 208 MHz, 0x0000000000000004, 48, 4.40 W
2026/09/09 14:09:12.758, 208 MHz, 0x0000000000000000, 48, 4.37 W
2026/09/09 14:09:13.759, 208 MHz, 0x0000000000000000, 48, 4.38 W
2026/09/09 14:09:14.759, 208 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/09 14:09:15.759, 208 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/09 14:09:16.760, 208 MHz, 0x0000000000000000, 48, 4.30 W
2026/09/09 14:09:17.760, 208 MHz, 0x0000000000000004, 48, 4.30 W
2026/09/09 14:09:18.761, 208 MHz, 0x0000000000000000, 48, 4.37 W
2026/09/09 14:09:19.761, 208 MHz, 0x0000000000000004, 48, 4.40 W
2026/09/09 14:09:20.762, 208 MHz, 0x0000000000000000, 48, 4.41 W
2026/09/09 14:09:21.763, 208 MHz, 0x0000000000000004, 48, 4.45 W
2026/09/09 14:09:22.763, 208 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/09 14:09:23.763, 208 MHz, 0x0000000000000004, 48, 4.37 W
2026/09/09 14:09:24.764, 214 MHz, 0x0000000000000000, 48, 4.57 W
2026/09/09 14:09:25.765, 208 MHz, 0x0000000000000000, 48, 4.49 W
2026/09/09 14:09:26.765, 208 MHz, 0x0000000000000000, 48, 4.49 W
2026/09/09 14:09:27.765, 208 MHz, 0x0000000000000000, 49, 4.57 W
2026/09/09 14:09:28.766, 208 MHz, 0x0000000000000004, 49, 4.37 W
2026/09/09 14:09:29.766, 208 MHz, 0x0000000000000000, 49, 4.42 W
2026/09/09 14:09:30.767, 208 MHz, 0x0000000000000004, 48, 4.39 W
2026/09/09 14:09:31.767, 208 MHz, 0x0000000000000000, 48, 4.39 W
2026/09/09 14:09:32.768, 208 MHz, 0x0000000000000004, 48, 4.42 W
2026/09/09 14:09:33.768, 208 MHz, 0x0000000000000000, 49, 4.54 W
2026/09/09 14:09:34.769, 208 MHz, 0x0000000000000000, 49, 4.47 W
2026/09/09 14:09:35.769, 208 MHz, 0x0000000000000000, 49, 4.44 W
2026/09/09 14:09:36.770, 208 MHz, 0x0000000000000004, 49, 4.39 W
2026/09/09 14:09:37.770, 208 MHz, 0x0000000000000000, 49, 4.38 W
2026/09/09 14:09:38.771, 208 MHz, 0x0000000000000004, 49, 4.39 W
2026/09/09 14:09:39.771, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/09 14:09:40.772, 208 MHz, 0x0000000000000004, 49, 4.41 W
2026/09/09 14:09:41.772, 208 MHz, 0x0000000000000000, 48, 4.40 W
2026/09/09 14:09:42.772, 208 MHz, 0x0000000000000004, 48, 4.48 W
2026/09/09 14:09:43.773, 208 MHz, 0x0000000000000000, 49, 4.55 W
2026/09/09 14:09:44.773, 208 MHz, 0x0000000000000004, 49, 4.47 W
2026/09/09 14:09:45.774, 208 MHz, 0x0000000000000000, 49, 4.41 W
2026/09/09 14:09:46.775, 208 MHz, 0x0000000000000004, 49, 4.37 W
2026/09/09 14:09:47.775, 208 MHz, 0x0000000000000000, 49, 4.40 W
2026/09/09 14:09:48.776, 208 MHz, 0x0000000000000004, 49, 4.51 W
2026/09/09 14:09:49.777, 208 MHz, 0x0000000000000000, 49, 4.50 W
2026/09/09 14:09:50.778, 208 MHz, 0x0000000000000004, 49, 4.15 W
2026/09/09 14:09:51.779, 208 MHz, 0x0000000000000000, 49, 4.17 W
2026/09/09 14:09:52.779, 208 MHz, 0x0000000000000004, 48, 4.19 W
2026/09/09 14:09:53.780, 208 MHz, 0x0000000000000000, 48, 4.18 W
2026/09/09 14:09:54.781, 208 MHz, 0x0000000000000004, 48, 4.15 W
2026/09/09 14:09:55.782, 208 MHz, 0x0000000000000000, 48, 4.16 W
2026/09/09 14:09:56.782, 2379 MHz, 0x0000000000000000, 49, 8.15 W
2026/09/09 14:09:57.783, 2405 MHz, 0x0000000000000000, 49, 11.91 W
2026/09/09 14:09:58.783, 2405 MHz, 0x0000000000000000, 49, 11.90 W
2026/09/09 14:09:59.783, 2418 MHz, 0x0000000000000000, 49, 12.09 W
2026/09/09 14:10:00.783, 2405 MHz, 0x0000000000000000, 50, 12.03 W
2026/09/09 14:10:01.784, 2405 MHz, 0x0000000000000000, 50, 11.97 W
2026/09/09 14:10:02.784, 2405 MHz, 0x0000000000000000, 50, 11.96 W
2026/09/09 14:10:03.784, 2405 MHz, 0x0000000000000000, 50, 11.97 W
2026/09/09 14:10:04.784, 2405 MHz, 0x0000000000000000, 50, 12.25 W
2026/09/09 14:10:05.784, 2405 MHz, 0x0000000000000000, 50, 12.20 W
2026/09/09 14:10:06.785, 2405 MHz, 0x0000000000000000, 50, 12.15 W
2026/09/09 14:10:07.785, 2405 MHz, 0x0000000000000000, 50, 12.07 W
2026/09/09 14:10:08.785, 2405 MHz, 0x0000000000000000, 50, 12.02 W
2026/09/09 14:10:09.786, 2411 MHz, 0x0000000000000000, 50, 12.28 W
2026/09/09 14:10:10.786, 2457 MHz, 0x0000000000000000, 51, 17.90 W
2026/09/09 14:10:11.786, 2483 MHz, 0x0000000000000000, 52, 18.48 W
2026/09/09 14:10:12.786, 2463 MHz, 0x0000000000000000, 52, 18.38 W
2026/09/09 14:10:13.787, 2476 MHz, 0x0000000000000000, 52, 18.58 W
2026/09/09 14:10:14.787, 2457 MHz, 0x0000000000000000, 52, 17.10 W
2026/09/09 14:10:15.787, 2476 MHz, 0x0000000000000000, 53, 18.58 W
2026/09/09 14:10:16.787, 2476 MHz, 0x0000000000000000, 53, 19.07 W
2026/09/09 14:10:17.787, 2489 MHz, 0x0000000000000000, 54, 19.92 W
2026/09/09 14:10:18.788, 2457 MHz, 0x0000000000000000, 53, 17.54 W
2026/09/09 14:10:19.788, 2457 MHz, 0x0000000000000000, 54, 16.89 W
2026/09/09 14:10:20.788, 2457 MHz, 0x0000000000000000, 54, 16.78 W
2026/09/09 14:10:21.788, 2450 MHz, 0x0000000000000000, 54, 16.75 W
2026/09/09 14:10:22.788, 2463 MHz, 0x0000000000000000, 54, 18.97 W
2026/09/09 14:10:23.789, 2450 MHz, 0x0000000000000000, 54, 18.03 W
2026/09/09 14:10:24.789, 2444 MHz, 0x0000000000000000, 54, 17.51 W
2026/09/09 14:10:25.789, 2463 MHz, 0x0000000000000000, 55, 17.93 W
2026/09/09 14:10:26.789, 2437 MHz, 0x0000000000000000, 55, 17.51 W
2026/09/09 14:10:27.790, 2463 MHz, 0x0000000000000000, 55, 18.99 W
2026/09/09 14:10:28.790, 2470 MHz, 0x0000000000000000, 55, 19.56 W
2026/09/09 14:10:29.790, 2437 MHz, 0x0000000000000000, 55, 17.24 W
2026/09/09 14:10:30.790, 2437 MHz, 0x0000000000000000, 55, 16.79 W
2026/09/09 14:10:31.790, 2431 MHz, 0x0000000000000000, 55, 16.65 W
2026/09/09 14:10:32.790, 2437 MHz, 0x0000000000000000, 55, 16.86 W
2026/09/09 14:10:33.791, 2437 MHz, 0x0000000000000000, 55, 16.90 W
2026/09/09 14:10:34.791, 2444 MHz, 0x0000000000000000, 55, 16.95 W
2026/09/09 14:10:35.791, 2450 MHz, 0x0000000000000000, 55, 18.95 W
2026/09/09 14:10:36.791, 2463 MHz, 0x0000000000000000, 56, 19.20 W
2026/09/09 14:10:37.791, 2476 MHz, 0x0000000000000000, 56, 19.55 W
2026/09/09 14:10:38.792, 2463 MHz, 0x0000000000000000, 56, 19.65 W
2026/09/09 14:10:39.792, 2470 MHz, 0x0000000000000000, 56, 19.92 W
2026/09/09 14:10:40.792, 2450 MHz, 0x0000000000000000, 56, 18.75 W
2026/09/09 14:10:41.792, 2450 MHz, 0x0000000000000000, 56, 17.70 W
2026/09/09 14:10:42.792, 2470 MHz, 0x0000000000000000, 56, 19.78 W
2026/09/09 14:10:43.792, 2450 MHz, 0x0000000000000000, 56, 17.75 W
2026/09/09 14:10:44.793, 2470 MHz, 0x0000000000000000, 56, 19.31 W
2026/09/09 14:10:45.793, 2470 MHz, 0x0000000000000000, 57, 20.20 W
2026/09/09 14:10:46.793, 2457 MHz, 0x0000000000000000, 57, 19.58 W
2026/09/09 14:10:47.793, 2470 MHz, 0x0000000000000000, 57, 20.34 W
2026/09/09 14:10:48.794, 2450 MHz, 0x0000000000000000, 57, 18.55 W
2026/09/09 14:10:49.794, 2437 MHz, 0x0000000000000000, 57, 17.40 W
