timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/10 14:38:01.399, 208 MHz, 0x0000000000000000, 50, 6.84 W
2026/09/10 14:38:02.408, 208 MHz, 0x0000000000000000, 50, 6.85 W
2026/09/10 14:38:03.408, 208 MHz, 0x0000000000000000, 50, 6.22 W
2026/09/10 14:38:04.409, 208 MHz, 0x0000000000000004, 50, 6.20 W
2026/09/10 14:38:05.409, 208 MHz, 0x0000000000000000, 50, 6.18 W
2026/09/10 14:38:06.410, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/10 14:38:07.411, 208 MHz, 0x0000000000000000, 50, 6.29 W
2026/09/10 14:38:08.411, 208 MHz, 0x0000000000000000, 50, 6.25 W
2026/09/10 14:38:09.411, 208 MHz, 0x0000000000000000, 50, 6.15 W
2026/09/10 14:38:10.412, 208 MHz, 0x0000000000000004, 50, 6.14 W
2026/09/10 14:38:11.413, 208 MHz, 0x0000000000000000, 50, 6.15 W
2026/09/10 14:38:12.413, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/10 14:38:13.414, 208 MHz, 0x0000000000000000, 50, 6.16 W
2026/09/10 14:38:14.414, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/10 14:38:15.414, 208 MHz, 0x0000000000000000, 50, 6.13 W
2026/09/10 14:38:16.415, 208 MHz, 0x0000000000000004, 50, 6.15 W
2026/09/10 14:38:17.415, 208 MHz, 0x0000000000000000, 50, 6.22 W
2026/09/10 14:38:18.415, 208 MHz, 0x0000000000000000, 50, 6.26 W
2026/09/10 14:38:19.416, 208 MHz, 0x0000000000000000, 50, 6.26 W
2026/09/10 14:38:20.416, 208 MHz, 0x0000000000000000, 50, 6.17 W
2026/09/10 14:38:21.417, 208 MHz, 0x0000000000000004, 50, 6.17 W
2026/09/10 14:38:22.417, 208 MHz, 0x0000000000000000, 50, 6.16 W
2026/09/10 14:38:23.418, 208 MHz, 0x0000000000000004, 50, 6.16 W
2026/09/10 14:38:24.418, 208 MHz, 0x0000000000000000, 50, 6.19 W
2026/09/10 14:38:25.418, 208 MHz, 0x0000000000000004, 50, 6.17 W
2026/09/10 14:38:26.418, 208 MHz, 0x0000000000000000, 51, 6.22 W
2026/09/10 14:38:27.419, 208 MHz, 0x0000000000000000, 51, 6.26 W
2026/09/10 14:38:28.419, 208 MHz, 0x0000000000000000, 51, 6.26 W
2026/09/10 14:38:29.420, 208 MHz, 0x0000000000000000, 51, 6.15 W
2026/09/10 14:38:30.420, 208 MHz, 0x0000000000000004, 51, 6.15 W
2026/09/10 14:38:31.421, 208 MHz, 0x0000000000000000, 51, 6.16 W
2026/09/10 14:38:32.421, 208 MHz, 0x0000000000000004, 51, 6.16 W
2026/09/10 14:38:33.422, 208 MHz, 0x0000000000000000, 51, 6.20 W
2026/09/10 14:38:34.423, 208 MHz, 0x0000000000000004, 51, 6.17 W
2026/09/10 14:38:35.423, 208 MHz, 0x0000000000000000, 51, 6.04 W
2026/09/10 14:38:36.424, 208 MHz, 0x0000000000000004, 51, 6.03 W
2026/09/10 14:38:37.425, 208 MHz, 0x0000000000000000, 50, 6.03 W
2026/09/10 14:38:38.426, 208 MHz, 0x0000000000000004, 50, 6.03 W
2026/09/10 14:38:39.427, 208 MHz, 0x0000000000000000, 50, 6.02 W
2026/09/10 14:38:40.427, 208 MHz, 0x0000000000000004, 50, 6.02 W
2026/09/10 14:38:41.428, 208 MHz, 0x0000000000000000, 50, 6.02 W
2026/09/10 14:38:42.429, 208 MHz, 0x0000000000000004, 50, 6.00 W
2026/09/10 14:38:43.430, 208 MHz, 0x0000000000000000, 50, 6.01 W
2026/09/10 14:38:44.431, 208 MHz, 0x0000000000000004, 50, 6.00 W
2026/09/10 14:38:45.431, 208 MHz, 0x0000000000000000, 50, 6.01 W
2026/09/10 14:38:46.431, 208 MHz, 0x0000000000000004, 50, 5.99 W
2026/09/10 14:38:47.432, 208 MHz, 0x0000000000000000, 50, 6.01 W
2026/09/10 14:38:48.433, 208 MHz, 0x0000000000000004, 50, 6.00 W
2026/09/10 14:38:49.434, 208 MHz, 0x0000000000000000, 50, 6.01 W
2026/09/10 14:38:50.435, 208 MHz, 0x0000000000000004, 50, 6.01 W
2026/09/10 14:38:51.436, 208 MHz, 0x0000000000000000, 50, 6.02 W
2026/09/10 14:38:52.436, 208 MHz, 0x0000000000000004, 50, 6.01 W
2026/09/10 14:38:53.436, 2411 MHz, 0x0000000000000000, 51, 8.57 W
2026/09/10 14:38:54.437, 2411 MHz, 0x0000000000000000, 51, 13.57 W
2026/09/10 14:38:55.437, 2405 MHz, 0x0000000000000000, 51, 13.52 W
2026/09/10 14:38:56.437, 2411 MHz, 0x0000000000000000, 51, 13.58 W
2026/09/10 14:38:57.437, 2411 MHz, 0x0000000000000000, 51, 13.69 W
2026/09/10 14:38:58.438, 2411 MHz, 0x0000000000000000, 51, 13.63 W
2026/09/10 14:38:59.438, 2405 MHz, 0x0000000000000000, 51, 13.59 W
2026/09/10 14:39:00.439, 2405 MHz, 0x0000000000000000, 51, 13.56 W
2026/09/10 14:39:01.439, 2411 MHz, 0x0000000000000000, 52, 13.75 W
2026/09/10 14:39:02.439, 2411 MHz, 0x0000000000000000, 52, 13.82 W
2026/09/10 14:39:03.440, 2405 MHz, 0x0000000000000000, 52, 13.76 W
2026/09/10 14:39:04.440, 2411 MHz, 0x0000000000000000, 52, 13.81 W
2026/09/10 14:39:05.440, 2411 MHz, 0x0000000000000000, 52, 13.83 W
2026/09/10 14:39:06.441, 2405 MHz, 0x0000000000000000, 52, 13.78 W
