timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/10 16:01:41.141, 2405 MHz, 0x0000000000000000, 47, 12.88 W
2026/09/10 16:01:42.149, 2405 MHz, 0x0000000000000000, 47, 12.90 W
2026/09/10 16:01:43.150, 2405 MHz, 0x0000000000000000, 47, 12.86 W
2026/09/10 16:01:44.151, 2535 MHz, 0x0000000000000000, 51, 27.75 W
2026/09/10 16:01:45.151, 2509 MHz, 0x0000000000000000, 56, 45.77 W
2026/09/10 16:01:46.151, 2509 MHz, 0x0000000000000000, 56, 55.99 W
2026/09/10 16:01:47.151, 2509 MHz, 0x0000000000000000, 57, 55.68 W
2026/09/10 16:01:48.151, 2424 MHz, 0x0000000000000000, 53, 33.30 W
2026/09/10 16:01:49.152, 2509 MHz, 0x0000000000000000, 58, 56.88 W
2026/09/10 16:01:50.152, 2509 MHz, 0x0000000000000000, 60, 56.44 W
2026/09/10 16:01:51.152, 2515 MHz, 0x0000000000000000, 55, 53.72 W
2026/09/10 16:01:52.152, 2444 MHz, 0x0000000000000000, 58, 18.80 W
2026/09/10 16:01:53.153, 2509 MHz, 0x0000000000000000, 59, 56.85 W
2026/09/10 16:01:54.153, 2502 MHz, 0x0000000000000000, 60, 58.22 W
2026/09/10 16:01:55.154, 2509 MHz, 0x0000000000000000, 60, 58.63 W
2026/09/10 16:01:56.154, 2502 MHz, 0x0000000000000000, 64, 58.69 W
2026/09/10 16:01:57.154, 2502 MHz, 0x0000000000000000, 61, 58.95 W
2026/09/10 16:01:58.154, 2502 MHz, 0x0000000000000000, 61, 59.16 W
2026/09/10 16:01:59.155, 2496 MHz, 0x0000000000000000, 61, 59.60 W
2026/09/10 16:02:00.155, 2502 MHz, 0x0000000000000000, 63, 59.58 W
2026/09/10 16:02:01.155, 2489 MHz, 0x0000000000000000, 64, 59.79 W
2026/09/10 16:02:02.156, 2489 MHz, 0x0000000000000000, 65, 59.65 W
2026/09/10 16:02:03.156, 2489 MHz, 0x0000000000000000, 66, 60.60 W
2026/09/10 16:02:04.156, 2489 MHz, 0x0000000000000000, 64, 59.79 W
2026/09/10 16:02:05.157, 2489 MHz, 0x0000000000000000, 65, 60.17 W
2026/09/10 16:02:06.157, 2489 MHz, 0x0000000000000000, 66, 60.38 W
2026/09/10 16:02:07.157, 2489 MHz, 0x0000000000000000, 68, 60.64 W
2026/09/10 16:02:08.157, 2489 MHz, 0x0000000000000000, 65, 60.26 W
2026/09/10 16:02:09.158, 2489 MHz, 0x0000000000000000, 69, 60.74 W
2026/09/10 16:02:10.158, 2489 MHz, 0x0000000000000000, 65, 60.71 W
2026/09/10 16:02:11.158, 2489 MHz, 0x0000000000000000, 68, 60.76 W
2026/09/10 16:02:12.158, 2489 MHz, 0x0000000000000000, 69, 61.29 W
2026/09/10 16:02:13.159, 2489 MHz, 0x0000000000000000, 66, 61.09 W
2026/09/10 16:02:14.159, 2483 MHz, 0x0000000000000000, 69, 61.39 W
2026/09/10 16:02:15.159, 2489 MHz, 0x0000000000000000, 66, 61.06 W
2026/09/10 16:02:16.160, 2489 MHz, 0x0000000000000000, 69, 61.53 W
2026/09/10 16:02:17.160, 2489 MHz, 0x0000000000000000, 68, 61.19 W
2026/09/10 16:02:18.160, 2489 MHz, 0x0000000000000000, 68, 60.63 W
2026/09/10 16:02:19.160, 2483 MHz, 0x0000000000000000, 69, 62.01 W
2026/09/10 16:02:20.160, 2489 MHz, 0x0000000000000000, 70, 61.45 W
2026/09/10 16:02:21.161, 2483 MHz, 0x0000000000000000, 70, 62.14 W
2026/09/10 16:02:22.161, 2483 MHz, 0x0000000000000000, 69, 61.88 W
2026/09/10 16:02:23.162, 2483 MHz, 0x0000000000000000, 69, 61.69 W
2026/09/10 16:02:24.162, 2483 MHz, 0x0000000000000000, 71, 62.50 W
2026/09/10 16:02:25.162, 2483 MHz, 0x0000000000000000, 71, 62.04 W
2026/09/10 16:02:26.163, 2483 MHz, 0x0000000000000000, 69, 61.31 W
2026/09/10 16:02:27.163, 2483 MHz, 0x0000000000000000, 70, 62.96 W
2026/09/10 16:02:28.163, 2476 MHz, 0x0000000000000000, 70, 62.95 W
2026/09/10 16:02:29.164, 2476 MHz, 0x0000000000000000, 73, 63.03 W
2026/09/10 16:02:30.164, 2476 MHz, 0x0000000000000000, 71, 62.71 W
2026/09/10 16:02:31.164, 2470 MHz, 0x0000000000000000, 70, 62.80 W
2026/09/10 16:02:32.165, 2470 MHz, 0x0000000000000000, 70, 63.02 W
2026/09/10 16:02:33.165, 2476 MHz, 0x0000000000000000, 70, 63.44 W
2026/09/10 16:02:34.166, 2476 MHz, 0x0000000000000000, 71, 63.32 W
2026/09/10 16:02:35.166, 2470 MHz, 0x0000000000000000, 74, 62.99 W
2026/09/10 16:02:36.166, 2470 MHz, 0x0000000000000000, 71, 62.47 W
2026/09/10 16:02:37.167, 2405 MHz, 0x0000000000000000, 65, 35.58 W
2026/09/10 16:02:38.167, 2470 MHz, 0x0000000000000000, 71, 61.81 W
2026/09/10 16:02:39.167, 2496 MHz, 0x0000000000000000, 68, 49.29 W
2026/09/10 16:02:40.168, 2496 MHz, 0x0000000000000000, 67, 35.46 W
2026/09/10 16:02:41.168, 2496 MHz, 0x0000000000000000, 67, 35.36 W
2026/09/10 16:02:42.168, 2496 MHz, 0x0000000000000000, 67, 35.33 W
2026/09/10 16:02:43.169, 2496 MHz, 0x0000000000000000, 67, 35.31 W
2026/09/10 16:02:44.169, 2496 MHz, 0x0000000000000000, 67, 35.30 W
2026/09/10 16:02:45.169, 2496 MHz, 0x0000000000000000, 67, 35.33 W
2026/09/10 16:02:46.170, 2405 MHz, 0x0000000000000000, 64, 26.47 W
2026/09/10 16:02:47.170, 2405 MHz, 0x0000000000000000, 63, 15.66 W
2026/09/10 16:02:48.170, 2496 MHz, 0x0000000000000000, 66, 27.88 W
2026/09/10 16:02:49.171, 2496 MHz, 0x0000000000000000, 66, 34.41 W
2026/09/10 16:02:50.171, 2496 MHz, 0x0000000000000000, 66, 34.44 W
2026/09/10 16:02:51.172, 2496 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:02:52.172, 2496 MHz, 0x0000000000000000, 66, 34.43 W
2026/09/10 16:02:53.173, 2496 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:02:54.173, 2496 MHz, 0x0000000000000000, 66, 34.32 W
2026/09/10 16:02:55.174, 2496 MHz, 0x0000000000000000, 66, 34.36 W
2026/09/10 16:02:56.174, 2496 MHz, 0x0000000000000000, 66, 34.41 W
2026/09/10 16:02:57.175, 2496 MHz, 0x0000000000000000, 66, 34.38 W
2026/09/10 16:02:58.175, 2496 MHz, 0x0000000000000000, 66, 34.44 W
2026/09/10 16:02:59.175, 2496 MHz, 0x0000000000000000, 66, 34.42 W
2026/09/10 16:03:00.176, 2496 MHz, 0x0000000000000000, 66, 34.43 W
2026/09/10 16:03:01.176, 2496 MHz, 0x0000000000000000, 66, 34.38 W
2026/09/10 16:03:02.177, 2496 MHz, 0x0000000000000000, 66, 34.46 W
2026/09/10 16:03:03.177, 2496 MHz, 0x0000000000000000, 66, 34.43 W
2026/09/10 16:03:04.178, 2496 MHz, 0x0000000000000000, 66, 34.45 W
2026/09/10 16:03:05.178, 2496 MHz, 0x0000000000000000, 66, 34.44 W
2026/09/10 16:03:06.178, 2496 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:03:07.179, 2496 MHz, 0x0000000000000000, 66, 34.38 W
2026/09/10 16:03:08.179, 2496 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:03:09.179, 2496 MHz, 0x0000000000000000, 66, 34.47 W
2026/09/10 16:03:10.180, 2496 MHz, 0x0000000000000000, 66, 34.46 W
2026/09/10 16:03:11.180, 2496 MHz, 0x0000000000000000, 66, 34.46 W
2026/09/10 16:03:12.180, 2496 MHz, 0x0000000000000000, 66, 34.48 W
2026/09/10 16:03:13.180, 2496 MHz, 0x0000000000000000, 66, 34.49 W
2026/09/10 16:03:14.181, 2496 MHz, 0x0000000000000000, 66, 34.53 W
2026/09/10 16:03:15.181, 2496 MHz, 0x0000000000000000, 66, 34.47 W
