timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/10 16:01:42.498, 2398 MHz, 0x0000000000000000, 50, 12.47 W
2026/09/10 16:01:43.505, 2476 MHz, 0x0000000000000000, 52, 18.66 W
2026/09/10 16:01:44.506, 2476 MHz, 0x0000000000000000, 55, 34.32 W
2026/09/10 16:01:45.506, 2450 MHz, 0x0000000000000000, 57, 57.06 W
2026/09/10 16:01:46.506, 2450 MHz, 0x0000000000000000, 58, 56.76 W
2026/09/10 16:01:47.506, 2457 MHz, 0x0000000000000000, 56, 52.51 W
2026/09/10 16:01:48.507, 2450 MHz, 0x0000000000000000, 58, 38.29 W
2026/09/10 16:01:49.507, 2450 MHz, 0x0000000000000000, 59, 57.30 W
2026/09/10 16:01:50.507, 2450 MHz, 0x0000000000000000, 60, 56.94 W
2026/09/10 16:01:51.507, 2411 MHz, 0x0000000000000000, 54, 33.26 W
2026/09/10 16:01:52.507, 2450 MHz, 0x0000000000000000, 60, 40.74 W
2026/09/10 16:01:53.508, 2444 MHz, 0x0000000000000000, 60, 58.28 W
2026/09/10 16:01:54.508, 2450 MHz, 0x0000000000000000, 64, 59.13 W
2026/09/10 16:01:55.508, 2444 MHz, 0x0000000000000000, 62, 59.75 W
2026/09/10 16:01:56.509, 2437 MHz, 0x0000000000000000, 63, 60.05 W
2026/09/10 16:01:57.509, 2437 MHz, 0x0000000000000000, 66, 60.14 W
2026/09/10 16:01:58.509, 2437 MHz, 0x0000000000000000, 64, 60.26 W
2026/09/10 16:01:59.510, 2431 MHz, 0x0000000000000000, 65, 60.53 W
2026/09/10 16:02:00.510, 2431 MHz, 0x0000000000000000, 64, 60.53 W
2026/09/10 16:02:01.510, 2431 MHz, 0x0000000000000000, 64, 61.33 W
2026/09/10 16:02:02.511, 2431 MHz, 0x0000000000000000, 64, 60.72 W
2026/09/10 16:02:03.511, 2431 MHz, 0x0000000000000000, 66, 61.26 W
2026/09/10 16:02:04.511, 2431 MHz, 0x0000000000000000, 66, 61.11 W
2026/09/10 16:02:05.511, 2431 MHz, 0x0000000000000000, 65, 61.22 W
2026/09/10 16:02:06.512, 2431 MHz, 0x0000000000000000, 66, 61.35 W
2026/09/10 16:02:07.512, 2431 MHz, 0x0000000000000000, 67, 61.48 W
2026/09/10 16:02:08.512, 2431 MHz, 0x0000000000000000, 66, 61.70 W
2026/09/10 16:02:09.512, 2431 MHz, 0x0000000000000000, 67, 61.36 W
2026/09/10 16:02:10.513, 2431 MHz, 0x0000000000000000, 69, 61.95 W
2026/09/10 16:02:11.513, 2431 MHz, 0x0000000000000000, 69, 61.93 W
2026/09/10 16:02:12.513, 2431 MHz, 0x0000000000000000, 71, 62.13 W
2026/09/10 16:02:13.514, 2431 MHz, 0x0000000000000000, 71, 62.36 W
2026/09/10 16:02:14.514, 2431 MHz, 0x0000000000000000, 68, 62.27 W
2026/09/10 16:02:15.514, 2431 MHz, 0x0000000000000000, 68, 62.75 W
2026/09/10 16:02:16.515, 2431 MHz, 0x0000000000000000, 70, 62.18 W
2026/09/10 16:02:17.515, 2431 MHz, 0x0000000000000000, 72, 62.95 W
2026/09/10 16:02:18.516, 2431 MHz, 0x0000000000000000, 70, 61.62 W
2026/09/10 16:02:19.516, 2431 MHz, 0x0000000000000000, 71, 63.02 W
2026/09/10 16:02:20.516, 2431 MHz, 0x0000000000000000, 71, 63.19 W
2026/09/10 16:02:21.517, 2424 MHz, 0x0000000000000000, 69, 62.73 W
2026/09/10 16:02:22.517, 2424 MHz, 0x0000000000000000, 73, 63.35 W
2026/09/10 16:02:23.517, 2424 MHz, 0x0000000000000000, 73, 63.15 W
2026/09/10 16:02:24.517, 2424 MHz, 0x0000000000000000, 71, 63.08 W
2026/09/10 16:02:25.518, 2424 MHz, 0x0000000000000000, 71, 62.35 W
2026/09/10 16:02:26.518, 2424 MHz, 0x0000000000000000, 72, 63.37 W
2026/09/10 16:02:27.518, 2418 MHz, 0x0000000000000000, 75, 63.87 W
2026/09/10 16:02:28.519, 2418 MHz, 0x0000000000000000, 72, 63.55 W
2026/09/10 16:02:29.519, 2418 MHz, 0x0000000000000000, 72, 63.60 W
2026/09/10 16:02:30.519, 2418 MHz, 0x0000000000000000, 71, 63.65 W
2026/09/10 16:02:31.519, 2418 MHz, 0x0000000000000000, 76, 64.29 W
2026/09/10 16:02:32.520, 2424 MHz, 0x0000000000000000, 76, 63.35 W
2026/09/10 16:02:33.520, 2418 MHz, 0x0000000000000000, 73, 64.50 W
2026/09/10 16:02:34.520, 2418 MHz, 0x0000000000000000, 75, 63.28 W
2026/09/10 16:02:35.521, 2418 MHz, 0x0000000000000000, 75, 63.59 W
2026/09/10 16:02:36.521, 2418 MHz, 0x0000000000000000, 68, 57.52 W
2026/09/10 16:02:37.521, 2418 MHz, 0x0000000000000000, 72, 40.55 W
2026/09/10 16:02:38.521, 2418 MHz, 0x0000000000000000, 75, 62.36 W
2026/09/10 16:02:39.522, 2444 MHz, 0x0000000000000000, 68, 35.50 W
2026/09/10 16:02:40.522, 2444 MHz, 0x0000000000000000, 68, 35.49 W
2026/09/10 16:02:41.523, 2444 MHz, 0x0000000000000000, 68, 35.43 W
2026/09/10 16:02:42.523, 2444 MHz, 0x0000000000000000, 68, 35.47 W
2026/09/10 16:02:43.523, 2444 MHz, 0x0000000000000000, 68, 35.40 W
2026/09/10 16:02:44.523, 2444 MHz, 0x0000000000000000, 67, 35.41 W
2026/09/10 16:02:45.524, 2444 MHz, 0x0000000000000000, 67, 35.35 W
2026/09/10 16:02:46.524, 2405 MHz, 0x0000000000000000, 64, 16.96 W
2026/09/10 16:02:47.525, 2405 MHz, 0x0000000000000000, 67, 18.18 W
2026/09/10 16:02:48.525, 2444 MHz, 0x0000000000000000, 66, 35.90 W
2026/09/10 16:02:49.526, 2444 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:02:50.526, 2444 MHz, 0x0000000000000000, 66, 34.42 W
2026/09/10 16:02:51.526, 2444 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:02:52.527, 2444 MHz, 0x0000000000000000, 66, 34.34 W
2026/09/10 16:02:53.527, 2444 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:02:54.527, 2444 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:02:55.528, 2444 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:02:56.528, 2444 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:02:57.528, 2444 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:02:58.529, 2444 MHz, 0x0000000000000000, 66, 34.41 W
2026/09/10 16:02:59.529, 2444 MHz, 0x0000000000000000, 66, 34.39 W
2026/09/10 16:03:00.530, 2444 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:03:01.530, 2444 MHz, 0x0000000000000000, 66, 34.39 W
2026/09/10 16:03:02.530, 2444 MHz, 0x0000000000000000, 66, 34.40 W
2026/09/10 16:03:03.530, 2444 MHz, 0x0000000000000000, 66, 34.35 W
2026/09/10 16:03:04.530, 2444 MHz, 0x0000000000000000, 66, 34.38 W
2026/09/10 16:03:05.531, 2444 MHz, 0x0000000000000000, 66, 34.37 W
2026/09/10 16:03:06.531, 2444 MHz, 0x0000000000000000, 66, 34.33 W
2026/09/10 16:03:07.532, 2444 MHz, 0x0000000000000000, 66, 34.32 W
