timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/10 16:01:41.715, 2405 MHz, 0x0000000000000000, 47, 12.21 W
2026/09/10 16:01:42.723, 2405 MHz, 0x0000000000000000, 47, 12.23 W
2026/09/10 16:01:43.723, 2580 MHz, 0x0000000000000000, 49, 21.01 W
2026/09/10 16:01:44.724, 2574 MHz, 0x0000000000000000, 53, 38.01 W
2026/09/10 16:01:45.724, 2554 MHz, 0x0000000000000000, 54, 58.20 W
2026/09/10 16:01:46.725, 2554 MHz, 0x0000000000000000, 55, 57.93 W
2026/09/10 16:01:47.725, 2554 MHz, 0x0000000000000000, 51, 48.66 W
2026/09/10 16:01:48.725, 2554 MHz, 0x0000000000000000, 55, 43.27 W
2026/09/10 16:01:49.725, 2554 MHz, 0x0000000000000000, 57, 58.57 W
2026/09/10 16:01:50.725, 2554 MHz, 0x0000000000000000, 57, 58.14 W
2026/09/10 16:01:51.726, 2405 MHz, 0x0000000000000000, 51, 29.00 W
2026/09/10 16:01:52.726, 2554 MHz, 0x0000000000000000, 56, 46.13 W
2026/09/10 16:01:53.726, 2548 MHz, 0x0000000000000000, 57, 59.66 W
2026/09/10 16:01:54.727, 2548 MHz, 0x0000000000000000, 59, 60.89 W
2026/09/10 16:01:55.727, 2548 MHz, 0x0000000000000000, 58, 61.04 W
2026/09/10 16:01:56.727, 2548 MHz, 0x0000000000000000, 59, 61.30 W
2026/09/10 16:01:57.727, 2541 MHz, 0x0000000000000000, 60, 61.41 W
2026/09/10 16:01:58.727, 2548 MHz, 0x0000000000000000, 60, 61.72 W
2026/09/10 16:01:59.728, 2541 MHz, 0x0000000000000000, 61, 61.97 W
2026/09/10 16:02:00.728, 2541 MHz, 0x0000000000000000, 61, 61.87 W
2026/09/10 16:02:01.728, 2535 MHz, 0x0000000000000000, 62, 62.46 W
2026/09/10 16:02:02.728, 2535 MHz, 0x0000000000000000, 62, 62.03 W
2026/09/10 16:02:03.729, 2528 MHz, 0x0000000000000000, 64, 62.69 W
2026/09/10 16:02:04.729, 2528 MHz, 0x0000000000000000, 62, 62.58 W
2026/09/10 16:02:05.729, 2528 MHz, 0x0000000000000000, 64, 63.01 W
2026/09/10 16:02:06.730, 2528 MHz, 0x0000000000000000, 64, 62.61 W
2026/09/10 16:02:07.730, 2528 MHz, 0x0000000000000000, 63, 62.98 W
2026/09/10 16:02:08.730, 2522 MHz, 0x0000000000000000, 63, 63.35 W
2026/09/10 16:02:09.730, 2522 MHz, 0x0000000000000000, 66, 63.16 W
2026/09/10 16:02:10.730, 2522 MHz, 0x0000000000000000, 64, 63.80 W
2026/09/10 16:02:11.731, 2528 MHz, 0x0000000000000000, 64, 63.19 W
2026/09/10 16:02:12.731, 2528 MHz, 0x0000000000000000, 65, 64.01 W
2026/09/10 16:02:13.731, 2522 MHz, 0x0000000000000000, 66, 63.49 W
2026/09/10 16:02:14.732, 2528 MHz, 0x0000000000000000, 68, 64.12 W
2026/09/10 16:02:15.732, 2522 MHz, 0x0000000000000000, 65, 64.18 W
2026/09/10 16:02:16.732, 2528 MHz, 0x0000000000000000, 69, 64.03 W
2026/09/10 16:02:17.732, 2528 MHz, 0x0000000000000000, 67, 64.17 W
2026/09/10 16:02:18.733, 2528 MHz, 0x0000000000000000, 66, 63.88 W
2026/09/10 16:02:19.733, 2528 MHz, 0x0000000000000000, 67, 64.39 W
2026/09/10 16:02:20.733, 2528 MHz, 0x0000000000000000, 66, 64.77 W
2026/09/10 16:02:21.734, 2528 MHz, 0x0000000000000000, 67, 65.11 W
2026/09/10 16:02:22.734, 2528 MHz, 0x0000000000000000, 68, 64.95 W
2026/09/10 16:02:23.734, 2522 MHz, 0x0000000000000000, 68, 65.02 W
2026/09/10 16:02:24.734, 2528 MHz, 0x0000000000000000, 68, 65.12 W
2026/09/10 16:02:25.735, 2528 MHz, 0x0000000000000000, 70, 64.36 W
2026/09/10 16:02:26.735, 2528 MHz, 0x0000000000000000, 70, 65.41 W
2026/09/10 16:02:27.736, 2522 MHz, 0x0000000000000000, 69, 65.92 W
2026/09/10 16:02:28.736, 2522 MHz, 0x0000000000000000, 68, 65.74 W
2026/09/10 16:02:29.736, 2522 MHz, 0x0000000000000000, 69, 65.56 W
2026/09/10 16:02:30.736, 2522 MHz, 0x0000000000000000, 71, 66.07 W
2026/09/10 16:02:31.736, 2522 MHz, 0x0000000000000000, 69, 65.89 W
2026/09/10 16:02:32.737, 2522 MHz, 0x0000000000000000, 70, 66.50 W
2026/09/10 16:02:33.737, 2515 MHz, 0x0000000000000000, 69, 66.46 W
2026/09/10 16:02:34.737, 2522 MHz, 0x0000000000000000, 70, 65.22 W
2026/09/10 16:02:35.738, 2522 MHz, 0x0000000000000000, 69, 66.01 W
2026/09/10 16:02:36.738, 2483 MHz, 0x0000000000000000, 64, 54.52 W
2026/09/10 16:02:37.738, 2522 MHz, 0x0000000000000000, 69, 46.70 W
2026/09/10 16:02:38.739, 2522 MHz, 0x0000000000000000, 67, 61.91 W
2026/09/10 16:02:39.739, 2535 MHz, 0x0000000000000000, 66, 37.78 W
2026/09/10 16:02:40.739, 2535 MHz, 0x0000000000000000, 66, 37.80 W
2026/09/10 16:02:41.739, 2535 MHz, 0x0000000000000000, 66, 37.70 W
2026/09/10 16:02:42.740, 2535 MHz, 0x0000000000000000, 66, 37.72 W
2026/09/10 16:02:43.740, 2535 MHz, 0x0000000000000000, 65, 37.65 W
2026/09/10 16:02:44.740, 2535 MHz, 0x0000000000000000, 65, 37.66 W
2026/09/10 16:02:45.741, 2535 MHz, 0x0000000000000000, 64, 35.58 W
2026/09/10 16:02:46.741, 2411 MHz, 0x0000000000000000, 62, 15.40 W
2026/09/10 16:02:47.741, 2418 MHz, 0x0000000000000000, 65, 20.94 W
2026/09/10 16:02:48.741, 2535 MHz, 0x0000000000000000, 64, 37.02 W
2026/09/10 16:02:49.742, 2535 MHz, 0x0000000000000000, 64, 36.58 W
2026/09/10 16:02:50.742, 2535 MHz, 0x0000000000000000, 64, 36.57 W
2026/09/10 16:02:51.742, 2535 MHz, 0x0000000000000000, 64, 36.59 W
2026/09/10 16:02:52.742, 2535 MHz, 0x0000000000000000, 64, 36.60 W
