timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/10 16:01:40.399, 2405 MHz, 0x0000000000000000, 49, 11.68 W
2026/09/10 16:01:41.407, 2405 MHz, 0x0000000000000000, 49, 11.73 W
2026/09/10 16:01:42.408, 2405 MHz, 0x0000000000000000, 49, 11.55 W
2026/09/10 16:01:43.408, 2405 MHz, 0x0000000000000000, 49, 11.53 W
2026/09/10 16:01:44.408, 2509 MHz, 0x0000000000000000, 52, 29.58 W
2026/09/10 16:01:45.409, 2483 MHz, 0x0000000000000000, 57, 48.40 W
2026/09/10 16:01:46.409, 2483 MHz, 0x0000000000000000, 58, 55.09 W
2026/09/10 16:01:47.409, 2483 MHz, 0x0000000000000000, 59, 54.74 W
2026/09/10 16:01:48.410, 2405 MHz, 0x0000000000000000, 57, 32.58 W
2026/09/10 16:01:49.410, 2483 MHz, 0x0000000000000000, 62, 55.83 W
2026/09/10 16:01:50.410, 2483 MHz, 0x0000000000000000, 59, 55.50 W
2026/09/10 16:01:51.410, 2483 MHz, 0x0000000000000000, 55, 47.69 W
2026/09/10 16:01:52.411, 2398 MHz, 0x0000000000000000, 61, 22.64 W
2026/09/10 16:01:53.411, 2483 MHz, 0x0000000000000000, 60, 55.79 W
2026/09/10 16:01:54.411, 2476 MHz, 0x0000000000000000, 63, 57.44 W
2026/09/10 16:01:55.411, 2470 MHz, 0x0000000000000000, 62, 57.72 W
2026/09/10 16:01:56.412, 2470 MHz, 0x0000000000000000, 62, 57.99 W
2026/09/10 16:01:57.412, 2470 MHz, 0x0000000000000000, 62, 57.99 W
2026/09/10 16:01:58.412, 2463 MHz, 0x0000000000000000, 65, 58.40 W
2026/09/10 16:01:59.412, 2463 MHz, 0x0000000000000000, 63, 58.55 W
2026/09/10 16:02:00.413, 2463 MHz, 0x0000000000000000, 63, 59.23 W
2026/09/10 16:02:01.413, 2463 MHz, 0x0000000000000000, 64, 58.52 W
2026/09/10 16:02:02.413, 2463 MHz, 0x0000000000000000, 66, 59.00 W
2026/09/10 16:02:03.414, 2463 MHz, 0x0000000000000000, 69, 59.28 W
2026/09/10 16:02:04.414, 2463 MHz, 0x0000000000000000, 67, 59.27 W
2026/09/10 16:02:05.414, 2463 MHz, 0x0000000000000000, 66, 59.13 W
2026/09/10 16:02:06.415, 2463 MHz, 0x0000000000000000, 66, 59.40 W
2026/09/10 16:02:07.415, 2463 MHz, 0x0000000000000000, 69, 59.69 W
2026/09/10 16:02:08.415, 2463 MHz, 0x0000000000000000, 66, 59.28 W
2026/09/10 16:02:09.415, 2463 MHz, 0x0000000000000000, 67, 59.85 W
2026/09/10 16:02:10.416, 2463 MHz, 0x0000000000000000, 66, 59.77 W
2026/09/10 16:02:11.416, 2463 MHz, 0x0000000000000000, 67, 60.18 W
2026/09/10 16:02:12.416, 2463 MHz, 0x0000000000000000, 70, 60.06 W
2026/09/10 16:02:13.417, 2463 MHz, 0x0000000000000000, 69, 59.85 W
2026/09/10 16:02:14.417, 2457 MHz, 0x0000000000000000, 68, 60.42 W
2026/09/10 16:02:15.417, 2463 MHz, 0x0000000000000000, 68, 60.30 W
2026/09/10 16:02:16.417, 2457 MHz, 0x0000000000000000, 70, 60.71 W
2026/09/10 16:02:17.418, 2457 MHz, 0x0000000000000000, 68, 60.53 W
2026/09/10 16:02:18.418, 2463 MHz, 0x0000000000000000, 71, 59.81 W
2026/09/10 16:02:19.418, 2457 MHz, 0x0000000000000000, 70, 60.65 W
2026/09/10 16:02:20.418, 2463 MHz, 0x0000000000000000, 70, 61.03 W
2026/09/10 16:02:21.419, 2457 MHz, 0x0000000000000000, 70, 60.60 W
2026/09/10 16:02:22.419, 2457 MHz, 0x0000000000000000, 70, 60.74 W
2026/09/10 16:02:23.419, 2457 MHz, 0x0000000000000000, 71, 61.36 W
2026/09/10 16:02:24.420, 2450 MHz, 0x0000000000000000, 71, 61.30 W
2026/09/10 16:02:25.420, 2457 MHz, 0x0000000000000000, 71, 60.97 W
2026/09/10 16:02:26.420, 2457 MHz, 0x0000000000000000, 72, 60.49 W
2026/09/10 16:02:27.421, 2450 MHz, 0x0000000000000000, 70, 61.94 W
2026/09/10 16:02:28.421, 2450 MHz, 0x0000000000000000, 71, 61.47 W
2026/09/10 16:02:29.421, 2450 MHz, 0x0000000000000000, 72, 61.90 W
2026/09/10 16:02:30.422, 2450 MHz, 0x0000000000000000, 71, 61.38 W
2026/09/10 16:02:31.422, 2457 MHz, 0x0000000000000000, 71, 62.05 W
2026/09/10 16:02:32.422, 2450 MHz, 0x0000000000000000, 72, 62.13 W
2026/09/10 16:02:33.422, 2450 MHz, 0x0000000000000000, 72, 62.40 W
2026/09/10 16:02:34.423, 2450 MHz, 0x0000000000000000, 74, 61.87 W
2026/09/10 16:02:35.423, 2444 MHz, 0x0000000000000000, 72, 61.33 W
2026/09/10 16:02:36.423, 2444 MHz, 0x0000000000000000, 72, 61.07 W
2026/09/10 16:02:37.424, 2405 MHz, 0x0000000000000000, 72, 33.26 W
2026/09/10 16:02:38.424, 2450 MHz, 0x0000000000000000, 72, 61.26 W
2026/09/10 16:02:39.424, 2470 MHz, 0x0000000000000000, 68, 43.79 W
2026/09/10 16:02:40.424, 2470 MHz, 0x0000000000000000, 68, 34.20 W
2026/09/10 16:02:41.425, 2470 MHz, 0x0000000000000000, 68, 34.24 W
2026/09/10 16:02:42.425, 2470 MHz, 0x0000000000000000, 68, 34.23 W
2026/09/10 16:02:43.425, 2470 MHz, 0x0000000000000000, 68, 34.22 W
2026/09/10 16:02:44.425, 2470 MHz, 0x0000000000000000, 68, 34.21 W
2026/09/10 16:02:45.426, 2470 MHz, 0x0000000000000000, 67, 34.18 W
2026/09/10 16:02:46.426, 2405 MHz, 0x0000000000000000, 64, 22.57 W
2026/09/10 16:02:47.426, 2405 MHz, 0x0000000000000000, 64, 14.63 W
2026/09/10 16:02:48.427, 2470 MHz, 0x0000000000000000, 66, 29.53 W
2026/09/10 16:02:49.427, 2470 MHz, 0x0000000000000000, 66, 33.31 W
2026/09/10 16:02:50.427, 2470 MHz, 0x0000000000000000, 66, 33.32 W
2026/09/10 16:02:51.428, 2470 MHz, 0x0000000000000000, 67, 33.34 W
2026/09/10 16:02:52.428, 2470 MHz, 0x0000000000000000, 67, 33.34 W
2026/09/10 16:02:53.428, 2470 MHz, 0x0000000000000000, 67, 33.34 W
2026/09/10 16:02:54.428, 2470 MHz, 0x0000000000000000, 67, 33.38 W
2026/09/10 16:02:55.428, 2470 MHz, 0x0000000000000000, 67, 33.39 W
2026/09/10 16:02:56.429, 2470 MHz, 0x0000000000000000, 67, 33.38 W
2026/09/10 16:02:57.429, 2470 MHz, 0x0000000000000000, 67, 33.37 W
2026/09/10 16:02:58.429, 2470 MHz, 0x0000000000000000, 67, 33.39 W
2026/09/10 16:02:59.429, 2470 MHz, 0x0000000000000000, 67, 33.42 W
2026/09/10 16:03:00.430, 2470 MHz, 0x0000000000000000, 67, 33.42 W
2026/09/10 16:03:01.430, 2470 MHz, 0x0000000000000000, 67, 33.43 W
2026/09/10 16:03:02.430, 2470 MHz, 0x0000000000000000, 67, 33.45 W
2026/09/10 16:03:03.430, 2470 MHz, 0x0000000000000000, 67, 33.42 W
2026/09/10 16:03:04.431, 2470 MHz, 0x0000000000000000, 67, 33.45 W
2026/09/10 16:03:05.431, 2470 MHz, 0x0000000000000000, 67, 33.46 W
2026/09/10 16:03:06.431, 2470 MHz, 0x0000000000000000, 67, 33.46 W
2026/09/10 16:03:07.431, 2470 MHz, 0x0000000000000000, 67, 33.48 W
2026/09/10 16:03:08.431, 2470 MHz, 0x0000000000000000, 67, 33.46 W
2026/09/10 16:03:09.431, 2470 MHz, 0x0000000000000000, 67, 33.49 W
2026/09/10 16:03:10.432, 2470 MHz, 0x0000000000000000, 67, 33.51 W
2026/09/10 16:03:11.432, 2470 MHz, 0x0000000000000000, 67, 33.50 W
2026/09/10 16:03:12.432, 2470 MHz, 0x0000000000000000, 67, 33.51 W
2026/09/10 16:03:13.432, 2470 MHz, 0x0000000000000000, 67, 33.56 W
2026/09/10 16:03:14.433, 2470 MHz, 0x0000000000000000, 67, 33.53 W
2026/09/10 16:03:15.433, 2470 MHz, 0x0000000000000000, 67, 33.56 W
2026/09/10 16:03:16.433, 2470 MHz, 0x0000000000000000, 67, 33.59 W
2026/09/10 16:03:17.433, 2470 MHz, 0x0000000000000000, 67, 33.58 W
2026/09/10 16:03:18.434, 2470 MHz, 0x0000000000000000, 67, 33.57 W
2026/09/10 16:03:19.434, 2470 MHz, 0x0000000000000000, 67, 33.58 W
2026/09/10 16:03:20.434, 2470 MHz, 0x0000000000000000, 67, 33.59 W
2026/09/10 16:03:21.434, 2470 MHz, 0x0000000000000000, 67, 33.62 W
2026/09/10 16:03:22.435, 2470 MHz, 0x0000000000000000, 67, 33.61 W
2026/09/10 16:03:23.435, 2470 MHz, 0x0000000000000000, 67, 33.54 W
2026/09/10 16:03:24.435, 2405 MHz, 0x0000000000000000, 64, 14.82 W
2026/09/10 16:03:25.435, 2405 MHz, 0x0000000000000000, 63, 14.51 W
2026/09/10 16:03:26.435, 2405 MHz, 0x0000000000000000, 63, 14.44 W
2026/09/10 16:03:27.436, 2463 MHz, 0x0000000000000000, 70, 57.21 W
2026/09/10 16:03:28.436, 2457 MHz, 0x0000000000000000, 73, 59.23 W
2026/09/10 16:03:29.436, 2450 MHz, 0x0000000000000000, 71, 59.78 W
2026/09/10 16:03:30.436, 2457 MHz, 0x0000000000000000, 72, 59.47 W
2026/09/10 16:03:31.436, 2450 MHz, 0x0000000000000000, 71, 59.85 W
2026/09/10 16:03:32.437, 2405 MHz, 0x0000000000000000, 65, 37.27 W
2026/09/10 16:03:33.437, 2463 MHz, 0x0000000000000000, 69, 30.42 W
2026/09/10 16:03:34.437, 2450 MHz, 0x0000000000000000, 74, 59.35 W
2026/09/10 16:03:35.438, 2470 MHz, 0x0000000000000000, 67, 33.97 W
2026/09/10 16:03:36.438, 2470 MHz, 0x0000000000000000, 67, 33.70 W
2026/09/10 16:03:37.438, 2470 MHz, 0x0000000000000000, 67, 33.70 W
2026/09/10 16:03:38.438, 2470 MHz, 0x0000000000000000, 67, 33.69 W
2026/09/10 16:03:39.439, 2470 MHz, 0x0000000000000000, 67, 33.73 W
2026/09/10 16:03:40.439, 2470 MHz, 0x0000000000000000, 67, 33.75 W
2026/09/10 16:03:41.439, 2470 MHz, 0x0000000000000000, 67, 33.71 W
2026/09/10 16:03:42.440, 2470 MHz, 0x0000000000000000, 67, 33.74 W
2026/09/10 16:03:43.440, 2470 MHz, 0x0000000000000000, 67, 33.75 W
2026/09/10 16:03:44.440, 2470 MHz, 0x0000000000000000, 67, 33.72 W
2026/09/10 16:03:45.440, 2470 MHz, 0x0000000000000000, 67, 33.72 W
2026/09/10 16:03:46.441, 2470 MHz, 0x0000000000000000, 67, 33.74 W
2026/09/10 16:03:47.441, 2470 MHz, 0x0000000000000000, 67, 33.76 W
2026/09/10 16:03:48.441, 2470 MHz, 0x0000000000000000, 67, 33.76 W
2026/09/10 16:03:49.441, 2470 MHz, 0x0000000000000000, 67, 33.77 W
2026/09/10 16:03:50.442, 2470 MHz, 0x0000000000000000, 67, 33.78 W
2026/09/10 16:03:51.442, 2470 MHz, 0x0000000000000000, 67, 33.78 W
2026/09/10 16:03:52.442, 2470 MHz, 0x0000000000000000, 67, 33.78 W
2026/09/10 16:03:53.442, 2470 MHz, 0x0000000000000000, 67, 33.79 W
2026/09/10 16:03:54.443, 2470 MHz, 0x0000000000000000, 68, 33.80 W
2026/09/10 16:03:55.443, 2470 MHz, 0x0000000000000000, 68, 33.79 W
2026/09/10 16:03:56.443, 2470 MHz, 0x0000000000000000, 68, 33.82 W
2026/09/10 16:03:57.443, 2470 MHz, 0x0000000000000000, 68, 33.81 W
2026/09/10 16:03:58.444, 2470 MHz, 0x0000000000000000, 68, 33.81 W
2026/09/10 16:03:59.444, 2470 MHz, 0x0000000000000000, 68, 33.85 W
2026/09/10 16:04:00.444, 2470 MHz, 0x0000000000000000, 68, 33.84 W
2026/09/10 16:04:01.444, 2470 MHz, 0x0000000000000000, 68, 33.83 W
2026/09/10 16:04:02.445, 2470 MHz, 0x0000000000000000, 68, 33.84 W
2026/09/10 16:04:03.445, 2470 MHz, 0x0000000000000000, 68, 33.84 W
2026/09/10 16:04:04.445, 2470 MHz, 0x0000000000000000, 68, 33.82 W
2026/09/10 16:04:05.446, 2470 MHz, 0x0000000000000000, 68, 33.82 W
2026/09/10 16:04:06.446, 2470 MHz, 0x0000000000000000, 68, 33.86 W
2026/09/10 16:04:07.446, 2470 MHz, 0x0000000000000000, 68, 33.84 W
2026/09/10 16:04:08.447, 2405 MHz, 0x0000000000000000, 65, 20.75 W
2026/09/10 16:04:09.447, 2405 MHz, 0x0000000000000000, 64, 14.77 W
2026/09/10 16:04:10.447, 2405 MHz, 0x0000000000000000, 64, 14.66 W
2026/09/10 16:04:11.448, 2463 MHz, 0x0000000000000000, 70, 44.09 W
2026/09/10 16:04:12.448, 2450 MHz, 0x0000000000000000, 71, 58.77 W
2026/09/10 16:04:13.448, 2457 MHz, 0x0000000000000000, 71, 59.75 W
2026/09/10 16:04:14.448, 2450 MHz, 0x0000000000000000, 72, 60.38 W
2026/09/10 16:04:15.449, 2450 MHz, 0x0000000000000000, 73, 59.67 W
2026/09/10 16:04:16.449, 2444 MHz, 0x0000000000000000, 72, 60.49 W
2026/09/10 16:04:17.449, 2444 MHz, 0x0000000000000000, 73, 60.74 W
2026/09/10 16:04:18.449, 2444 MHz, 0x0000000000000000, 74, 60.96 W
2026/09/10 16:04:19.450, 2444 MHz, 0x0000000000000000, 73, 61.06 W
2026/09/10 16:04:20.450, 2444 MHz, 0x0000000000000000, 74, 61.17 W
2026/09/10 16:04:21.450, 2444 MHz, 0x0000000000000000, 73, 59.84 W
2026/09/10 16:04:22.450, 2405 MHz, 0x0000000000000000, 66, 25.91 W
2026/09/10 16:04:23.451, 2450 MHz, 0x0000000000000000, 73, 37.85 W
2026/09/10 16:04:24.451, 2463 MHz, 0x0000000000000000, 69, 54.56 W
2026/09/10 16:04:25.451, 2470 MHz, 0x0000000000000000, 69, 34.17 W
2026/09/10 16:04:26.451, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:27.452, 2470 MHz, 0x0000000000000000, 69, 34.14 W
2026/09/10 16:04:28.452, 2470 MHz, 0x0000000000000000, 69, 34.11 W
2026/09/10 16:04:29.452, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:30.452, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:31.453, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:32.453, 2470 MHz, 0x0000000000000000, 69, 34.14 W
2026/09/10 16:04:33.453, 2470 MHz, 0x0000000000000000, 69, 34.11 W
2026/09/10 16:04:34.453, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:35.454, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:36.454, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:37.454, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:38.455, 2470 MHz, 0x0000000000000000, 69, 34.11 W
2026/09/10 16:04:39.455, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:40.455, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:41.455, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:42.455, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:43.456, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:44.456, 2470 MHz, 0x0000000000000000, 69, 34.15 W
2026/09/10 16:04:45.456, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:46.456, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:47.457, 2470 MHz, 0x0000000000000000, 69, 34.14 W
2026/09/10 16:04:48.457, 2470 MHz, 0x0000000000000000, 69, 34.15 W
2026/09/10 16:04:49.457, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:50.458, 2470 MHz, 0x0000000000000000, 69, 34.13 W
2026/09/10 16:04:51.458, 2470 MHz, 0x0000000000000000, 69, 34.14 W
2026/09/10 16:04:52.458, 2470 MHz, 0x0000000000000000, 69, 34.17 W
2026/09/10 16:04:53.458, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:54.459, 2470 MHz, 0x0000000000000000, 69, 34.12 W
2026/09/10 16:04:55.459, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:56.459, 2470 MHz, 0x0000000000000000, 69, 34.16 W
2026/09/10 16:04:57.459, 2470 MHz, 0x0000000000000000, 69, 34.17 W
2026/09/10 16:04:58.460, 2405 MHz, 0x0000000000000000, 66, 16.77 W
2026/09/10 16:04:59.460, 2405 MHz, 0x0000000000000000, 65, 14.94 W
2026/09/10 16:05:00.461, 2405 MHz, 0x0000000000000000, 65, 14.84 W
2026/09/10 16:05:01.461, 2450 MHz, 0x0000000000000000, 72, 53.35 W
2026/09/10 16:05:02.462, 2450 MHz, 0x0000000000000000, 72, 59.38 W
2026/09/10 16:05:03.462, 2444 MHz, 0x0000000000000000, 74, 60.34 W
2026/09/10 16:05:04.463, 2444 MHz, 0x0000000000000000, 76, 59.82 W
2026/09/10 16:05:05.463, 2444 MHz, 0x0000000000000000, 72, 60.77 W
2026/09/10 16:05:06.463, 2444 MHz, 0x0000000000000000, 74, 60.83 W
2026/09/10 16:05:07.464, 2444 MHz, 0x0000000000000000, 73, 60.82 W
2026/09/10 16:05:08.464, 2444 MHz, 0x0000000000000000, 74, 61.06 W
2026/09/10 16:05:09.464, 2444 MHz, 0x0000000000000000, 77, 60.96 W
2026/09/10 16:05:10.465, 2444 MHz, 0x0000000000000000, 77, 61.58 W
2026/09/10 16:05:11.465, 2444 MHz, 0x0000000000000000, 75, 61.48 W
2026/09/10 16:05:12.465, 2444 MHz, 0x0000000000000000, 76, 61.86 W
2026/09/10 16:05:13.465, 2444 MHz, 0x0000000000000000, 76, 61.31 W
2026/09/10 16:05:14.465, 2444 MHz, 0x0000000000000000, 78, 61.83 W
2026/09/10 16:05:15.465, 2444 MHz, 0x0000000000000000, 76, 61.73 W
2026/09/10 16:05:16.466, 2444 MHz, 0x0000000000000000, 77, 61.77 W
2026/09/10 16:05:17.466, 2444 MHz, 0x0000000000000000, 75, 62.24 W
2026/09/10 16:05:18.466, 2444 MHz, 0x0000000000000000, 78, 61.95 W
2026/09/10 16:05:19.466, 2444 MHz, 0x0000000000000000, 77, 62.10 W
2026/09/10 16:05:20.466, 2444 MHz, 0x0000000000000000, 75, 62.31 W
2026/09/10 16:05:21.467, 2444 MHz, 0x0000000000000000, 77, 61.73 W
2026/09/10 16:05:22.467, 2444 MHz, 0x0000000000000000, 77, 59.97 W
2026/09/10 16:05:23.467, 2405 MHz, 0x0000000000000000, 69, 16.00 W
2026/09/10 16:05:24.467, 2444 MHz, 0x0000000000000000, 75, 38.98 W
2026/09/10 16:05:25.468, 2450 MHz, 0x0000000000000000, 72, 51.08 W
2026/09/10 16:05:26.468, 2457 MHz, 0x0000000000000000, 71, 34.75 W
2026/09/10 16:05:27.468, 2470 MHz, 0x0000000000000000, 71, 34.83 W
2026/09/10 16:05:28.469, 2470 MHz, 0x0000000000000000, 71, 34.80 W
2026/09/10 16:05:29.469, 2470 MHz, 0x0000000000000000, 71, 34.81 W
2026/09/10 16:05:30.470, 2470 MHz, 0x0000000000000000, 71, 34.78 W
2026/09/10 16:05:31.470, 2470 MHz, 0x0000000000000000, 71, 34.76 W
2026/09/10 16:05:32.471, 2470 MHz, 0x0000000000000000, 71, 34.76 W
2026/09/10 16:05:33.471, 2470 MHz, 0x0000000000000000, 71, 34.74 W
2026/09/10 16:05:34.471, 2470 MHz, 0x0000000000000000, 71, 34.75 W
2026/09/10 16:05:35.471, 2470 MHz, 0x0000000000000000, 70, 34.69 W
2026/09/10 16:05:36.472, 2470 MHz, 0x0000000000000000, 70, 34.66 W
2026/09/10 16:05:37.472, 2470 MHz, 0x0000000000000000, 70, 34.63 W
2026/09/10 16:05:38.473, 2470 MHz, 0x0000000000000000, 70, 34.60 W
2026/09/10 16:05:39.473, 2470 MHz, 0x0000000000000000, 70, 34.58 W
2026/09/10 16:05:40.473, 2470 MHz, 0x0000000000000000, 70, 34.54 W
2026/09/10 16:05:41.474, 2470 MHz, 0x0000000000000000, 70, 34.56 W
2026/09/10 16:05:42.474, 2470 MHz, 0x0000000000000000, 70, 34.47 W
2026/09/10 16:05:43.474, 2470 MHz, 0x0000000000000000, 70, 34.55 W
2026/09/10 16:05:44.474, 2470 MHz, 0x0000000000000000, 70, 34.49 W
2026/09/10 16:05:45.475, 2470 MHz, 0x0000000000000000, 70, 34.45 W
2026/09/10 16:05:46.475, 2470 MHz, 0x0000000000000000, 69, 34.45 W
2026/09/10 16:05:47.476, 2470 MHz, 0x0000000000000000, 69, 34.42 W
2026/09/10 16:05:48.476, 2470 MHz, 0x0000000000000000, 69, 34.40 W
2026/09/10 16:05:49.477, 2470 MHz, 0x0000000000000000, 69, 34.40 W
2026/09/10 16:05:50.477, 2470 MHz, 0x0000000000000000, 69, 34.35 W
2026/09/10 16:05:51.478, 2470 MHz, 0x0000000000000000, 69, 34.40 W
2026/09/10 16:05:52.478, 2470 MHz, 0x0000000000000000, 69, 34.35 W
2026/09/10 16:05:53.478, 2470 MHz, 0x0000000000000000, 69, 34.34 W
2026/09/10 16:05:54.479, 2470 MHz, 0x0000000000000000, 69, 34.34 W
2026/09/10 16:05:55.479, 2470 MHz, 0x0000000000000000, 69, 34.33 W
2026/09/10 16:05:56.480, 2470 MHz, 0x0000000000000000, 69, 34.29 W
2026/09/10 16:05:57.480, 2470 MHz, 0x0000000000000000, 69, 34.28 W
2026/09/10 16:05:58.480, 2470 MHz, 0x0000000000000000, 69, 34.26 W
2026/09/10 16:05:59.481, 2405 MHz, 0x0000000000000000, 66, 16.08 W
2026/09/10 16:06:00.481, 2405 MHz, 0x0000000000000000, 65, 14.90 W
2026/09/10 16:06:01.481, 2405 MHz, 0x0000000000000000, 64, 14.80 W
2026/09/10 16:06:02.482, 2457 MHz, 0x0000000000000000, 72, 49.62 W
2026/09/10 16:06:03.482, 2450 MHz, 0x0000000000000000, 72, 58.93 W
2026/09/10 16:06:04.483, 2444 MHz, 0x0000000000000000, 71, 60.28 W
2026/09/10 16:06:05.483, 2450 MHz, 0x0000000000000000, 72, 60.49 W
2026/09/10 16:06:06.483, 2444 MHz, 0x0000000000000000, 76, 60.61 W
2026/09/10 16:06:07.484, 2444 MHz, 0x0000000000000000, 75, 60.70 W
2026/09/10 16:06:08.484, 2444 MHz, 0x0000000000000000, 74, 60.66 W
2026/09/10 16:06:09.485, 2444 MHz, 0x0000000000000000, 73, 61.09 W
2026/09/10 16:06:10.485, 2444 MHz, 0x0000000000000000, 73, 61.00 W
2026/09/10 16:06:11.486, 2444 MHz, 0x0000000000000000, 74, 61.33 W
2026/09/10 16:06:12.486, 2444 MHz, 0x0000000000000000, 75, 60.68 W
2026/09/10 16:06:13.487, 2444 MHz, 0x0000000000000000, 74, 61.40 W
2026/09/10 16:06:14.487, 2444 MHz, 0x0000000000000000, 73, 61.33 W
2026/09/10 16:06:15.487, 2444 MHz, 0x0000000000000000, 75, 61.85 W
2026/09/10 16:06:16.488, 2444 MHz, 0x0000000000000000, 74, 61.19 W
2026/09/10 16:06:17.488, 2444 MHz, 0x0000000000000000, 75, 61.78 W
2026/09/10 16:06:18.489, 2444 MHz, 0x0000000000000000, 76, 61.35 W
2026/09/10 16:06:19.489, 2444 MHz, 0x0000000000000000, 74, 61.89 W
2026/09/10 16:06:20.490, 2444 MHz, 0x0000000000000000, 75, 62.08 W
2026/09/10 16:06:21.491, 2444 MHz, 0x0000000000000000, 75, 62.06 W
2026/09/10 16:06:22.491, 2444 MHz, 0x0000000000000000, 76, 62.37 W
2026/09/10 16:06:23.492, 2444 MHz, 0x0000000000000000, 75, 61.70 W
2026/09/10 16:06:24.492, 2444 MHz, 0x0000000000000000, 75, 62.38 W
2026/09/10 16:06:25.492, 2444 MHz, 0x0000000000000000, 75, 61.91 W
2026/09/10 16:06:26.492, 2444 MHz, 0x0000000000000000, 74, 62.18 W
2026/09/10 16:06:27.493, 2444 MHz, 0x0000000000000000, 76, 62.60 W
2026/09/10 16:06:28.493, 2444 MHz, 0x0000000000000000, 74, 62.38 W
2026/09/10 16:06:29.494, 2444 MHz, 0x0000000000000000, 76, 62.42 W
2026/09/10 16:06:30.494, 2444 MHz, 0x0000000000000000, 75, 62.54 W
2026/09/10 16:06:31.494, 2444 MHz, 0x0000000000000000, 79, 63.02 W
2026/09/10 16:06:32.495, 2444 MHz, 0x0000000000000000, 76, 62.59 W
2026/09/10 16:06:33.495, 2444 MHz, 0x0000000000000000, 75, 62.71 W
2026/09/10 16:06:34.496, 2444 MHz, 0x0000000000000000, 77, 62.87 W
2026/09/10 16:06:35.496, 2444 MHz, 0x0000000000000000, 76, 63.13 W
2026/09/10 16:06:36.496, 2444 MHz, 0x0000000000000000, 76, 62.97 W
2026/09/10 16:06:37.497, 2444 MHz, 0x0000000000000000, 77, 62.99 W
2026/09/10 16:06:38.497, 2444 MHz, 0x0000000000000000, 79, 63.61 W
2026/09/10 16:06:39.498, 2444 MHz, 0x0000000000000000, 79, 63.28 W
2026/09/10 16:06:40.498, 2444 MHz, 0x0000000000000000, 76, 63.58 W
2026/09/10 16:06:41.499, 2444 MHz, 0x0000000000000000, 76, 63.37 W
2026/09/10 16:06:42.499, 2444 MHz, 0x0000000000000000, 77, 63.26 W
2026/09/10 16:06:43.500, 2444 MHz, 0x0000000000000000, 76, 63.51 W
2026/09/10 16:06:44.500, 2444 MHz, 0x0000000000000000, 77, 62.99 W
2026/09/10 16:06:45.501, 2444 MHz, 0x0000000000000000, 77, 62.66 W
2026/09/10 16:06:46.501, 2424 MHz, 0x0000000000000000, 71, 54.59 W
2026/09/10 16:06:47.501, 2405 MHz, 0x0000000000000000, 69, 15.86 W
2026/09/10 16:06:48.502, 2444 MHz, 0x0000000000000000, 75, 39.97 W
2026/09/10 16:06:49.502, 2444 MHz, 0x0000000000000000, 74, 61.63 W
2026/09/10 16:06:50.503, 2450 MHz, 0x0000000000000000, 71, 35.05 W
2026/09/10 16:06:51.503, 2470 MHz, 0x0000000000000000, 71, 35.16 W
2026/09/10 16:06:52.504, 2470 MHz, 0x0000000000000000, 71, 35.11 W
2026/09/10 16:06:53.504, 2470 MHz, 0x0000000000000000, 71, 35.08 W
2026/09/10 16:06:54.504, 2470 MHz, 0x0000000000000000, 71, 35.05 W
2026/09/10 16:06:55.505, 2470 MHz, 0x0000000000000000, 71, 35.02 W
2026/09/10 16:06:56.505, 2470 MHz, 0x0000000000000000, 71, 34.99 W
2026/09/10 16:06:57.506, 2470 MHz, 0x0000000000000000, 70, 34.97 W
