timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 14:23:36.597, 2405 MHz, 0x0000000000000000, 67, 17.16 W
2026/09/15 14:23:37.605, 2405 MHz, 0x0000000000000000, 66, 17.08 W
2026/09/15 14:23:38.606, 2405 MHz, 0x0000000000000000, 66, 16.93 W
2026/09/15 14:23:39.606, 2405 MHz, 0x0000000000000000, 65, 16.79 W
2026/09/15 14:23:40.607, 2405 MHz, 0x0000000000000000, 65, 16.66 W
2026/09/15 14:23:41.608, 2405 MHz, 0x0000000000000000, 64, 16.61 W
2026/09/15 14:23:42.608, 2405 MHz, 0x0000000000000000, 64, 16.56 W
2026/09/15 14:23:43.609, 2405 MHz, 0x0000000000000000, 64, 16.53 W
2026/09/15 14:23:44.609, 2405 MHz, 0x0000000000000000, 63, 16.44 W
2026/09/15 14:23:45.610, 2405 MHz, 0x0000000000000000, 63, 16.34 W
2026/09/15 14:23:46.610, 2405 MHz, 0x0000000000000000, 63, 16.28 W
2026/09/15 14:23:47.610, 2405 MHz, 0x0000000000000000, 62, 16.23 W
2026/09/15 14:23:48.611, 2405 MHz, 0x0000000000000000, 62, 16.10 W
2026/09/15 14:23:49.611, 2405 MHz, 0x0000000000000000, 62, 15.95 W
2026/09/15 14:23:50.612, 2405 MHz, 0x0000000000000000, 61, 15.91 W
2026/09/15 14:23:51.612, 2405 MHz, 0x0000000000000000, 61, 15.84 W
2026/09/15 14:23:52.612, 2405 MHz, 0x0000000000000000, 61, 15.89 W
2026/09/15 14:23:53.613, 2405 MHz, 0x0000000000000000, 61, 15.80 W
2026/09/15 14:23:54.613, 2405 MHz, 0x0000000000000000, 61, 16.33 W
2026/09/15 14:23:55.614, 2405 MHz, 0x0000000000000000, 61, 16.56 W
2026/09/15 14:23:56.614, 2405 MHz, 0x0000000000000000, 61, 16.23 W
2026/09/15 14:23:57.614, 1644 MHz, 0x0000000000000000, 59, 13.79 W
2026/09/15 14:23:58.614, 208 MHz, 0x0000000000000000, 59, 7.26 W
2026/09/15 14:23:59.615, 208 MHz, 0x0000000000000000, 59, 7.25 W
2026/09/15 14:24:00.615, 208 MHz, 0x0000000000000000, 59, 7.25 W
2026/09/15 14:24:01.615, 208 MHz, 0x0000000000000000, 59, 6.33 W
2026/09/15 14:24:02.615, 208 MHz, 0x0000000000000004, 59, 6.29 W
2026/09/15 14:24:03.616, 208 MHz, 0x0000000000000000, 58, 6.28 W
2026/09/15 14:24:04.616, 208 MHz, 0x0000000000000004, 58, 6.27 W
2026/09/15 14:24:05.617, 208 MHz, 0x0000000000000000, 58, 6.35 W
2026/09/15 14:24:06.617, 208 MHz, 0x0000000000000004, 58, 6.26 W
2026/09/15 14:24:07.617, 208 MHz, 0x0000000000000000, 58, 6.35 W
2026/09/15 14:24:08.618, 208 MHz, 0x0000000000000000, 58, 6.31 W
2026/09/15 14:24:09.618, 208 MHz, 0x0000000000000000, 58, 6.31 W
2026/09/15 14:24:10.619, 208 MHz, 0x0000000000000000, 58, 6.15 W
2026/09/15 14:24:11.619, 208 MHz, 0x0000000000000004, 58, 6.15 W
2026/09/15 14:24:12.620, 208 MHz, 0x0000000000000000, 58, 6.16 W
2026/09/15 14:24:13.620, 208 MHz, 0x0000000000000004, 58, 6.15 W
2026/09/15 14:24:14.621, 208 MHz, 0x0000000000000000, 58, 6.16 W
2026/09/15 14:24:15.621, 208 MHz, 0x0000000000000004, 58, 6.12 W
2026/09/15 14:24:16.621, 208 MHz, 0x0000000000000000, 57, 6.13 W
2026/09/15 14:24:17.622, 208 MHz, 0x0000000000000004, 57, 6.14 W
2026/09/15 14:24:18.622, 208 MHz, 0x0000000000000000, 57, 6.14 W
2026/09/15 14:24:19.623, 208 MHz, 0x0000000000000004, 57, 6.14 W
2026/09/15 14:24:20.623, 208 MHz, 0x0000000000000000, 57, 6.14 W
2026/09/15 14:24:21.623, 208 MHz, 0x0000000000000004, 57, 6.10 W
2026/09/15 14:24:22.624, 214 MHz, 0x0000000000000000, 57, 6.09 W
2026/09/15 14:24:23.625, 208 MHz, 0x0000000000000004, 57, 6.05 W
2026/09/15 14:24:24.625, 208 MHz, 0x0000000000000000, 57, 6.04 W
2026/09/15 14:24:25.625, 208 MHz, 0x0000000000000004, 57, 6.07 W
2026/09/15 14:24:26.625, 208 MHz, 0x0000000000000000, 57, 6.14 W
2026/09/15 14:24:27.625, 208 MHz, 0x0000000000000004, 57, 6.10 W
2026/09/15 14:24:28.626, 214 MHz, 0x0000000000000000, 57, 6.05 W
2026/09/15 14:24:29.626, 208 MHz, 0x0000000000000004, 57, 6.00 W
2026/09/15 14:24:30.626, 208 MHz, 0x0000000000000000, 57, 6.03 W
2026/09/15 14:24:31.626, 208 MHz, 0x0000000000000004, 57, 6.05 W
2026/09/15 14:24:32.627, 208 MHz, 0x0000000000000000, 57, 6.06 W
2026/09/15 14:24:33.628, 208 MHz, 0x0000000000000004, 57, 6.01 W
2026/09/15 14:24:34.628, 208 MHz, 0x0000000000000000, 57, 6.00 W
2026/09/15 14:24:35.629, 2392 MHz, 0x0000000000000000, 58, 8.36 W
2026/09/15 14:24:36.629, 2405 MHz, 0x0000000000000000, 58, 15.29 W
