timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 14:23:36.612, 2411 MHz, 0x0000000000000000, 68, 15.04 W
2026/09/15 14:23:37.622, 2411 MHz, 0x0000000000000000, 67, 14.97 W
2026/09/15 14:23:38.622, 2411 MHz, 0x0000000000000000, 67, 14.72 W
2026/09/15 14:23:39.623, 2411 MHz, 0x0000000000000000, 66, 14.66 W
2026/09/15 14:23:40.624, 2411 MHz, 0x0000000000000000, 66, 14.63 W
2026/09/15 14:23:41.624, 2411 MHz, 0x0000000000000000, 66, 14.54 W
2026/09/15 14:23:42.624, 2411 MHz, 0x0000000000000000, 65, 14.48 W
2026/09/15 14:23:43.625, 2411 MHz, 0x0000000000000000, 65, 14.35 W
2026/09/15 14:23:44.626, 2411 MHz, 0x0000000000000000, 65, 14.32 W
2026/09/15 14:23:45.627, 2411 MHz, 0x0000000000000000, 64, 14.24 W
2026/09/15 14:23:46.627, 2411 MHz, 0x0000000000000000, 64, 14.33 W
2026/09/15 14:23:47.628, 2411 MHz, 0x0000000000000000, 64, 14.16 W
2026/09/15 14:23:48.629, 2411 MHz, 0x0000000000000000, 64, 15.25 W
2026/09/15 14:23:49.630, 2411 MHz, 0x0000000000000000, 64, 14.81 W
2026/09/15 14:23:50.630, 2411 MHz, 0x0000000000000000, 63, 14.32 W
2026/09/15 14:23:51.631, 208 MHz, 0x0000000000000000, 62, 7.28 W
2026/09/15 14:23:52.631, 201 MHz, 0x0000000000000000, 61, 5.33 W
2026/09/15 14:23:53.632, 201 MHz, 0x0000000000000000, 61, 5.29 W
2026/09/15 14:23:54.632, 208 MHz, 0x0000000000000000, 60, 4.22 W
2026/09/15 14:23:55.633, 208 MHz, 0x0000000000000004, 60, 4.20 W
2026/09/15 14:23:56.633, 208 MHz, 0x0000000000000004, 60, 4.11 W
2026/09/15 14:23:57.634, 208 MHz, 0x0000000000000000, 60, 4.13 W
2026/09/15 14:23:58.635, 208 MHz, 0x0000000000000004, 59, 4.29 W
2026/09/15 14:23:59.635, 208 MHz, 0x0000000000000000, 59, 4.35 W
2026/09/15 14:24:00.636, 214 MHz, 0x0000000000000000, 59, 4.49 W
2026/09/15 14:24:01.636, 208 MHz, 0x0000000000000004, 59, 4.45 W
2026/09/15 14:24:02.636, 208 MHz, 0x0000000000000000, 59, 4.38 W
2026/09/15 14:24:03.637, 208 MHz, 0x0000000000000004, 59, 4.30 W
2026/09/15 14:24:04.637, 208 MHz, 0x0000000000000000, 58, 4.27 W
2026/09/15 14:24:05.638, 208 MHz, 0x0000000000000000, 58, 4.38 W
2026/09/15 14:24:06.638, 214 MHz, 0x0000000000000000, 58, 4.41 W
2026/09/15 14:24:07.638, 208 MHz, 0x0000000000000000, 58, 4.34 W
2026/09/15 14:24:08.639, 208 MHz, 0x0000000000000000, 58, 4.31 W
2026/09/15 14:24:09.639, 208 MHz, 0x0000000000000004, 58, 4.34 W
2026/09/15 14:24:10.639, 208 MHz, 0x0000000000000000, 58, 4.52 W
2026/09/15 14:24:11.640, 208 MHz, 0x0000000000000004, 57, 4.40 W
2026/09/15 14:24:12.640, 208 MHz, 0x0000000000000000, 57, 4.28 W
2026/09/15 14:24:13.640, 208 MHz, 0x0000000000000004, 57, 4.27 W
2026/09/15 14:24:14.641, 208 MHz, 0x0000000000000000, 57, 4.28 W
2026/09/15 14:24:15.641, 208 MHz, 0x0000000000000004, 57, 4.28 W
2026/09/15 14:24:16.641, 208 MHz, 0x0000000000000000, 57, 4.41 W
2026/09/15 14:24:17.642, 208 MHz, 0x0000000000000004, 57, 4.21 W
2026/09/15 14:24:18.643, 208 MHz, 0x0000000000000000, 57, 3.99 W
