timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 20:59:53.056, 2424 MHz, 0x0000000000000000, 56, 17.08 W
2026/09/15 20:59:54.065, 2437 MHz, 0x0000000000000000, 56, 17.37 W
2026/09/15 20:59:55.065, 2437 MHz, 0x0000000000000000, 56, 17.65 W
2026/09/15 20:59:56.065, 2444 MHz, 0x0000000000000000, 57, 19.54 W
2026/09/15 20:59:57.065, 2437 MHz, 0x0000000000000000, 56, 17.76 W
2026/09/15 20:59:58.065, 2437 MHz, 0x0000000000000000, 56, 16.58 W
2026/09/15 20:59:59.065, 2405 MHz, 0x0000000000000000, 56, 15.24 W
2026/09/15 21:00:00.065, 2405 MHz, 0x0000000000000000, 56, 15.23 W
2026/09/15 21:00:01.066, 2405 MHz, 0x0000000000000000, 56, 15.11 W
2026/09/15 21:00:02.067, 2405 MHz, 0x0000000000000000, 56, 19.24 W
2026/09/15 21:00:03.067, 2489 MHz, 0x0000000000000000, 57, 19.45 W
2026/09/15 21:00:04.067, 2502 MHz, 0x0000000000000000, 57, 23.64 W
2026/09/15 21:00:05.068, 2405 MHz, 0x0000000000000000, 56, 14.63 W
2026/09/15 21:00:06.069, 2405 MHz, 0x0000000000000000, 56, 14.30 W
2026/09/15 21:00:07.069, 2405 MHz, 0x0000000000000000, 55, 14.28 W
2026/09/15 21:00:08.069, 2405 MHz, 0x0000000000000000, 55, 14.26 W
2026/09/15 21:00:09.070, 2405 MHz, 0x0000000000000000, 55, 14.23 W
2026/09/15 21:00:10.071, 2405 MHz, 0x0000000000000000, 55, 14.56 W
2026/09/15 21:00:11.071, 2405 MHz, 0x0000000000000000, 55, 14.38 W
2026/09/15 21:00:12.072, 2366 MHz, 0x0000000000000000, 70, 84.33 W
2026/09/15 21:00:13.072, 2372 MHz, 0x0000000000000000, 65, 89.68 W
2026/09/15 21:00:14.072, 2385 MHz, 0x0000000000000000, 71, 93.35 W
2026/09/15 21:00:15.072, 2346 MHz, 0x0000000000000000, 71, 90.41 W
2026/09/15 21:00:16.073, 2294 MHz, 0x0000000000000000, 67, 87.70 W
2026/09/15 21:00:17.073, 2372 MHz, 0x0000000000000000, 72, 90.15 W
2026/09/15 21:00:18.073, 2372 MHz, 0x0000000000000000, 73, 91.38 W
2026/09/15 21:00:19.074, 2314 MHz, 0x0000000000000000, 75, 89.94 W
2026/09/15 21:00:20.074, 2359 MHz, 0x0000000000000000, 70, 88.66 W
2026/09/15 21:00:21.075, 2372 MHz, 0x0000000000000000, 74, 92.96 W
2026/09/15 21:00:22.076, 2405 MHz, 0x0000000000000000, 61, 21.51 W
2026/09/15 21:00:23.076, 2405 MHz, 0x0000000000000000, 60, 15.42 W
2026/09/15 21:00:24.076, 2405 MHz, 0x0000000000000000, 60, 15.35 W
2026/09/15 21:00:25.077, 2405 MHz, 0x0000000000000000, 59, 15.21 W
2026/09/15 21:00:26.077, 2405 MHz, 0x0000000000000000, 59, 15.21 W
2026/09/15 21:00:27.077, 2405 MHz, 0x0000000000000000, 59, 15.13 W
2026/09/15 21:00:28.077, 2405 MHz, 0x0000000000000000, 58, 15.01 W
2026/09/15 21:00:29.078, 2405 MHz, 0x0000000000000000, 58, 14.98 W
2026/09/15 21:00:30.078, 2444 MHz, 0x0000000000000000, 58, 17.98 W
2026/09/15 21:00:31.079, 2476 MHz, 0x0000000000000000, 59, 23.44 W
2026/09/15 21:00:32.080, 2405 MHz, 0x0000000000000000, 57, 19.31 W
2026/09/15 21:00:33.080, 2489 MHz, 0x0000000000000000, 60, 24.68 W
2026/09/15 21:00:34.081, 2476 MHz, 0x0000000000000000, 58, 28.71 W
2026/09/15 21:00:35.082, 2502 MHz, 0x0000000000000000, 59, 26.93 W
2026/09/15 21:00:36.083, 2496 MHz, 0x0000000000000000, 58, 25.61 W
2026/09/15 21:00:37.083, 2405 MHz, 0x0000000000000000, 57, 16.73 W
2026/09/15 21:00:38.083, 2405 MHz, 0x0000000000000000, 57, 14.71 W
2026/09/15 21:00:39.084, 2405 MHz, 0x0000000000000000, 56, 14.86 W
2026/09/15 21:00:40.085, 2405 MHz, 0x0000000000000000, 56, 14.95 W
2026/09/15 21:00:41.085, 2405 MHz, 0x0000000000000000, 56, 15.09 W
2026/09/15 21:00:42.086, 2405 MHz, 0x0000000000000000, 56, 14.68 W
2026/09/15 21:00:43.086, 2405 MHz, 0x0000000000000000, 56, 14.54 W
2026/09/15 21:00:44.087, 2502 MHz, 0x0000000000000000, 56, 18.25 W
2026/09/15 21:00:45.087, 2502 MHz, 0x0000000000000000, 56, 21.73 W
2026/09/15 21:00:46.089, 2437 MHz, 0x0000000000000000, 59, 24.43 W
2026/09/15 21:00:47.090, 2450 MHz, 0x0000000000000000, 59, 40.83 W
2026/09/15 21:00:48.090, 2405 MHz, 0x0000000000000000, 56, 24.23 W
2026/09/15 21:00:49.091, 2444 MHz, 0x0000000000000000, 57, 18.37 W
2026/09/15 21:00:50.091, 2502 MHz, 0x0000000000000000, 58, 30.01 W
2026/09/15 21:00:51.092, 2489 MHz, 0x0000000000000000, 57, 28.62 W
2026/09/15 21:00:52.093, 2411 MHz, 0x0000000000000000, 57, 26.37 W
2026/09/15 21:00:53.094, 2411 MHz, 0x0000000000000000, 56, 18.30 W
2026/09/15 21:00:54.094, 2437 MHz, 0x0000000000000000, 66, 29.44 W
2026/09/15 21:00:55.094, 2405 MHz, 0x0000000000000000, 55, 14.60 W
2026/09/15 21:00:56.095, 2463 MHz, 0x0000000000000000, 55, 16.47 W
2026/09/15 21:00:57.095, 2470 MHz, 0x0000000000000000, 55, 17.83 W
2026/09/15 21:00:58.096, 2411 MHz, 0x0000000000000000, 55, 16.37 W
2026/09/15 21:00:59.097, 2411 MHz, 0x0000000000000000, 55, 16.64 W
2026/09/15 21:01:00.097, 2444 MHz, 0x0000000000000000, 55, 18.16 W
2026/09/15 21:01:01.098, 2405 MHz, 0x0000000000000000, 54, 16.06 W
2026/09/15 21:01:02.098, 2405 MHz, 0x0000000000000000, 54, 14.27 W
2026/09/15 21:01:03.098, 2450 MHz, 0x0000000000000000, 56, 18.63 W
