timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 20:59:53.062, 2424 MHz, 0x0000000000000000, 53, 14.10 W
2026/09/15 20:59:54.071, 2450 MHz, 0x0000000000000000, 53, 15.28 W
2026/09/15 20:59:55.071, 2444 MHz, 0x0000000000000000, 54, 15.55 W
2026/09/15 20:59:56.071, 2522 MHz, 0x0000000000000000, 54, 17.33 W
2026/09/15 20:59:57.072, 2463 MHz, 0x0000000000000000, 54, 18.38 W
2026/09/15 20:59:58.072, 2457 MHz, 0x0000000000000000, 53, 15.83 W
2026/09/15 20:59:59.072, 2405 MHz, 0x0000000000000000, 53, 12.91 W
2026/09/15 21:00:00.072, 2405 MHz, 0x0000000000000000, 53, 12.88 W
2026/09/15 21:00:01.072, 2405 MHz, 0x0000000000000000, 53, 12.66 W
2026/09/15 21:00:02.073, 2398 MHz, 0x0000000000000000, 53, 16.80 W
2026/09/15 21:00:03.073, 2509 MHz, 0x0000000000000000, 55, 17.39 W
2026/09/15 21:00:04.073, 2522 MHz, 0x0000000000000000, 55, 21.56 W
2026/09/15 21:00:05.074, 2405 MHz, 0x0000000000000000, 53, 12.49 W
2026/09/15 21:00:06.074, 2398 MHz, 0x0000000000000000, 53, 11.65 W
2026/09/15 21:00:07.074, 2398 MHz, 0x0000000000000000, 53, 11.57 W
2026/09/15 21:00:08.074, 2398 MHz, 0x0000000000000000, 53, 11.55 W
2026/09/15 21:00:09.075, 2398 MHz, 0x0000000000000000, 52, 11.56 W
2026/09/15 21:00:10.075, 2541 MHz, 0x0000000000000000, 54, 16.78 W
2026/09/15 21:00:11.075, 2541 MHz, 0x0000000000000000, 54, 19.60 W
2026/09/15 21:00:12.075, 2522 MHz, 0x0000000000000000, 54, 19.59 W
2026/09/15 21:00:13.075, 2522 MHz, 0x0000000000000000, 54, 19.62 W
2026/09/15 21:00:14.075, 2522 MHz, 0x0000000000000000, 54, 19.62 W
2026/09/15 21:00:15.075, 2522 MHz, 0x0000000000000000, 54, 19.68 W
2026/09/15 21:00:16.075, 2522 MHz, 0x0000000000000000, 54, 19.63 W
2026/09/15 21:00:17.075, 2522 MHz, 0x0000000000000000, 54, 19.67 W
2026/09/15 21:00:18.076, 2522 MHz, 0x0000000000000000, 54, 19.63 W
2026/09/15 21:00:19.076, 2522 MHz, 0x0000000000000000, 54, 19.65 W
2026/09/15 21:00:20.076, 2522 MHz, 0x0000000000000000, 54, 19.60 W
2026/09/15 21:00:21.076, 2522 MHz, 0x0000000000000000, 54, 19.60 W
2026/09/15 21:00:22.076, 2398 MHz, 0x0000000000000000, 53, 13.07 W
2026/09/15 21:00:23.076, 2398 MHz, 0x0000000000000000, 52, 11.46 W
2026/09/15 21:00:24.077, 2398 MHz, 0x0000000000000000, 52, 11.57 W
2026/09/15 21:00:25.077, 2398 MHz, 0x0000000000000000, 52, 11.64 W
2026/09/15 21:00:26.077, 2398 MHz, 0x0000000000000000, 52, 11.60 W
