timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 19:58:35.475, 2405 MHz, 0x0000000000000000, 53, 14.06 W
2026/09/15 19:58:36.483, 2405 MHz, 0x0000000000000000, 53, 14.11 W
2026/09/15 19:58:37.484, 2405 MHz, 0x0000000000000000, 53, 14.05 W
2026/09/15 19:58:38.484, 2405 MHz, 0x0000000000000000, 53, 14.03 W
2026/09/15 19:58:39.484, 2405 MHz, 0x0000000000000000, 53, 14.06 W
2026/09/15 19:58:40.485, 2411 MHz, 0x0000000000000000, 53, 13.91 W
2026/09/15 19:58:41.485, 2411 MHz, 0x0000000000000000, 52, 13.95 W
2026/09/15 19:58:42.486, 2411 MHz, 0x0000000000000000, 52, 13.93 W
2026/09/15 19:58:43.486, 2411 MHz, 0x0000000000000000, 52, 13.89 W
2026/09/15 19:58:44.488, 2411 MHz, 0x0000000000000000, 52, 13.89 W
2026/09/15 19:58:45.488, 2411 MHz, 0x0000000000000000, 52, 13.82 W
2026/09/15 19:58:46.488, 2411 MHz, 0x0000000000000000, 52, 13.83 W
2026/09/15 19:58:47.489, 2411 MHz, 0x0000000000000000, 52, 13.85 W
2026/09/15 19:58:48.489, 2411 MHz, 0x0000000000000000, 52, 13.85 W
2026/09/15 19:58:49.490, 2411 MHz, 0x0000000000000000, 52, 13.83 W
2026/09/15 19:58:50.490, 2411 MHz, 0x0000000000000000, 52, 13.74 W
2026/09/15 19:58:51.490, 2411 MHz, 0x0000000000000000, 52, 13.75 W
2026/09/15 19:58:52.491, 2411 MHz, 0x0000000000000000, 52, 13.66 W
2026/09/15 19:58:53.491, 2411 MHz, 0x0000000000000000, 52, 14.62 W
2026/09/15 19:58:54.492, 2411 MHz, 0x0000000000000000, 52, 14.49 W
2026/09/15 19:58:55.492, 2411 MHz, 0x0000000000000000, 51, 12.85 W
2026/09/15 19:58:56.492, 208 MHz, 0x0000000000000000, 51, 6.29 W
2026/09/15 19:58:57.492, 208 MHz, 0x0000000000000000, 51, 6.25 W
2026/09/15 19:58:58.493, 2411 MHz, 0x0000000000000000, 52, 10.11 W
2026/09/15 19:58:59.493, 2411 MHz, 0x0000000000000000, 51, 13.27 W
2026/09/15 19:59:00.493, 253 MHz, 0x0000000000000000, 51, 8.10 W
2026/09/15 19:59:01.494, 208 MHz, 0x0000000000000000, 51, 6.39 W
2026/09/15 19:59:02.494, 208 MHz, 0x0000000000000000, 51, 6.37 W
2026/09/15 19:59:03.495, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 19:59:04.495, 208 MHz, 0x0000000000000004, 50, 5.53 W
2026/09/15 19:59:05.495, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 19:59:06.495, 208 MHz, 0x0000000000000000, 50, 5.72 W
2026/09/15 19:59:07.496, 208 MHz, 0x0000000000000000, 50, 5.66 W
2026/09/15 19:59:08.497, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 19:59:09.497, 208 MHz, 0x0000000000000004, 50, 5.56 W
2026/09/15 19:59:10.497, 208 MHz, 0x0000000000000000, 50, 5.57 W
2026/09/15 19:59:11.498, 208 MHz, 0x0000000000000004, 50, 5.58 W
2026/09/15 19:59:12.498, 208 MHz, 0x0000000000000000, 50, 5.56 W
2026/09/15 19:59:13.498, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 19:59:14.499, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 19:59:15.499, 208 MHz, 0x0000000000000004, 50, 5.53 W
2026/09/15 19:59:16.499, 208 MHz, 0x0000000000000000, 50, 5.51 W
2026/09/15 19:59:17.499, 208 MHz, 0x0000000000000004, 50, 5.50 W
2026/09/15 19:59:18.500, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 19:59:19.500, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 19:59:20.500, 208 MHz, 0x0000000000000000, 50, 5.57 W
2026/09/15 19:59:21.501, 208 MHz, 0x0000000000000004, 50, 5.55 W
2026/09/15 19:59:22.501, 208 MHz, 0x0000000000000000, 50, 5.53 W
2026/09/15 19:59:23.501, 208 MHz, 0x0000000000000004, 50, 5.49 W
2026/09/15 19:59:24.501, 208 MHz, 0x0000000000000000, 50, 5.51 W
2026/09/15 19:59:25.502, 208 MHz, 0x0000000000000004, 50, 5.50 W
2026/09/15 19:59:26.502, 208 MHz, 0x0000000000000000, 50, 5.48 W
2026/09/15 19:59:27.502, 208 MHz, 0x0000000000000004, 50, 5.49 W
2026/09/15 19:59:28.502, 208 MHz, 0x0000000000000000, 50, 5.50 W
2026/09/15 19:59:29.502, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 19:59:30.503, 208 MHz, 0x0000000000000000, 50, 5.52 W
2026/09/15 19:59:31.503, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 19:59:32.503, 208 MHz, 0x0000000000000000, 50, 5.57 W
2026/09/15 19:59:33.504, 1547 MHz, 0x0000000000000000, 50, 6.72 W
2026/09/15 19:59:34.504, 2418 MHz, 0x0000000000000000, 51, 13.77 W
2026/09/15 19:59:35.505, 2411 MHz, 0x0000000000000000, 51, 13.76 W
2026/09/15 19:59:36.505, 2418 MHz, 0x0000000000000000, 51, 13.63 W
2026/09/15 19:59:37.506, 2411 MHz, 0x0000000000000000, 51, 13.61 W
2026/09/15 19:59:38.507, 2411 MHz, 0x0000000000000000, 51, 13.72 W
2026/09/15 19:59:39.508, 2411 MHz, 0x0000000000000000, 51, 13.72 W
2026/09/15 19:59:40.508, 2411 MHz, 0x0000000000000000, 51, 13.96 W
2026/09/15 19:59:41.508, 2418 MHz, 0x0000000000000000, 51, 13.87 W
2026/09/15 19:59:42.508, 2418 MHz, 0x0000000000000000, 51, 13.71 W
2026/09/15 19:59:43.509, 2411 MHz, 0x0000000000000000, 51, 13.71 W
2026/09/15 19:59:44.509, 2444 MHz, 0x0000000000000000, 51, 14.27 W
2026/09/15 19:59:45.510, 2457 MHz, 0x0000000000000000, 52, 17.27 W
2026/09/15 19:59:46.510, 2522 MHz, 0x0000000000000000, 53, 22.21 W
2026/09/15 19:59:47.510, 2457 MHz, 0x0000000000000000, 53, 20.95 W
2026/09/15 19:59:48.511, 2522 MHz, 0x0000000000000000, 53, 20.84 W
2026/09/15 19:59:49.511, 2496 MHz, 0x0000000000000000, 54, 22.26 W
2026/09/15 19:59:50.511, 2502 MHz, 0x0000000000000000, 54, 22.41 W
2026/09/15 19:59:51.511, 2457 MHz, 0x0000000000000000, 54, 20.26 W
2026/09/15 19:59:52.511, 2424 MHz, 0x0000000000000000, 54, 19.72 W
2026/09/15 19:59:53.511, 2502 MHz, 0x0000000000000000, 55, 20.13 W
2026/09/15 19:59:54.511, 2424 MHz, 0x0000000000000000, 54, 20.18 W
2026/09/15 19:59:55.512, 2457 MHz, 0x0000000000000000, 54, 17.31 W
2026/09/15 19:59:56.512, 2437 MHz, 0x0000000000000000, 54, 16.46 W
2026/09/15 19:59:57.512, 2431 MHz, 0x0000000000000000, 54, 16.86 W
2026/09/15 19:59:58.512, 2444 MHz, 0x0000000000000000, 55, 17.20 W
2026/09/15 19:59:59.512, 2450 MHz, 0x0000000000000000, 55, 16.98 W
2026/09/15 20:00:00.512, 2437 MHz, 0x0000000000000000, 55, 17.15 W
2026/09/15 20:00:01.513, 2411 MHz, 0x0000000000000000, 55, 16.69 W
2026/09/15 20:00:02.513, 2437 MHz, 0x0000000000000000, 55, 17.59 W
2026/09/15 20:00:03.513, 2437 MHz, 0x0000000000000000, 55, 16.89 W
2026/09/15 20:00:04.514, 2444 MHz, 0x0000000000000000, 55, 16.13 W
2026/09/15 20:00:05.514, 2437 MHz, 0x0000000000000000, 55, 16.79 W
2026/09/15 20:00:06.514, 2431 MHz, 0x0000000000000000, 55, 16.71 W
2026/09/15 20:00:07.514, 2450 MHz, 0x0000000000000000, 55, 16.70 W
2026/09/15 20:00:08.514, 2437 MHz, 0x0000000000000000, 55, 16.97 W
2026/09/15 20:00:09.514, 2411 MHz, 0x0000000000000000, 55, 17.12 W
2026/09/15 20:00:10.515, 2450 MHz, 0x0000000000000000, 56, 18.34 W
2026/09/15 20:00:11.515, 2437 MHz, 0x0000000000000000, 56, 17.66 W
2026/09/15 20:00:12.515, 2431 MHz, 0x0000000000000000, 56, 17.12 W
2026/09/15 20:00:13.515, 2457 MHz, 0x0000000000000000, 56, 18.20 W
2026/09/15 20:00:14.515, 2444 MHz, 0x0000000000000000, 56, 17.65 W
2026/09/15 20:00:15.515, 2424 MHz, 0x0000000000000000, 56, 17.41 W
2026/09/15 20:00:16.516, 2444 MHz, 0x0000000000000000, 56, 18.22 W
2026/09/15 20:00:17.516, 2457 MHz, 0x0000000000000000, 56, 18.45 W
2026/09/15 20:00:18.516, 2457 MHz, 0x0000000000000000, 56, 18.06 W
2026/09/15 20:00:19.516, 2450 MHz, 0x0000000000000000, 56, 18.51 W
2026/09/15 20:00:20.516, 2457 MHz, 0x0000000000000000, 57, 18.59 W
2026/09/15 20:00:21.517, 2463 MHz, 0x0000000000000000, 56, 17.91 W
2026/09/15 20:00:22.517, 2450 MHz, 0x0000000000000000, 57, 18.30 W
2026/09/15 20:00:23.517, 2437 MHz, 0x0000000000000000, 56, 17.81 W
2026/09/15 20:00:24.517, 2450 MHz, 0x0000000000000000, 57, 17.29 W
2026/09/15 20:00:25.517, 2444 MHz, 0x0000000000000000, 57, 17.45 W
2026/09/15 20:00:26.517, 2411 MHz, 0x0000000000000000, 56, 17.23 W
2026/09/15 20:00:27.518, 2437 MHz, 0x0000000000000000, 57, 18.26 W
2026/09/15 20:00:28.518, 2431 MHz, 0x0000000000000000, 57, 17.01 W
2026/09/15 20:00:29.518, 2444 MHz, 0x0000000000000000, 57, 16.59 W
2026/09/15 20:00:30.518, 2437 MHz, 0x0000000000000000, 57, 16.84 W
2026/09/15 20:00:31.519, 2437 MHz, 0x0000000000000000, 57, 17.56 W
2026/09/15 20:00:32.519, 2431 MHz, 0x0000000000000000, 57, 17.24 W
2026/09/15 20:00:33.519, 2450 MHz, 0x0000000000000000, 57, 18.89 W
2026/09/15 20:00:34.519, 2437 MHz, 0x0000000000000000, 57, 17.24 W
2026/09/15 20:00:35.519, 2437 MHz, 0x0000000000000000, 57, 17.35 W
2026/09/15 20:00:36.520, 2405 MHz, 0x0000000000000000, 57, 15.40 W
2026/09/15 20:00:37.520, 2405 MHz, 0x0000000000000000, 57, 15.42 W
2026/09/15 20:00:38.520, 2405 MHz, 0x0000000000000000, 57, 15.33 W
2026/09/15 20:00:39.521, 2405 MHz, 0x0000000000000000, 57, 19.41 W
2026/09/15 20:00:40.521, 2470 MHz, 0x0000000000000000, 57, 17.29 W
2026/09/15 20:00:41.521, 2489 MHz, 0x0000000000000000, 59, 23.75 W
2026/09/15 20:00:42.521, 2405 MHz, 0x0000000000000000, 56, 17.12 W
2026/09/15 20:00:43.522, 2405 MHz, 0x0000000000000000, 56, 14.55 W
2026/09/15 20:00:44.522, 2405 MHz, 0x0000000000000000, 56, 14.51 W
2026/09/15 20:00:45.522, 2405 MHz, 0x0000000000000000, 56, 14.47 W
2026/09/15 20:00:46.523, 2405 MHz, 0x0000000000000000, 56, 14.42 W
2026/09/15 20:00:47.523, 2405 MHz, 0x0000000000000000, 56, 14.41 W
2026/09/15 20:00:48.524, 2405 MHz, 0x0000000000000000, 55, 14.55 W
2026/09/15 20:00:49.524, 2418 MHz, 0x0000000000000000, 68, 53.64 W
2026/09/15 20:00:50.525, 2353 MHz, 0x0000000000000000, 67, 91.52 W
2026/09/15 20:00:51.525, 2359 MHz, 0x0000000000000000, 71, 94.25 W
2026/09/15 20:00:52.526, 2392 MHz, 0x0000000000000000, 71, 92.03 W
2026/09/15 20:00:53.526, 2379 MHz, 0x0000000000000000, 66, 91.76 W
2026/09/15 20:00:54.526, 2301 MHz, 0x0000000000000000, 72, 89.80 W
2026/09/15 20:00:55.527, 2366 MHz, 0x0000000000000000, 74, 92.37 W
2026/09/15 20:00:56.527, 2359 MHz, 0x0000000000000000, 73, 90.25 W
2026/09/15 20:00:57.528, 2353 MHz, 0x0000000000000000, 69, 89.77 W
2026/09/15 20:00:58.528, 2340 MHz, 0x0000000000000000, 74, 94.93 W
2026/09/15 20:00:59.529, 2405 MHz, 0x0000000000000000, 61, 49.72 W
2026/09/15 20:01:00.529, 2502 MHz, 0x0000000000000000, 61, 19.39 W
2026/09/15 20:01:01.529, 2418 MHz, 0x0000000000000000, 62, 22.05 W
2026/09/15 20:01:02.529, 2450 MHz, 0x0000000000000000, 66, 53.76 W
2026/09/15 20:01:03.530, 2502 MHz, 0x0000000000000000, 61, 24.15 W
2026/09/15 20:01:04.530, 2502 MHz, 0x0000000000000000, 61, 22.64 W
2026/09/15 20:01:05.530, 2502 MHz, 0x0000000000000000, 61, 22.59 W
2026/09/15 20:01:06.530, 2502 MHz, 0x0000000000000000, 61, 22.64 W
2026/09/15 20:01:07.530, 2502 MHz, 0x0000000000000000, 60, 22.60 W
2026/09/15 20:01:08.531, 2502 MHz, 0x0000000000000000, 60, 22.55 W
2026/09/15 20:01:09.531, 2502 MHz, 0x0000000000000000, 60, 22.51 W
2026/09/15 20:01:10.531, 2502 MHz, 0x0000000000000000, 60, 22.49 W
2026/09/15 20:01:11.531, 2502 MHz, 0x0000000000000000, 60, 22.41 W
2026/09/15 20:01:12.531, 2502 MHz, 0x0000000000000000, 60, 22.43 W
2026/09/15 20:01:13.532, 2502 MHz, 0x0000000000000000, 60, 22.37 W
2026/09/15 20:01:14.532, 2502 MHz, 0x0000000000000000, 60, 22.37 W
2026/09/15 20:01:15.532, 2502 MHz, 0x0000000000000000, 60, 22.39 W
2026/09/15 20:01:16.532, 2502 MHz, 0x0000000000000000, 60, 22.32 W
2026/09/15 20:01:17.533, 2502 MHz, 0x0000000000000000, 59, 22.29 W
2026/09/15 20:01:18.533, 2502 MHz, 0x0000000000000000, 59, 22.27 W
2026/09/15 20:01:19.533, 2502 MHz, 0x0000000000000000, 59, 22.20 W
2026/09/15 20:01:20.533, 2502 MHz, 0x0000000000000000, 59, 22.18 W
2026/09/15 20:01:21.534, 2502 MHz, 0x0000000000000000, 59, 22.22 W
2026/09/15 20:01:22.534, 2502 MHz, 0x0000000000000000, 59, 22.20 W
2026/09/15 20:01:23.534, 2502 MHz, 0x0000000000000000, 59, 22.24 W
2026/09/15 20:01:24.534, 2502 MHz, 0x0000000000000000, 59, 22.23 W
2026/09/15 20:01:25.534, 2502 MHz, 0x0000000000000000, 59, 22.19 W
2026/09/15 20:01:26.535, 2502 MHz, 0x0000000000000000, 59, 22.14 W
2026/09/15 20:01:27.535, 2502 MHz, 0x0000000000000000, 59, 22.15 W
2026/09/15 20:01:28.535, 2502 MHz, 0x0000000000000000, 59, 22.15 W
2026/09/15 20:01:29.535, 2502 MHz, 0x0000000000000000, 59, 22.21 W
2026/09/15 20:01:30.535, 2502 MHz, 0x0000000000000000, 59, 22.14 W
2026/09/15 20:01:31.535, 2502 MHz, 0x0000000000000000, 59, 22.14 W
2026/09/15 20:01:32.536, 2502 MHz, 0x0000000000000000, 59, 22.16 W
2026/09/15 20:01:33.536, 2502 MHz, 0x0000000000000000, 59, 22.15 W
2026/09/15 20:01:34.536, 2502 MHz, 0x0000000000000000, 59, 22.11 W
2026/09/15 20:01:35.536, 2502 MHz, 0x0000000000000000, 59, 22.05 W
2026/09/15 20:01:36.536, 2502 MHz, 0x0000000000000000, 59, 22.06 W
2026/09/15 20:01:37.537, 2502 MHz, 0x0000000000000000, 59, 22.07 W
2026/09/15 20:01:38.537, 2502 MHz, 0x0000000000000000, 59, 22.04 W
2026/09/15 20:01:39.537, 2502 MHz, 0x0000000000000000, 59, 22.07 W
2026/09/15 20:01:40.537, 2502 MHz, 0x0000000000000000, 59, 22.08 W
2026/09/15 20:01:41.537, 2502 MHz, 0x0000000000000000, 59, 22.06 W
2026/09/15 20:01:42.537, 2502 MHz, 0x0000000000000000, 58, 22.02 W
2026/09/15 20:01:43.538, 2502 MHz, 0x0000000000000000, 58, 22.04 W
2026/09/15 20:01:44.538, 2502 MHz, 0x0000000000000000, 58, 22.05 W
2026/09/15 20:01:45.538, 2502 MHz, 0x0000000000000000, 58, 22.05 W
2026/09/15 20:01:46.538, 2502 MHz, 0x0000000000000000, 58, 22.02 W
2026/09/15 20:01:47.538, 2502 MHz, 0x0000000000000000, 58, 22.07 W
2026/09/15 20:01:48.539, 2502 MHz, 0x0000000000000000, 58, 22.03 W
2026/09/15 20:01:49.539, 2502 MHz, 0x0000000000000000, 58, 22.03 W
2026/09/15 20:01:50.539, 2502 MHz, 0x0000000000000000, 58, 22.03 W
2026/09/15 20:01:51.539, 2502 MHz, 0x0000000000000000, 58, 22.01 W
2026/09/15 20:01:52.539, 2502 MHz, 0x0000000000000000, 58, 21.99 W
2026/09/15 20:01:53.539, 2502 MHz, 0x0000000000000000, 58, 21.98 W
2026/09/15 20:01:54.540, 2502 MHz, 0x0000000000000000, 58, 21.98 W
2026/09/15 20:01:55.540, 2502 MHz, 0x0000000000000000, 58, 21.98 W
2026/09/15 20:01:56.540, 2502 MHz, 0x0000000000000000, 58, 22.01 W
2026/09/15 20:01:57.540, 2502 MHz, 0x0000000000000000, 58, 22.00 W
2026/09/15 20:01:58.541, 2502 MHz, 0x0000000000000000, 58, 21.96 W
2026/09/15 20:01:59.541, 2502 MHz, 0x0000000000000000, 58, 21.99 W
2026/09/15 20:02:00.541, 2502 MHz, 0x0000000000000000, 58, 22.01 W
2026/09/15 20:02:01.541, 2502 MHz, 0x0000000000000000, 58, 21.98 W
