timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 19:58:35.490, 2398 MHz, 0x0000000000000000, 52, 11.28 W
2026/09/15 19:58:36.499, 2398 MHz, 0x0000000000000000, 52, 11.20 W
2026/09/15 19:58:37.500, 2398 MHz, 0x0000000000000000, 52, 11.16 W
2026/09/15 19:58:38.501, 2398 MHz, 0x0000000000000000, 52, 11.16 W
2026/09/15 19:58:39.502, 2398 MHz, 0x0000000000000000, 52, 11.16 W
2026/09/15 19:58:40.502, 2398 MHz, 0x0000000000000000, 51, 11.16 W
2026/09/15 19:58:41.502, 2398 MHz, 0x0000000000000000, 51, 11.17 W
2026/09/15 19:58:42.503, 2398 MHz, 0x0000000000000000, 51, 11.15 W
2026/09/15 19:58:43.504, 2398 MHz, 0x0000000000000000, 51, 11.15 W
2026/09/15 19:58:44.504, 2398 MHz, 0x0000000000000000, 51, 11.16 W
2026/09/15 19:58:45.505, 2398 MHz, 0x0000000000000000, 51, 11.33 W
2026/09/15 19:58:46.505, 2398 MHz, 0x0000000000000000, 51, 11.24 W
2026/09/15 19:58:47.505, 2398 MHz, 0x0000000000000000, 52, 12.52 W
2026/09/15 19:58:48.505, 2398 MHz, 0x0000000000000000, 51, 11.80 W
2026/09/15 19:58:49.506, 656 MHz, 0x0000000000000000, 51, 9.17 W
2026/09/15 19:58:50.507, 208 MHz, 0x0000000000000000, 50, 4.37 W
2026/09/15 19:58:51.507, 208 MHz, 0x0000000000000000, 50, 4.28 W
2026/09/15 19:58:52.508, 208 MHz, 0x0000000000000000, 50, 4.28 W
2026/09/15 19:58:53.509, 208 MHz, 0x0000000000000000, 50, 3.61 W
2026/09/15 19:58:54.509, 208 MHz, 0x0000000000000004, 50, 3.53 W
2026/09/15 19:58:55.510, 208 MHz, 0x0000000000000004, 50, 3.57 W
2026/09/15 19:58:56.510, 2398 MHz, 0x0000000000000000, 51, 6.55 W
2026/09/15 19:58:57.511, 2398 MHz, 0x0000000000000000, 51, 11.15 W
2026/09/15 19:58:58.511, 676 MHz, 0x0000000000000000, 50, 9.22 W
2026/09/15 19:58:59.512, 208 MHz, 0x0000000000000000, 50, 4.47 W
2026/09/15 19:59:00.512, 208 MHz, 0x0000000000000000, 50, 4.44 W
2026/09/15 19:59:01.512, 208 MHz, 0x0000000000000000, 50, 4.44 W
2026/09/15 19:59:02.512, 208 MHz, 0x0000000000000000, 50, 3.78 W
2026/09/15 19:59:03.513, 208 MHz, 0x0000000000000000, 50, 3.82 W
2026/09/15 19:59:04.514, 208 MHz, 0x0000000000000000, 50, 3.73 W
2026/09/15 19:59:05.514, 208 MHz, 0x0000000000000000, 50, 3.73 W
2026/09/15 19:59:06.515, 208 MHz, 0x0000000000000000, 50, 3.67 W
2026/09/15 19:59:07.516, 208 MHz, 0x0000000000000004, 50, 3.68 W
2026/09/15 19:59:08.516, 208 MHz, 0x0000000000000000, 49, 3.67 W
2026/09/15 19:59:09.517, 208 MHz, 0x0000000000000004, 49, 3.75 W
2026/09/15 19:59:10.517, 208 MHz, 0x0000000000000000, 49, 3.92 W
2026/09/15 19:59:11.517, 208 MHz, 0x0000000000000004, 50, 3.88 W
2026/09/15 19:59:12.518, 208 MHz, 0x0000000000000000, 50, 3.82 W
2026/09/15 19:59:13.518, 214 MHz, 0x0000000000000000, 50, 3.79 W
2026/09/15 19:59:14.519, 208 MHz, 0x0000000000000004, 49, 3.85 W
2026/09/15 19:59:15.519, 208 MHz, 0x0000000000000000, 50, 3.82 W
2026/09/15 19:59:16.519, 208 MHz, 0x0000000000000004, 50, 3.90 W
2026/09/15 19:59:17.520, 208 MHz, 0x0000000000000000, 50, 3.94 W
2026/09/15 19:59:18.521, 208 MHz, 0x0000000000000004, 50, 3.56 W
2026/09/15 19:59:19.521, 208 MHz, 0x0000000000000000, 50, 3.53 W
2026/09/15 19:59:20.521, 208 MHz, 0x0000000000000004, 49, 3.54 W
