timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 19:55:01.902, 2411 MHz, 0x0000000000000000, 50, 13.33 W
2026/09/15 19:55:02.910, 2411 MHz, 0x0000000000000000, 50, 13.38 W
2026/09/15 19:55:03.911, 2411 MHz, 0x0000000000000000, 50, 13.38 W
2026/09/15 19:55:04.911, 2411 MHz, 0x0000000000000000, 50, 13.42 W
2026/09/15 19:55:05.911, 2411 MHz, 0x0000000000000000, 50, 13.35 W
2026/09/15 19:55:06.912, 2411 MHz, 0x0000000000000000, 50, 13.39 W
2026/09/15 19:55:07.912, 2411 MHz, 0x0000000000000000, 50, 13.37 W
2026/09/15 19:55:08.913, 2411 MHz, 0x0000000000000000, 50, 13.36 W
2026/09/15 19:55:09.913, 2411 MHz, 0x0000000000000000, 50, 13.34 W
2026/09/15 19:55:10.914, 2411 MHz, 0x0000000000000000, 50, 13.29 W
2026/09/15 19:55:11.914, 2411 MHz, 0x0000000000000000, 50, 13.23 W
2026/09/15 19:55:12.915, 2411 MHz, 0x0000000000000000, 50, 13.26 W
2026/09/15 19:55:13.915, 2411 MHz, 0x0000000000000000, 50, 13.33 W
2026/09/15 19:55:14.915, 2411 MHz, 0x0000000000000000, 50, 13.36 W
2026/09/15 19:55:15.916, 2411 MHz, 0x0000000000000000, 50, 13.34 W
2026/09/15 19:55:16.916, 2411 MHz, 0x0000000000000000, 50, 13.36 W
2026/09/15 19:55:17.916, 2411 MHz, 0x0000000000000000, 50, 13.45 W
2026/09/15 19:55:18.917, 2411 MHz, 0x0000000000000000, 50, 13.35 W
2026/09/15 19:55:19.917, 2411 MHz, 0x0000000000000000, 51, 14.31 W
2026/09/15 19:55:20.917, 2411 MHz, 0x0000000000000000, 51, 14.07 W
2026/09/15 19:55:21.917, 2411 MHz, 0x0000000000000000, 50, 13.50 W
2026/09/15 19:55:22.917, 214 MHz, 0x0000000000000000, 50, 9.05 W
2026/09/15 19:55:23.917, 208 MHz, 0x0000000000000000, 50, 6.16 W
2026/09/15 19:55:24.918, 208 MHz, 0x0000000000000000, 50, 6.15 W
2026/09/15 19:55:25.918, 208 MHz, 0x0000000000000000, 49, 5.83 W
2026/09/15 19:55:26.918, 208 MHz, 0x0000000000000004, 49, 5.64 W
2026/09/15 19:55:27.918, 208 MHz, 0x0000000000000000, 49, 5.46 W
2026/09/15 19:55:28.919, 208 MHz, 0x0000000000000004, 49, 5.44 W
2026/09/15 19:55:29.919, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/15 19:55:30.919, 208 MHz, 0x0000000000000004, 49, 5.42 W
2026/09/15 19:55:31.919, 208 MHz, 0x0000000000000000, 49, 5.47 W
2026/09/15 19:55:32.920, 208 MHz, 0x0000000000000004, 49, 5.43 W
2026/09/15 19:55:33.920, 208 MHz, 0x0000000000000000, 49, 5.40 W
2026/09/15 19:55:34.920, 214 MHz, 0x0000000000000000, 49, 5.49 W
2026/09/15 19:55:35.920, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/15 19:55:36.920, 208 MHz, 0x0000000000000000, 49, 5.48 W
2026/09/15 19:55:37.920, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/15 19:55:38.921, 208 MHz, 0x0000000000000004, 49, 5.43 W
2026/09/15 19:55:39.921, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/15 19:55:40.921, 208 MHz, 0x0000000000000004, 49, 5.44 W
2026/09/15 19:55:41.922, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/15 19:55:42.922, 208 MHz, 0x0000000000000004, 49, 5.45 W
2026/09/15 19:55:43.923, 208 MHz, 0x0000000000000000, 49, 5.44 W
2026/09/15 19:55:44.923, 208 MHz, 0x0000000000000004, 49, 5.46 W
2026/09/15 19:55:45.923, 208 MHz, 0x0000000000000000, 49, 5.41 W
2026/09/15 19:55:46.924, 208 MHz, 0x0000000000000004, 49, 5.45 W
2026/09/15 19:55:47.924, 208 MHz, 0x0000000000000000, 49, 5.47 W
2026/09/15 19:55:48.924, 208 MHz, 0x0000000000000004, 49, 5.46 W
2026/09/15 19:55:49.925, 208 MHz, 0x0000000000000000, 50, 5.50 W
2026/09/15 19:55:50.925, 208 MHz, 0x0000000000000004, 50, 5.45 W
