timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 19:55:01.912, 2398 MHz, 0x0000000000000000, 49, 10.78 W
2026/09/15 19:55:02.923, 2398 MHz, 0x0000000000000000, 49, 10.70 W
2026/09/15 19:55:03.924, 2398 MHz, 0x0000000000000000, 49, 10.69 W
2026/09/15 19:55:04.925, 2398 MHz, 0x0000000000000000, 49, 10.67 W
2026/09/15 19:55:05.926, 2398 MHz, 0x0000000000000000, 49, 10.68 W
2026/09/15 19:55:06.926, 2398 MHz, 0x0000000000000000, 49, 10.70 W
2026/09/15 19:55:07.926, 2398 MHz, 0x0000000000000000, 49, 10.72 W
2026/09/15 19:55:08.927, 2398 MHz, 0x0000000000000000, 49, 10.68 W
2026/09/15 19:55:09.928, 2398 MHz, 0x0000000000000000, 49, 10.65 W
2026/09/15 19:55:10.928, 2398 MHz, 0x0000000000000000, 49, 10.67 W
2026/09/15 19:55:11.928, 2398 MHz, 0x0000000000000000, 49, 10.86 W
2026/09/15 19:55:12.928, 2398 MHz, 0x0000000000000000, 49, 10.83 W
2026/09/15 19:55:13.929, 2398 MHz, 0x0000000000000000, 49, 11.98 W
2026/09/15 19:55:14.929, 2398 MHz, 0x0000000000000000, 49, 11.30 W
2026/09/15 19:55:15.930, 2398 MHz, 0x0000000000000000, 49, 10.85 W
2026/09/15 19:55:16.930, 208 MHz, 0x0000000000000000, 48, 5.56 W
2026/09/15 19:55:17.931, 208 MHz, 0x0000000000000000, 48, 4.10 W
2026/09/15 19:55:18.932, 208 MHz, 0x0000000000000000, 48, 4.10 W
2026/09/15 19:55:19.932, 208 MHz, 0x0000000000000000, 48, 3.48 W
2026/09/15 19:55:20.932, 208 MHz, 0x0000000000000004, 47, 3.42 W
2026/09/15 19:55:21.932, 208 MHz, 0x0000000000000000, 47, 3.50 W
2026/09/15 19:55:22.933, 208 MHz, 0x0000000000000004, 47, 3.44 W
2026/09/15 19:55:23.934, 208 MHz, 0x0000000000000000, 47, 3.41 W
2026/09/15 19:55:24.934, 201 MHz, 0x0000000000000004, 47, 3.42 W
2026/09/15 19:55:25.935, 208 MHz, 0x0000000000000000, 47, 3.52 W
2026/09/15 19:55:26.935, 208 MHz, 0x0000000000000004, 47, 3.54 W
2026/09/15 19:55:27.936, 208 MHz, 0x0000000000000000, 47, 3.69 W
2026/09/15 19:55:28.936, 214 MHz, 0x0000000000000000, 47, 3.67 W
2026/09/15 19:55:29.937, 208 MHz, 0x0000000000000004, 47, 3.56 W
2026/09/15 19:55:30.937, 208 MHz, 0x0000000000000000, 47, 3.60 W
2026/09/15 19:55:31.937, 214 MHz, 0x0000000000000000, 47, 3.61 W
2026/09/15 19:55:32.937, 208 MHz, 0x0000000000000004, 47, 3.64 W
2026/09/15 19:55:33.937, 208 MHz, 0x0000000000000000, 47, 3.77 W
2026/09/15 19:55:34.938, 208 MHz, 0x0000000000000000, 47, 3.67 W
2026/09/15 19:55:35.938, 208 MHz, 0x0000000000000000, 47, 3.59 W
2026/09/15 19:55:36.938, 208 MHz, 0x0000000000000004, 47, 3.58 W
2026/09/15 19:55:37.939, 208 MHz, 0x0000000000000000, 47, 3.78 W
2026/09/15 19:55:38.939, 208 MHz, 0x0000000000000004, 47, 3.75 W
2026/09/15 19:55:39.940, 208 MHz, 0x0000000000000000, 47, 3.72 W
2026/09/15 19:55:40.941, 214 MHz, 0x0000000000000000, 47, 3.70 W
2026/09/15 19:55:41.941, 208 MHz, 0x0000000000000004, 47, 3.76 W
2026/09/15 19:55:42.941, 208 MHz, 0x0000000000000000, 47, 3.73 W
2026/09/15 19:55:43.942, 208 MHz, 0x0000000000000004, 47, 3.72 W
2026/09/15 19:55:44.942, 208 MHz, 0x0000000000000000, 48, 3.75 W
2026/09/15 19:55:45.943, 214 MHz, 0x0000000000000000, 47, 3.61 W
2026/09/15 19:55:46.943, 208 MHz, 0x0000000000000004, 47, 3.41 W
2026/09/15 19:55:47.944, 208 MHz, 0x0000000000000000, 47, 3.41 W
2026/09/15 19:55:48.945, 208 MHz, 0x0000000000000004, 47, 3.40 W
2026/09/15 19:55:49.946, 208 MHz, 0x0000000000000000, 47, 3.44 W
2026/09/15 19:55:50.946, 208 MHz, 0x0000000000000004, 47, 3.44 W
2026/09/15 19:55:51.947, 208 MHz, 0x0000000000000000, 47, 3.40 W
2026/09/15 19:55:52.947, 208 MHz, 0x0000000000000004, 47, 3.40 W
2026/09/15 19:55:53.948, 208 MHz, 0x0000000000000000, 47, 3.42 W
2026/09/15 19:55:54.949, 208 MHz, 0x0000000000000004, 47, 3.42 W
2026/09/15 19:55:55.950, 208 MHz, 0x0000000000000000, 47, 3.42 W
2026/09/15 19:55:56.950, 208 MHz, 0x0000000000000004, 47, 3.41 W
2026/09/15 19:55:57.951, 208 MHz, 0x0000000000000000, 47, 3.53 W
2026/09/15 19:55:58.951, 208 MHz, 0x0000000000000000, 47, 3.41 W
2026/09/15 19:55:59.952, 208 MHz, 0x0000000000000004, 47, 3.40 W
2026/09/15 19:56:00.953, 208 MHz, 0x0000000000000000, 47, 3.46 W
2026/09/15 19:56:01.953, 208 MHz, 0x0000000000000004, 47, 3.45 W
2026/09/15 19:56:02.954, 208 MHz, 0x0000000000000000, 48, 7.82 W
2026/09/15 19:56:03.954, 2405 MHz, 0x0000000000000000, 48, 10.89 W
2026/09/15 19:56:04.954, 2405 MHz, 0x0000000000000000, 48, 11.07 W
2026/09/15 19:56:05.955, 2405 MHz, 0x0000000000000000, 48, 10.97 W
2026/09/15 19:56:06.955, 2398 MHz, 0x0000000000000000, 48, 11.05 W
2026/09/15 19:56:07.955, 2411 MHz, 0x0000000000000000, 48, 11.41 W
2026/09/15 19:56:08.956, 2411 MHz, 0x0000000000000000, 49, 11.33 W
2026/09/15 19:56:09.956, 2418 MHz, 0x0000000000000000, 49, 11.23 W
2026/09/15 19:56:10.957, 2405 MHz, 0x0000000000000000, 49, 11.03 W
2026/09/15 19:56:11.957, 2483 MHz, 0x0000000000000000, 50, 12.81 W
2026/09/15 19:56:12.957, 2463 MHz, 0x0000000000000000, 50, 15.77 W
2026/09/15 19:56:13.957, 2541 MHz, 0x0000000000000000, 51, 17.67 W
2026/09/15 19:56:14.957, 2470 MHz, 0x0000000000000000, 51, 17.59 W
2026/09/15 19:56:15.958, 2424 MHz, 0x0000000000000000, 50, 14.95 W
2026/09/15 19:56:16.958, 2444 MHz, 0x0000000000000000, 51, 13.49 W
2026/09/15 19:56:17.958, 2431 MHz, 0x0000000000000000, 51, 13.79 W
2026/09/15 19:56:18.959, 2522 MHz, 0x0000000000000000, 52, 16.98 W
2026/09/15 19:56:19.959, 2541 MHz, 0x0000000000000000, 52, 18.38 W
2026/09/15 19:56:20.959, 2489 MHz, 0x0000000000000000, 53, 20.35 W
2026/09/15 19:56:21.959, 2528 MHz, 0x0000000000000000, 53, 18.71 W
2026/09/15 19:56:22.960, 2431 MHz, 0x0000000000000000, 52, 15.58 W
2026/09/15 19:56:23.960, 2470 MHz, 0x0000000000000000, 52, 15.39 W
2026/09/15 19:56:24.960, 2463 MHz, 0x0000000000000000, 52, 14.36 W
2026/09/15 19:56:25.961, 2463 MHz, 0x0000000000000000, 53, 15.60 W
2026/09/15 19:56:26.961, 2450 MHz, 0x0000000000000000, 53, 14.62 W
2026/09/15 19:56:27.961, 2463 MHz, 0x0000000000000000, 53, 14.42 W
2026/09/15 19:56:28.962, 2444 MHz, 0x0000000000000000, 53, 14.13 W
2026/09/15 19:56:29.962, 2437 MHz, 0x0000000000000000, 53, 14.04 W
2026/09/15 19:56:30.963, 2457 MHz, 0x0000000000000000, 53, 14.02 W
2026/09/15 19:56:31.963, 2444 MHz, 0x0000000000000000, 53, 14.71 W
2026/09/15 19:56:32.963, 2463 MHz, 0x0000000000000000, 53, 14.73 W
2026/09/15 19:56:33.963, 2444 MHz, 0x0000000000000000, 53, 15.04 W
2026/09/15 19:56:34.964, 2444 MHz, 0x0000000000000000, 53, 14.76 W
2026/09/15 19:56:35.964, 2450 MHz, 0x0000000000000000, 54, 15.03 W
2026/09/15 19:56:36.964, 2450 MHz, 0x0000000000000000, 54, 15.27 W
2026/09/15 19:56:37.965, 2470 MHz, 0x0000000000000000, 54, 15.73 W
2026/09/15 19:56:38.965, 2457 MHz, 0x0000000000000000, 54, 16.60 W
2026/09/15 19:56:39.965, 2457 MHz, 0x0000000000000000, 54, 16.43 W
2026/09/15 19:56:40.965, 2483 MHz, 0x0000000000000000, 54, 15.69 W
2026/09/15 19:56:41.966, 2450 MHz, 0x0000000000000000, 54, 16.22 W
2026/09/15 19:56:42.966, 2457 MHz, 0x0000000000000000, 54, 16.11 W
2026/09/15 19:56:43.966, 2470 MHz, 0x0000000000000000, 55, 15.98 W
2026/09/15 19:56:44.966, 2450 MHz, 0x0000000000000000, 55, 16.18 W
2026/09/15 19:56:45.967, 2437 MHz, 0x0000000000000000, 55, 15.73 W
2026/09/15 19:56:46.967, 2457 MHz, 0x0000000000000000, 55, 16.44 W
2026/09/15 19:56:47.967, 2463 MHz, 0x0000000000000000, 55, 16.58 W
2026/09/15 19:56:48.967, 2411 MHz, 0x0000000000000000, 55, 15.66 W
2026/09/15 19:56:49.968, 2457 MHz, 0x0000000000000000, 55, 16.59 W
2026/09/15 19:56:50.968, 2450 MHz, 0x0000000000000000, 55, 16.30 W
2026/09/15 19:56:51.969, 2470 MHz, 0x0000000000000000, 55, 15.11 W
2026/09/15 19:56:52.969, 2437 MHz, 0x0000000000000000, 55, 15.16 W
2026/09/15 19:56:53.969, 2424 MHz, 0x0000000000000000, 55, 14.74 W
2026/09/15 19:56:54.970, 2444 MHz, 0x0000000000000000, 56, 16.50 W
2026/09/15 19:56:55.970, 2444 MHz, 0x0000000000000000, 56, 15.13 W
