timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:52:52.975, 2476 MHz, 0x0000000000000000, 56, 18.85 W
2026/09/15 15:52:53.989, 2411 MHz, 0x0000000000000000, 53, 16.66 W
2026/09/15 15:52:54.989, 2509 MHz, 0x0000000000000000, 61, 35.46 W
2026/09/15 15:52:55.990, 2509 MHz, 0x0000000000000000, 61, 45.19 W
2026/09/15 15:52:56.990, 2509 MHz, 0x0000000000000000, 56, 40.44 W
2026/09/15 15:52:57.991, 2411 MHz, 0x0000000000000000, 60, 16.55 W
2026/09/15 15:52:58.991, 2489 MHz, 0x0000000000000000, 67, 63.15 W
2026/09/15 15:52:59.992, 2515 MHz, 0x0000000000000000, 59, 48.71 W
2026/09/15 15:53:00.992, 2411 MHz, 0x0000000000000000, 56, 19.10 W
2026/09/15 15:53:01.992, 2411 MHz, 0x0000000000000000, 55, 14.31 W
2026/09/15 15:53:02.993, 2411 MHz, 0x0000000000000000, 55, 14.26 W
2026/09/15 15:53:03.993, 2411 MHz, 0x0000000000000000, 55, 14.25 W
2026/09/15 15:53:04.993, 2411 MHz, 0x0000000000000000, 55, 14.21 W
2026/09/15 15:53:05.993, 2431 MHz, 0x0000000000000000, 64, 21.96 W
2026/09/15 15:53:06.994, 2483 MHz, 0x0000000000000000, 64, 69.65 W
2026/09/15 15:53:07.994, 2489 MHz, 0x0000000000000000, 62, 70.21 W
2026/09/15 15:53:08.995, 2515 MHz, 0x0000000000000000, 61, 37.73 W
2026/09/15 15:53:09.995, 2411 MHz, 0x0000000000000000, 56, 16.35 W
2026/09/15 15:53:10.995, 2515 MHz, 0x0000000000000000, 59, 29.99 W
2026/09/15 15:53:11.996, 2489 MHz, 0x0000000000000000, 65, 53.36 W
2026/09/15 15:53:12.996, 2489 MHz, 0x0000000000000000, 67, 57.48 W
2026/09/15 15:53:13.997, 2489 MHz, 0x0000000000000000, 66, 57.63 W
2026/09/15 15:53:14.997, 2463 MHz, 0x0000000000000000, 66, 33.22 W
2026/09/15 15:53:15.998, 2489 MHz, 0x0000000000000000, 65, 58.03 W
2026/09/15 15:53:16.998, 2489 MHz, 0x0000000000000000, 65, 57.97 W
2026/09/15 15:53:17.999, 2476 MHz, 0x0000000000000000, 60, 47.23 W
2026/09/15 15:53:18.999, 2483 MHz, 0x0000000000000000, 66, 28.48 W
2026/09/15 15:53:20.000, 2489 MHz, 0x0000000000000000, 66, 58.49 W
2026/09/15 15:53:21.001, 2489 MHz, 0x0000000000000000, 67, 59.99 W
2026/09/15 15:53:22.001, 2489 MHz, 0x0000000000000000, 68, 60.26 W
