timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:52:52.968, 2398 MHz, 0x0000000000000000, 51, 12.66 W
2026/09/15 15:52:53.987, 2405 MHz, 0x0000000000000000, 52, 20.34 W
2026/09/15 15:52:54.988, 2398 MHz, 0x0000000000000000, 58, 19.20 W
2026/09/15 15:52:55.988, 2457 MHz, 0x0000000000000000, 55, 45.72 W
2026/09/15 15:52:56.988, 2450 MHz, 0x0000000000000000, 56, 49.31 W
2026/09/15 15:52:57.989, 2411 MHz, 0x0000000000000000, 53, 18.89 W
2026/09/15 15:52:58.989, 2444 MHz, 0x0000000000000000, 62, 47.33 W
2026/09/15 15:52:59.990, 2450 MHz, 0x0000000000000000, 57, 59.22 W
2026/09/15 15:53:00.991, 2411 MHz, 0x0000000000000000, 54, 25.64 W
2026/09/15 15:53:01.991, 2411 MHz, 0x0000000000000000, 54, 13.67 W
2026/09/15 15:53:02.991, 2411 MHz, 0x0000000000000000, 53, 13.62 W
2026/09/15 15:53:03.992, 2411 MHz, 0x0000000000000000, 53, 13.58 W
2026/09/15 15:53:04.993, 2411 MHz, 0x0000000000000000, 53, 13.56 W
2026/09/15 15:53:05.993, 2411 MHz, 0x0000000000000000, 53, 13.52 W
2026/09/15 15:53:06.994, 2444 MHz, 0x0000000000000000, 61, 55.53 W
2026/09/15 15:53:07.995, 2444 MHz, 0x0000000000000000, 64, 72.49 W
2026/09/15 15:53:08.995, 2457 MHz, 0x0000000000000000, 58, 48.03 W
2026/09/15 15:53:09.996, 2411 MHz, 0x0000000000000000, 55, 24.08 W
2026/09/15 15:53:10.997, 2457 MHz, 0x0000000000000000, 57, 22.43 W
2026/09/15 15:53:11.997, 2450 MHz, 0x0000000000000000, 60, 44.40 W
2026/09/15 15:53:12.997, 2444 MHz, 0x0000000000000000, 62, 57.64 W
2026/09/15 15:53:13.998, 2444 MHz, 0x0000000000000000, 64, 57.49 W
2026/09/15 15:53:14.998, 2411 MHz, 0x0000000000000000, 56, 37.58 W
2026/09/15 15:53:15.999, 2444 MHz, 0x0000000000000000, 64, 53.24 W
2026/09/15 15:53:17.000, 2437 MHz, 0x0000000000000000, 65, 57.91 W
2026/09/15 15:53:18.000, 2437 MHz, 0x0000000000000000, 66, 57.76 W
2026/09/15 15:53:19.001, 2411 MHz, 0x0000000000000000, 57, 20.26 W
2026/09/15 15:53:20.001, 2437 MHz, 0x0000000000000000, 64, 56.23 W
2026/09/15 15:53:21.002, 2431 MHz, 0x0000000000000000, 64, 59.42 W
2026/09/15 15:53:22.002, 2431 MHz, 0x0000000000000000, 64, 60.00 W
