timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:52:52.973, 2405 MHz, 0x0000000000000000, 52, 13.23 W
2026/09/15 15:52:53.993, 2405 MHz, 0x0000000000000000, 52, 21.00 W
2026/09/15 15:52:54.994, 2483 MHz, 0x0000000000000000, 57, 25.70 W
2026/09/15 15:52:55.994, 2561 MHz, 0x0000000000000000, 58, 46.40 W
2026/09/15 15:52:56.995, 2561 MHz, 0x0000000000000000, 56, 49.68 W
2026/09/15 15:52:57.995, 2411 MHz, 0x0000000000000000, 53, 16.43 W
2026/09/15 15:52:58.996, 2548 MHz, 0x0000000000000000, 60, 54.98 W
2026/09/15 15:52:59.996, 2541 MHz, 0x0000000000000000, 57, 57.51 W
2026/09/15 15:53:00.997, 2411 MHz, 0x0000000000000000, 54, 24.23 W
2026/09/15 15:53:01.998, 2411 MHz, 0x0000000000000000, 54, 13.61 W
2026/09/15 15:53:02.999, 2411 MHz, 0x0000000000000000, 54, 13.56 W
2026/09/15 15:53:03.999, 2411 MHz, 0x0000000000000000, 53, 13.50 W
2026/09/15 15:53:05.000, 2411 MHz, 0x0000000000000000, 53, 13.50 W
2026/09/15 15:53:06.000, 2405 MHz, 0x0000000000000000, 53, 13.37 W
2026/09/15 15:53:07.001, 2535 MHz, 0x0000000000000000, 61, 65.81 W
2026/09/15 15:53:08.001, 2535 MHz, 0x0000000000000000, 65, 73.41 W
2026/09/15 15:53:09.002, 2561 MHz, 0x0000000000000000, 58, 46.23 W
2026/09/15 15:53:10.002, 2411 MHz, 0x0000000000000000, 55, 22.00 W
2026/09/15 15:53:11.003, 2561 MHz, 0x0000000000000000, 57, 25.91 W
2026/09/15 15:53:12.003, 2548 MHz, 0x0000000000000000, 63, 49.58 W
2026/09/15 15:53:13.004, 2528 MHz, 0x0000000000000000, 62, 59.63 W
2026/09/15 15:53:14.004, 2548 MHz, 0x0000000000000000, 62, 59.49 W
2026/09/15 15:53:15.004, 2411 MHz, 0x0000000000000000, 57, 33.99 W
2026/09/15 15:53:16.005, 2535 MHz, 0x0000000000000000, 63, 59.73 W
2026/09/15 15:53:17.005, 2535 MHz, 0x0000000000000000, 64, 59.95 W
2026/09/15 15:53:18.006, 2528 MHz, 0x0000000000000000, 61, 58.27 W
2026/09/15 15:53:19.006, 2411 MHz, 0x0000000000000000, 60, 19.27 W
2026/09/15 15:53:20.006, 2528 MHz, 0x0000000000000000, 66, 60.77 W
2026/09/15 15:53:21.006, 2528 MHz, 0x0000000000000000, 64, 61.74 W
2026/09/15 15:53:22.007, 2522 MHz, 0x0000000000000000, 64, 62.37 W
2026/09/15 15:53:23.007, 2528 MHz, 0x0000000000000000, 65, 62.19 W
2026/09/15 15:53:24.007, 2522 MHz, 0x0000000000000000, 67, 62.83 W
2026/09/15 15:53:25.008, 2528 MHz, 0x0000000000000000, 66, 63.11 W
2026/09/15 15:53:26.008, 2522 MHz, 0x0000000000000000, 66, 63.21 W
2026/09/15 15:53:27.009, 2528 MHz, 0x0000000000000000, 66, 63.03 W
2026/09/15 15:53:28.009, 2528 MHz, 0x0000000000000000, 67, 63.53 W
2026/09/15 15:53:29.010, 2528 MHz, 0x0000000000000000, 66, 63.65 W
2026/09/15 15:53:30.010, 2522 MHz, 0x0000000000000000, 67, 64.04 W
2026/09/15 15:53:31.010, 2528 MHz, 0x0000000000000000, 68, 63.99 W
2026/09/15 15:53:32.011, 2522 MHz, 0x0000000000000000, 69, 64.05 W
2026/09/15 15:53:33.011, 2528 MHz, 0x0000000000000000, 67, 64.33 W
2026/09/15 15:53:34.012, 2528 MHz, 0x0000000000000000, 71, 64.44 W
2026/09/15 15:53:35.012, 2522 MHz, 0x0000000000000000, 68, 64.54 W
2026/09/15 15:53:36.013, 2522 MHz, 0x0000000000000000, 69, 64.80 W
2026/09/15 15:53:37.013, 2515 MHz, 0x0000000000000000, 70, 65.02 W
2026/09/15 15:53:38.013, 2522 MHz, 0x0000000000000000, 70, 64.48 W
2026/09/15 15:53:39.014, 2522 MHz, 0x0000000000000000, 72, 65.31 W
2026/09/15 15:53:40.014, 2522 MHz, 0x0000000000000000, 69, 65.40 W
2026/09/15 15:53:41.014, 2522 MHz, 0x0000000000000000, 71, 65.28 W
2026/09/15 15:53:42.015, 2515 MHz, 0x0000000000000000, 69, 65.40 W
2026/09/15 15:53:43.015, 2522 MHz, 0x0000000000000000, 71, 65.22 W
2026/09/15 15:53:44.015, 2515 MHz, 0x0000000000000000, 69, 65.74 W
2026/09/15 15:53:45.015, 2515 MHz, 0x0000000000000000, 72, 65.36 W
2026/09/15 15:53:46.016, 2515 MHz, 0x0000000000000000, 70, 65.49 W
2026/09/15 15:53:47.016, 2509 MHz, 0x0000000000000000, 70, 64.88 W
2026/09/15 15:53:48.016, 2509 MHz, 0x0000000000000000, 71, 66.32 W
2026/09/15 15:53:49.017, 2509 MHz, 0x0000000000000000, 73, 66.13 W
2026/09/15 15:53:50.017, 2509 MHz, 0x0000000000000000, 71, 66.53 W
2026/09/15 15:53:51.017, 2515 MHz, 0x0000000000000000, 74, 66.43 W
2026/09/15 15:53:52.017, 2509 MHz, 0x0000000000000000, 72, 66.50 W
2026/09/15 15:53:53.018, 2509 MHz, 0x0000000000000000, 71, 66.96 W
2026/09/15 15:53:54.018, 2502 MHz, 0x0000000000000000, 72, 66.91 W
2026/09/15 15:53:55.018, 2509 MHz, 0x0000000000000000, 75, 67.01 W
2026/09/15 15:53:56.018, 2509 MHz, 0x0000000000000000, 72, 67.06 W
2026/09/15 15:53:57.019, 2502 MHz, 0x0000000000000000, 76, 67.74 W
2026/09/15 15:53:58.019, 2509 MHz, 0x0000000000000000, 74, 67.22 W
2026/09/15 15:53:59.019, 2509 MHz, 0x0000000000000000, 75, 67.44 W
2026/09/15 15:54:00.020, 2502 MHz, 0x0000000000000000, 73, 67.34 W
2026/09/15 15:54:01.020, 2509 MHz, 0x0000000000000000, 73, 67.56 W
2026/09/15 15:54:02.020, 2509 MHz, 0x0000000000000000, 73, 66.75 W
2026/09/15 15:54:03.020, 2509 MHz, 0x0000000000000000, 76, 67.39 W
2026/09/15 15:54:04.021, 2424 MHz, 0x0000000000000000, 73, 50.88 W
2026/09/15 15:54:05.022, 2509 MHz, 0x0000000000000000, 73, 66.53 W
2026/09/15 15:54:06.022, 2535 MHz, 0x0000000000000000, 70, 47.08 W
2026/09/15 15:54:07.023, 2535 MHz, 0x0000000000000000, 70, 39.61 W
2026/09/15 15:54:08.023, 2535 MHz, 0x0000000000000000, 69, 39.54 W
2026/09/15 15:54:09.024, 2535 MHz, 0x0000000000000000, 69, 39.44 W
2026/09/15 15:54:10.024, 2535 MHz, 0x0000000000000000, 69, 39.42 W
2026/09/15 15:54:11.025, 2535 MHz, 0x0000000000000000, 69, 39.38 W
2026/09/15 15:54:12.025, 2535 MHz, 0x0000000000000000, 69, 39.40 W
2026/09/15 15:54:13.026, 2411 MHz, 0x0000000000000000, 66, 23.18 W
2026/09/15 15:54:14.027, 2411 MHz, 0x0000000000000000, 65, 16.17 W
2026/09/15 15:54:15.027, 2535 MHz, 0x0000000000000000, 68, 35.89 W
2026/09/15 15:54:16.028, 2535 MHz, 0x0000000000000000, 68, 38.21 W
2026/09/15 15:54:17.028, 2535 MHz, 0x0000000000000000, 68, 38.22 W
2026/09/15 15:54:18.028, 2535 MHz, 0x0000000000000000, 68, 38.21 W
2026/09/15 15:54:19.029, 2535 MHz, 0x0000000000000000, 68, 38.24 W
2026/09/15 15:54:20.029, 2535 MHz, 0x0000000000000000, 68, 38.21 W
2026/09/15 15:54:21.030, 2535 MHz, 0x0000000000000000, 68, 38.22 W
2026/09/15 15:54:22.030, 2535 MHz, 0x0000000000000000, 68, 38.19 W
2026/09/15 15:54:23.030, 2535 MHz, 0x0000000000000000, 68, 38.25 W
2026/09/15 15:54:24.031, 2535 MHz, 0x0000000000000000, 67, 38.25 W
2026/09/15 15:54:25.032, 2535 MHz, 0x0000000000000000, 67, 38.17 W
2026/09/15 15:54:26.032, 2535 MHz, 0x0000000000000000, 67, 38.19 W
2026/09/15 15:54:27.033, 2535 MHz, 0x0000000000000000, 67, 38.21 W
2026/09/15 15:54:28.033, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:54:29.034, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:54:30.034, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:54:31.035, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:54:32.035, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:54:33.036, 2535 MHz, 0x0000000000000000, 67, 38.14 W
2026/09/15 15:54:34.036, 2535 MHz, 0x0000000000000000, 67, 38.16 W
2026/09/15 15:54:35.037, 2535 MHz, 0x0000000000000000, 67, 38.12 W
2026/09/15 15:54:36.037, 2535 MHz, 0x0000000000000000, 67, 38.16 W
2026/09/15 15:54:37.037, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:54:38.037, 2535 MHz, 0x0000000000000000, 67, 38.17 W
2026/09/15 15:54:39.037, 2535 MHz, 0x0000000000000000, 67, 38.12 W
2026/09/15 15:54:40.037, 2535 MHz, 0x0000000000000000, 67, 38.14 W
2026/09/15 15:54:41.038, 2535 MHz, 0x0000000000000000, 67, 38.16 W
2026/09/15 15:54:42.038, 2535 MHz, 0x0000000000000000, 67, 38.19 W
2026/09/15 15:54:43.038, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:54:44.038, 2535 MHz, 0x0000000000000000, 67, 38.15 W
2026/09/15 15:54:45.038, 2535 MHz, 0x0000000000000000, 67, 38.15 W
2026/09/15 15:54:46.038, 2535 MHz, 0x0000000000000000, 67, 38.21 W
2026/09/15 15:54:47.039, 2535 MHz, 0x0000000000000000, 67, 38.15 W
2026/09/15 15:54:48.039, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:54:49.040, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:54:50.040, 2535 MHz, 0x0000000000000000, 65, 35.61 W
2026/09/15 15:54:51.041, 2411 MHz, 0x0000000000000000, 64, 15.91 W
2026/09/15 15:54:52.041, 2411 MHz, 0x0000000000000000, 63, 15.75 W
2026/09/15 15:54:53.042, 2411 MHz, 0x0000000000000000, 68, 21.29 W
2026/09/15 15:54:54.042, 2522 MHz, 0x0000000000000000, 69, 62.14 W
2026/09/15 15:54:55.042, 2522 MHz, 0x0000000000000000, 72, 63.68 W
2026/09/15 15:54:56.043, 2515 MHz, 0x0000000000000000, 70, 64.29 W
2026/09/15 15:54:57.043, 2522 MHz, 0x0000000000000000, 71, 64.35 W
2026/09/15 15:54:58.043, 2515 MHz, 0x0000000000000000, 71, 64.05 W
2026/09/15 15:54:59.043, 2411 MHz, 0x0000000000000000, 65, 34.06 W
2026/09/15 15:55:00.044, 2515 MHz, 0x0000000000000000, 70, 37.48 W
2026/09/15 15:55:01.044, 2515 MHz, 0x0000000000000000, 69, 61.42 W
2026/09/15 15:55:02.045, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:55:03.045, 2535 MHz, 0x0000000000000000, 67, 38.23 W
2026/09/15 15:55:04.045, 2535 MHz, 0x0000000000000000, 67, 38.23 W
2026/09/15 15:55:05.046, 2535 MHz, 0x0000000000000000, 67, 38.18 W
2026/09/15 15:55:06.046, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:55:07.046, 2535 MHz, 0x0000000000000000, 67, 38.23 W
2026/09/15 15:55:08.047, 2535 MHz, 0x0000000000000000, 67, 38.22 W
2026/09/15 15:55:09.047, 2535 MHz, 0x0000000000000000, 67, 38.23 W
2026/09/15 15:55:10.048, 2535 MHz, 0x0000000000000000, 67, 38.24 W
2026/09/15 15:55:11.048, 2535 MHz, 0x0000000000000000, 67, 38.17 W
2026/09/15 15:55:12.049, 2535 MHz, 0x0000000000000000, 67, 38.19 W
2026/09/15 15:55:13.049, 2535 MHz, 0x0000000000000000, 67, 38.20 W
2026/09/15 15:55:14.049, 2535 MHz, 0x0000000000000000, 67, 38.17 W
2026/09/15 15:55:15.050, 2535 MHz, 0x0000000000000000, 67, 38.17 W
2026/09/15 15:55:16.050, 2535 MHz, 0x0000000000000000, 67, 38.13 W
2026/09/15 15:55:17.050, 2535 MHz, 0x0000000000000000, 67, 38.14 W
2026/09/15 15:55:18.051, 2535 MHz, 0x0000000000000000, 67, 38.14 W
2026/09/15 15:55:19.051, 2535 MHz, 0x0000000000000000, 67, 38.15 W
2026/09/15 15:55:20.052, 2535 MHz, 0x0000000000000000, 67, 38.12 W
2026/09/15 15:55:21.052, 2535 MHz, 0x0000000000000000, 67, 38.08 W
