timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:52:52.982, 2411 MHz, 0x0000000000000000, 56, 16.30 W
2026/09/15 15:52:53.997, 2392 MHz, 0x0000000000000000, 54, 16.25 W
2026/09/15 15:52:54.997, 2483 MHz, 0x0000000000000000, 61, 32.35 W
2026/09/15 15:52:55.998, 2483 MHz, 0x0000000000000000, 61, 44.10 W
2026/09/15 15:52:56.998, 2489 MHz, 0x0000000000000000, 59, 41.21 W
2026/09/15 15:52:57.998, 2392 MHz, 0x0000000000000000, 56, 12.93 W
2026/09/15 15:52:58.998, 2463 MHz, 0x0000000000000000, 63, 61.08 W
2026/09/15 15:52:59.999, 2489 MHz, 0x0000000000000000, 60, 49.73 W
2026/09/15 15:53:00.999, 2392 MHz, 0x0000000000000000, 57, 18.90 W
2026/09/15 15:53:01.999, 2392 MHz, 0x0000000000000000, 57, 12.99 W
2026/09/15 15:53:02.999, 2392 MHz, 0x0000000000000000, 57, 12.91 W
2026/09/15 15:53:04.000, 2392 MHz, 0x0000000000000000, 57, 12.90 W
2026/09/15 15:53:05.000, 2392 MHz, 0x0000000000000000, 57, 12.90 W
2026/09/15 15:53:06.000, 2392 MHz, 0x0000000000000000, 60, 17.36 W
2026/09/15 15:53:07.001, 2463 MHz, 0x0000000000000000, 70, 69.15 W
2026/09/15 15:53:08.001, 2463 MHz, 0x0000000000000000, 70, 71.03 W
2026/09/15 15:53:09.001, 2470 MHz, 0x0000000000000000, 62, 36.73 W
2026/09/15 15:53:10.002, 2392 MHz, 0x0000000000000000, 59, 16.34 W
2026/09/15 15:53:11.002, 2489 MHz, 0x0000000000000000, 61, 27.95 W
2026/09/15 15:53:12.002, 2463 MHz, 0x0000000000000000, 66, 51.34 W
2026/09/15 15:53:13.003, 2463 MHz, 0x0000000000000000, 67, 56.63 W
2026/09/15 15:53:14.003, 2463 MHz, 0x0000000000000000, 66, 56.77 W
2026/09/15 15:53:15.004, 2411 MHz, 0x0000000000000000, 65, 32.85 W
2026/09/15 15:53:16.004, 2463 MHz, 0x0000000000000000, 66, 57.20 W
2026/09/15 15:53:17.004, 2463 MHz, 0x0000000000000000, 69, 57.03 W
2026/09/15 15:53:18.005, 2470 MHz, 0x0000000000000000, 63, 48.72 W
2026/09/15 15:53:19.005, 2424 MHz, 0x0000000000000000, 68, 25.49 W
2026/09/15 15:53:20.005, 2463 MHz, 0x0000000000000000, 68, 57.38 W
2026/09/15 15:53:21.005, 2457 MHz, 0x0000000000000000, 70, 58.99 W
2026/09/15 15:53:22.006, 2463 MHz, 0x0000000000000000, 70, 59.36 W
2026/09/15 15:53:23.006, 2463 MHz, 0x0000000000000000, 74, 59.50 W
2026/09/15 15:53:24.006, 2457 MHz, 0x0000000000000000, 70, 59.50 W
2026/09/15 15:53:25.006, 2457 MHz, 0x0000000000000000, 71, 59.69 W
2026/09/15 15:53:26.007, 2450 MHz, 0x0000000000000000, 71, 59.79 W
2026/09/15 15:53:27.007, 2457 MHz, 0x0000000000000000, 71, 60.19 W
2026/09/15 15:53:28.007, 2450 MHz, 0x0000000000000000, 70, 60.31 W
2026/09/15 15:53:29.008, 2450 MHz, 0x0000000000000000, 71, 60.54 W
2026/09/15 15:53:30.008, 2444 MHz, 0x0000000000000000, 74, 60.70 W
2026/09/15 15:53:31.008, 2450 MHz, 0x0000000000000000, 71, 60.06 W
2026/09/15 15:53:32.009, 2444 MHz, 0x0000000000000000, 72, 60.99 W
2026/09/15 15:53:33.009, 2450 MHz, 0x0000000000000000, 72, 60.75 W
2026/09/15 15:53:34.009, 2444 MHz, 0x0000000000000000, 73, 60.95 W
2026/09/15 15:53:35.010, 2444 MHz, 0x0000000000000000, 72, 60.77 W
2026/09/15 15:53:36.010, 2444 MHz, 0x0000000000000000, 73, 61.22 W
2026/09/15 15:53:37.010, 2444 MHz, 0x0000000000000000, 72, 60.99 W
