timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:34:11.549, 2496 MHz, 0x0000000000000000, 68, 35.88 W
2026/09/15 15:34:12.566, 2496 MHz, 0x0000000000000000, 68, 36.56 W
2026/09/15 15:34:13.566, 2496 MHz, 0x0000000000000000, 68, 35.97 W
2026/09/15 15:34:14.567, 2496 MHz, 0x0000000000000000, 71, 37.29 W
2026/09/15 15:34:15.567, 2489 MHz, 0x0000000000000000, 69, 51.41 W
2026/09/15 15:34:16.567, 2470 MHz, 0x0000000000000000, 72, 44.56 W
2026/09/15 15:34:17.568, 2496 MHz, 0x0000000000000000, 69, 44.30 W
2026/09/15 15:34:18.568, 2496 MHz, 0x0000000000000000, 69, 36.26 W
2026/09/15 15:34:19.568, 2496 MHz, 0x0000000000000000, 69, 36.09 W
2026/09/15 15:34:20.568, 2483 MHz, 0x0000000000000000, 73, 36.94 W
2026/09/15 15:34:21.569, 2470 MHz, 0x0000000000000000, 77, 66.02 W
2026/09/15 15:34:22.569, 2496 MHz, 0x0000000000000000, 70, 51.72 W
2026/09/15 15:34:23.569, 2496 MHz, 0x0000000000000000, 70, 36.96 W
2026/09/15 15:34:24.570, 2496 MHz, 0x0000000000000000, 70, 36.21 W
2026/09/15 15:34:25.570, 2496 MHz, 0x0000000000000000, 70, 36.15 W
2026/09/15 15:34:26.571, 2496 MHz, 0x0000000000000000, 70, 36.22 W
2026/09/15 15:34:27.571, 2496 MHz, 0x0000000000000000, 70, 36.25 W
2026/09/15 15:34:28.571, 2496 MHz, 0x0000000000000000, 70, 36.26 W
2026/09/15 15:34:29.572, 2496 MHz, 0x0000000000000000, 70, 36.27 W
2026/09/15 15:34:30.572, 2496 MHz, 0x0000000000000000, 70, 36.28 W
2026/09/15 15:34:31.573, 2496 MHz, 0x0000000000000000, 70, 36.23 W
2026/09/15 15:34:32.573, 2496 MHz, 0x0000000000000000, 70, 36.21 W
2026/09/15 15:34:33.574, 2496 MHz, 0x0000000000000000, 70, 36.32 W
2026/09/15 15:34:34.574, 2496 MHz, 0x0000000000000000, 70, 36.33 W
2026/09/15 15:34:35.574, 2470 MHz, 0x0000000000000000, 75, 47.37 W
2026/09/15 15:34:36.574, 2463 MHz, 0x0000000000000000, 81, 74.92 W
2026/09/15 15:34:37.575, 2470 MHz, 0x0000000000000000, 72, 64.32 W
2026/09/15 15:34:38.575, 2476 MHz, 0x0000000000000000, 71, 38.34 W
2026/09/15 15:34:39.575, 2496 MHz, 0x0000000000000000, 71, 36.51 W
2026/09/15 15:34:40.576, 2496 MHz, 0x0000000000000000, 71, 36.43 W
2026/09/15 15:34:41.576, 2489 MHz, 0x0000000000000000, 74, 40.81 W
2026/09/15 15:34:42.576, 2489 MHz, 0x0000000000000000, 71, 50.04 W
2026/09/15 15:34:43.577, 2476 MHz, 0x0000000000000000, 72, 54.69 W
2026/09/15 15:34:44.577, 2470 MHz, 0x0000000000000000, 74, 55.08 W
