timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:34:11.538, 2437 MHz, 0x0000000000000000, 68, 35.80 W
2026/09/15 15:34:12.559, 2444 MHz, 0x0000000000000000, 68, 36.61 W
2026/09/15 15:34:13.559, 2437 MHz, 0x0000000000000000, 68, 35.76 W
2026/09/15 15:34:14.560, 2431 MHz, 0x0000000000000000, 71, 40.52 W
2026/09/15 15:34:15.560, 2444 MHz, 0x0000000000000000, 69, 48.26 W
2026/09/15 15:34:16.560, 2418 MHz, 0x0000000000000000, 72, 47.51 W
2026/09/15 15:34:17.561, 2444 MHz, 0x0000000000000000, 69, 40.86 W
2026/09/15 15:34:18.561, 2444 MHz, 0x0000000000000000, 68, 35.86 W
2026/09/15 15:34:19.561, 2437 MHz, 0x0000000000000000, 68, 35.74 W
2026/09/15 15:34:20.562, 2424 MHz, 0x0000000000000000, 72, 41.29 W
2026/09/15 15:34:21.562, 2418 MHz, 0x0000000000000000, 72, 65.82 W
2026/09/15 15:34:22.562, 2444 MHz, 0x0000000000000000, 69, 47.15 W
2026/09/15 15:34:23.563, 2437 MHz, 0x0000000000000000, 69, 36.38 W
2026/09/15 15:34:24.563, 2444 MHz, 0x0000000000000000, 69, 35.77 W
2026/09/15 15:34:25.564, 2444 MHz, 0x0000000000000000, 69, 35.78 W
2026/09/15 15:34:26.564, 2444 MHz, 0x0000000000000000, 68, 35.77 W
2026/09/15 15:34:27.564, 2444 MHz, 0x0000000000000000, 68, 35.65 W
2026/09/15 15:34:28.564, 2444 MHz, 0x0000000000000000, 68, 35.71 W
2026/09/15 15:34:29.565, 2437 MHz, 0x0000000000000000, 68, 35.66 W
2026/09/15 15:34:30.565, 2437 MHz, 0x0000000000000000, 68, 35.68 W
2026/09/15 15:34:31.565, 2437 MHz, 0x0000000000000000, 68, 35.60 W
2026/09/15 15:34:32.566, 2437 MHz, 0x0000000000000000, 68, 35.59 W
2026/09/15 15:34:33.566, 2437 MHz, 0x0000000000000000, 68, 35.60 W
2026/09/15 15:34:34.566, 2437 MHz, 0x0000000000000000, 68, 35.61 W
2026/09/15 15:34:35.567, 2418 MHz, 0x0000000000000000, 74, 52.91 W
2026/09/15 15:34:36.567, 2418 MHz, 0x0000000000000000, 77, 73.01 W
2026/09/15 15:34:37.567, 2444 MHz, 0x0000000000000000, 69, 59.15 W
2026/09/15 15:34:38.568, 2444 MHz, 0x0000000000000000, 69, 37.41 W
2026/09/15 15:34:39.568, 2444 MHz, 0x0000000000000000, 69, 35.84 W
2026/09/15 15:34:40.568, 2444 MHz, 0x0000000000000000, 68, 35.68 W
2026/09/15 15:34:41.569, 2431 MHz, 0x0000000000000000, 72, 43.00 W
2026/09/15 15:34:42.569, 2431 MHz, 0x0000000000000000, 72, 49.50 W
2026/09/15 15:34:43.569, 2444 MHz, 0x0000000000000000, 69, 50.65 W
2026/09/15 15:34:44.570, 2431 MHz, 0x0000000000000000, 69, 54.25 W
2026/09/15 15:34:45.570, 2418 MHz, 0x0000000000000000, 72, 54.25 W
2026/09/15 15:34:46.571, 2418 MHz, 0x0000000000000000, 75, 50.09 W
2026/09/15 15:34:47.571, 2418 MHz, 0x0000000000000000, 75, 60.74 W
2026/09/15 15:34:48.571, 2424 MHz, 0x0000000000000000, 70, 56.55 W
2026/09/15 15:34:49.572, 2418 MHz, 0x0000000000000000, 73, 52.41 W
2026/09/15 15:34:50.572, 2418 MHz, 0x0000000000000000, 76, 50.70 W
2026/09/15 15:34:51.572, 2418 MHz, 0x0000000000000000, 72, 60.00 W
2026/09/15 15:34:52.573, 2418 MHz, 0x0000000000000000, 73, 38.65 W
2026/09/15 15:34:53.573, 2418 MHz, 0x0000000000000000, 73, 60.71 W
2026/09/15 15:34:54.573, 2418 MHz, 0x0000000000000000, 74, 61.85 W
2026/09/15 15:34:55.574, 2418 MHz, 0x0000000000000000, 74, 61.30 W
2026/09/15 15:34:56.574, 2418 MHz, 0x0000000000000000, 74, 62.54 W
2026/09/15 15:34:57.574, 2424 MHz, 0x0000000000000000, 73, 59.42 W
2026/09/15 15:34:58.575, 2418 MHz, 0x0000000000000000, 77, 62.87 W
2026/09/15 15:34:59.575, 2418 MHz, 0x0000000000000000, 75, 63.31 W
2026/09/15 15:35:00.575, 2418 MHz, 0x0000000000000000, 78, 63.80 W
2026/09/15 15:35:01.576, 2418 MHz, 0x0000000000000000, 74, 62.90 W
2026/09/15 15:35:02.576, 2418 MHz, 0x0000000000000000, 76, 63.36 W
2026/09/15 15:35:03.576, 2418 MHz, 0x0000000000000000, 75, 63.33 W
2026/09/15 15:35:04.577, 2418 MHz, 0x0000000000000000, 74, 63.52 W
2026/09/15 15:35:05.577, 2418 MHz, 0x0000000000000000, 76, 63.13 W
2026/09/15 15:35:06.577, 2418 MHz, 0x0000000000000000, 74, 63.62 W
2026/09/15 15:35:07.578, 2418 MHz, 0x0000000000000000, 74, 63.69 W
2026/09/15 15:35:08.578, 2418 MHz, 0x0000000000000000, 74, 63.24 W
2026/09/15 15:35:09.578, 2418 MHz, 0x0000000000000000, 75, 63.84 W
2026/09/15 15:35:10.578, 2418 MHz, 0x0000000000000000, 77, 64.02 W
2026/09/15 15:35:11.579, 2418 MHz, 0x0000000000000000, 76, 64.24 W
2026/09/15 15:35:12.579, 2418 MHz, 0x0000000000000000, 75, 63.46 W
2026/09/15 15:35:13.580, 2418 MHz, 0x0000000000000000, 76, 64.38 W
2026/09/15 15:35:14.581, 2418 MHz, 0x0000000000000000, 75, 63.23 W
2026/09/15 15:35:15.581, 2418 MHz, 0x0000000000000000, 78, 60.62 W
2026/09/15 15:35:16.582, 2418 MHz, 0x0000000000000000, 75, 64.09 W
2026/09/15 15:35:17.582, 2418 MHz, 0x0000000000000000, 75, 64.53 W
2026/09/15 15:35:18.583, 2418 MHz, 0x0000000000000000, 75, 64.35 W
2026/09/15 15:35:19.583, 2418 MHz, 0x0000000000000000, 78, 64.51 W
2026/09/15 15:35:20.583, 2418 MHz, 0x0000000000000000, 77, 64.25 W
2026/09/15 15:35:21.584, 2418 MHz, 0x0000000000000000, 77, 65.23 W
2026/09/15 15:35:22.584, 2418 MHz, 0x0000000000000000, 77, 64.36 W
2026/09/15 15:35:23.585, 2418 MHz, 0x0000000000000000, 76, 64.68 W
2026/09/15 15:35:24.585, 2418 MHz, 0x0000000000000000, 77, 65.14 W
2026/09/15 15:35:25.586, 2418 MHz, 0x0000000000000000, 76, 64.67 W
2026/09/15 15:35:26.586, 2418 MHz, 0x0000000000000000, 77, 65.29 W
2026/09/15 15:35:27.587, 2418 MHz, 0x0000000000000000, 77, 65.40 W
2026/09/15 15:35:28.587, 2418 MHz, 0x0000000000000000, 77, 65.05 W
2026/09/15 15:35:29.587, 2411 MHz, 0x0000000000000000, 77, 65.00 W
2026/09/15 15:35:30.587, 2418 MHz, 0x0000000000000000, 80, 65.83 W
2026/09/15 15:35:31.588, 2418 MHz, 0x0000000000000000, 77, 65.32 W
2026/09/15 15:35:32.588, 2418 MHz, 0x0000000000000000, 78, 65.29 W
2026/09/15 15:35:33.589, 2418 MHz, 0x0000000000000000, 78, 65.29 W
2026/09/15 15:35:34.589, 2418 MHz, 0x0000000000000000, 79, 63.45 W
2026/09/15 15:35:35.590, 2411 MHz, 0x0000000000000000, 78, 64.55 W
2026/09/15 15:35:36.591, 2418 MHz, 0x0000000000000000, 77, 64.83 W
2026/09/15 15:35:37.591, 2418 MHz, 0x0000000000000000, 76, 63.93 W
2026/09/15 15:35:38.591, 2418 MHz, 0x0000000000000000, 78, 48.57 W
2026/09/15 15:35:39.592, 2418 MHz, 0x0000000000000000, 77, 64.14 W
2026/09/15 15:35:40.592, 2424 MHz, 0x0000000000000000, 73, 48.35 W
