timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:34:11.538, 2535 MHz, 0x0000000000000000, 66, 38.15 W
2026/09/15 15:34:12.551, 2535 MHz, 0x0000000000000000, 67, 38.94 W
2026/09/15 15:34:13.551, 2535 MHz, 0x0000000000000000, 67, 38.21 W
2026/09/15 15:34:14.552, 2528 MHz, 0x0000000000000000, 70, 45.83 W
2026/09/15 15:34:15.552, 2535 MHz, 0x0000000000000000, 67, 47.97 W
2026/09/15 15:34:16.553, 2528 MHz, 0x0000000000000000, 71, 53.03 W
2026/09/15 15:34:17.553, 2535 MHz, 0x0000000000000000, 67, 40.87 W
2026/09/15 15:34:18.554, 2535 MHz, 0x0000000000000000, 67, 38.44 W
2026/09/15 15:34:19.554, 2535 MHz, 0x0000000000000000, 67, 38.40 W
2026/09/15 15:34:20.555, 2509 MHz, 0x0000000000000000, 71, 47.24 W
2026/09/15 15:34:21.555, 2509 MHz, 0x0000000000000000, 73, 69.27 W
2026/09/15 15:34:22.555, 2535 MHz, 0x0000000000000000, 68, 46.90 W
2026/09/15 15:34:23.556, 2535 MHz, 0x0000000000000000, 68, 39.07 W
2026/09/15 15:34:24.557, 2535 MHz, 0x0000000000000000, 68, 38.59 W
2026/09/15 15:34:25.557, 2535 MHz, 0x0000000000000000, 68, 38.58 W
2026/09/15 15:34:26.558, 2535 MHz, 0x0000000000000000, 68, 38.63 W
2026/09/15 15:34:27.558, 2535 MHz, 0x0000000000000000, 68, 38.50 W
2026/09/15 15:34:28.559, 2535 MHz, 0x0000000000000000, 68, 38.62 W
2026/09/15 15:34:29.559, 2535 MHz, 0x0000000000000000, 68, 38.64 W
2026/09/15 15:34:30.560, 2535 MHz, 0x0000000000000000, 68, 38.62 W
2026/09/15 15:34:31.561, 2535 MHz, 0x0000000000000000, 68, 38.60 W
2026/09/15 15:34:32.561, 2535 MHz, 0x0000000000000000, 68, 38.60 W
2026/09/15 15:34:33.562, 2535 MHz, 0x0000000000000000, 68, 38.67 W
2026/09/15 15:34:34.562, 2535 MHz, 0x0000000000000000, 68, 38.66 W
2026/09/15 15:34:35.563, 2502 MHz, 0x0000000000000000, 72, 60.43 W
2026/09/15 15:34:36.563, 2509 MHz, 0x0000000000000000, 77, 77.16 W
2026/09/15 15:34:37.563, 2535 MHz, 0x0000000000000000, 70, 58.58 W
2026/09/15 15:34:38.563, 2535 MHz, 0x0000000000000000, 69, 40.46 W
2026/09/15 15:34:39.564, 2535 MHz, 0x0000000000000000, 68, 38.82 W
2026/09/15 15:34:40.564, 2535 MHz, 0x0000000000000000, 69, 39.14 W
2026/09/15 15:34:41.564, 2515 MHz, 0x0000000000000000, 73, 48.79 W
2026/09/15 15:34:42.565, 2522 MHz, 0x0000000000000000, 72, 53.25 W
2026/09/15 15:34:43.565, 2535 MHz, 0x0000000000000000, 74, 54.12 W
2026/09/15 15:34:44.565, 2515 MHz, 0x0000000000000000, 70, 55.30 W
2026/09/15 15:34:45.566, 2509 MHz, 0x0000000000000000, 71, 58.08 W
2026/09/15 15:34:46.567, 2509 MHz, 0x0000000000000000, 73, 55.55 W
2026/09/15 15:34:47.567, 2509 MHz, 0x0000000000000000, 75, 65.11 W
2026/09/15 15:34:48.567, 2509 MHz, 0x0000000000000000, 71, 57.24 W
2026/09/15 15:34:49.568, 2509 MHz, 0x0000000000000000, 73, 58.74 W
2026/09/15 15:34:50.568, 2509 MHz, 0x0000000000000000, 73, 54.72 W
2026/09/15 15:34:51.569, 2509 MHz, 0x0000000000000000, 74, 62.03 W
2026/09/15 15:34:52.569, 2509 MHz, 0x0000000000000000, 74, 42.50 W
2026/09/15 15:34:53.569, 2502 MHz, 0x0000000000000000, 75, 64.71 W
2026/09/15 15:34:54.570, 2509 MHz, 0x0000000000000000, 75, 65.40 W
2026/09/15 15:34:55.570, 2509 MHz, 0x0000000000000000, 74, 65.03 W
2026/09/15 15:34:56.570, 2502 MHz, 0x0000000000000000, 74, 66.26 W
