timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:34:11.577, 2470 MHz, 0x0000000000000000, 67, 34.38 W
2026/09/15 15:34:12.592, 2470 MHz, 0x0000000000000000, 68, 35.20 W
2026/09/15 15:34:13.592, 2470 MHz, 0x0000000000000000, 68, 34.44 W
2026/09/15 15:34:14.593, 2470 MHz, 0x0000000000000000, 69, 35.61 W
2026/09/15 15:34:15.593, 2470 MHz, 0x0000000000000000, 68, 50.13 W
2026/09/15 15:34:16.593, 2463 MHz, 0x0000000000000000, 71, 42.74 W
2026/09/15 15:34:17.594, 2470 MHz, 0x0000000000000000, 68, 42.87 W
2026/09/15 15:34:18.594, 2470 MHz, 0x0000000000000000, 69, 34.71 W
2026/09/15 15:34:19.594, 2470 MHz, 0x0000000000000000, 69, 34.62 W
2026/09/15 15:34:20.595, 2470 MHz, 0x0000000000000000, 71, 35.15 W
2026/09/15 15:34:21.595, 2444 MHz, 0x0000000000000000, 72, 64.28 W
2026/09/15 15:34:22.595, 2470 MHz, 0x0000000000000000, 69, 51.01 W
2026/09/15 15:34:23.596, 2470 MHz, 0x0000000000000000, 69, 35.45 W
2026/09/15 15:34:24.596, 2470 MHz, 0x0000000000000000, 69, 34.71 W
2026/09/15 15:34:25.597, 2470 MHz, 0x0000000000000000, 69, 34.75 W
2026/09/15 15:34:26.597, 2470 MHz, 0x0000000000000000, 70, 34.79 W
2026/09/15 15:34:27.597, 2470 MHz, 0x0000000000000000, 69, 34.77 W
2026/09/15 15:34:28.598, 2470 MHz, 0x0000000000000000, 70, 34.81 W
2026/09/15 15:34:29.598, 2470 MHz, 0x0000000000000000, 70, 34.87 W
2026/09/15 15:34:30.598, 2470 MHz, 0x0000000000000000, 70, 34.85 W
2026/09/15 15:34:31.599, 2470 MHz, 0x0000000000000000, 70, 34.85 W
2026/09/15 15:34:32.599, 2470 MHz, 0x0000000000000000, 70, 34.86 W
2026/09/15 15:34:33.599, 2470 MHz, 0x0000000000000000, 70, 34.89 W
2026/09/15 15:34:34.599, 2470 MHz, 0x0000000000000000, 70, 34.94 W
2026/09/15 15:34:35.600, 2444 MHz, 0x0000000000000000, 78, 45.65 W
2026/09/15 15:34:36.600, 2437 MHz, 0x0000000000000000, 80, 72.11 W
2026/09/15 15:34:37.600, 2444 MHz, 0x0000000000000000, 71, 64.22 W
2026/09/15 15:34:38.601, 2470 MHz, 0x0000000000000000, 71, 36.96 W
2026/09/15 15:34:39.601, 2470 MHz, 0x0000000000000000, 71, 35.11 W
2026/09/15 15:34:40.601, 2470 MHz, 0x0000000000000000, 71, 34.94 W
2026/09/15 15:34:41.602, 2470 MHz, 0x0000000000000000, 75, 38.62 W
2026/09/15 15:34:42.602, 2457 MHz, 0x0000000000000000, 71, 48.51 W
2026/09/15 15:34:43.602, 2444 MHz, 0x0000000000000000, 71, 53.36 W
2026/09/15 15:34:44.603, 2444 MHz, 0x0000000000000000, 73, 53.76 W
2026/09/15 15:34:45.603, 2444 MHz, 0x0000000000000000, 75, 49.57 W
2026/09/15 15:34:46.604, 2444 MHz, 0x0000000000000000, 74, 49.55 W
2026/09/15 15:34:47.604, 2444 MHz, 0x0000000000000000, 74, 59.04 W
2026/09/15 15:34:48.604, 2444 MHz, 0x0000000000000000, 75, 57.54 W
2026/09/15 15:34:49.604, 2444 MHz, 0x0000000000000000, 74, 49.78 W
2026/09/15 15:34:50.605, 2450 MHz, 0x0000000000000000, 75, 49.60 W
2026/09/15 15:34:51.605, 2444 MHz, 0x0000000000000000, 74, 58.63 W
2026/09/15 15:34:52.605, 2418 MHz, 0x0000000000000000, 74, 37.40 W
2026/09/15 15:34:53.605, 2444 MHz, 0x0000000000000000, 74, 59.17 W
2026/09/15 15:34:54.605, 2444 MHz, 0x0000000000000000, 75, 60.58 W
2026/09/15 15:34:55.606, 2444 MHz, 0x0000000000000000, 76, 59.94 W
2026/09/15 15:34:56.606, 2444 MHz, 0x0000000000000000, 77, 61.18 W
2026/09/15 15:34:57.606, 2444 MHz, 0x0000000000000000, 74, 60.54 W
2026/09/15 15:34:58.607, 2444 MHz, 0x0000000000000000, 76, 58.05 W
2026/09/15 15:34:59.607, 2444 MHz, 0x0000000000000000, 76, 61.28 W
2026/09/15 15:35:00.607, 2444 MHz, 0x0000000000000000, 77, 61.67 W
2026/09/15 15:35:01.607, 2444 MHz, 0x0000000000000000, 74, 61.45 W
2026/09/15 15:35:02.608, 2444 MHz, 0x0000000000000000, 74, 61.58 W
2026/09/15 15:35:03.608, 2444 MHz, 0x0000000000000000, 74, 61.65 W
2026/09/15 15:35:04.608, 2444 MHz, 0x0000000000000000, 74, 61.31 W
2026/09/15 15:35:05.608, 2444 MHz, 0x0000000000000000, 76, 61.74 W
2026/09/15 15:35:06.609, 2444 MHz, 0x0000000000000000, 75, 61.73 W
2026/09/15 15:35:07.609, 2444 MHz, 0x0000000000000000, 75, 61.99 W
2026/09/15 15:35:08.609, 2444 MHz, 0x0000000000000000, 75, 61.44 W
2026/09/15 15:35:09.610, 2444 MHz, 0x0000000000000000, 75, 61.79 W
2026/09/15 15:35:10.610, 2444 MHz, 0x0000000000000000, 75, 62.17 W
2026/09/15 15:35:11.610, 2444 MHz, 0x0000000000000000, 76, 61.81 W
2026/09/15 15:35:12.611, 2444 MHz, 0x0000000000000000, 75, 62.46 W
2026/09/15 15:35:13.611, 2444 MHz, 0x0000000000000000, 75, 61.76 W
2026/09/15 15:35:14.611, 2444 MHz, 0x0000000000000000, 78, 61.63 W
2026/09/15 15:35:15.612, 2444 MHz, 0x0000000000000000, 74, 59.52 W
2026/09/15 15:35:16.612, 2444 MHz, 0x0000000000000000, 76, 61.13 W
2026/09/15 15:35:17.613, 2444 MHz, 0x0000000000000000, 75, 62.61 W
2026/09/15 15:35:18.613, 2444 MHz, 0x0000000000000000, 76, 62.24 W
2026/09/15 15:35:19.613, 2444 MHz, 0x0000000000000000, 77, 61.90 W
2026/09/15 15:35:20.614, 2444 MHz, 0x0000000000000000, 78, 62.60 W
2026/09/15 15:35:21.614, 2444 MHz, 0x0000000000000000, 75, 62.48 W
2026/09/15 15:35:22.614, 2444 MHz, 0x0000000000000000, 75, 62.79 W
2026/09/15 15:35:23.615, 2444 MHz, 0x0000000000000000, 76, 62.26 W
2026/09/15 15:35:24.615, 2444 MHz, 0x0000000000000000, 76, 63.10 W
2026/09/15 15:35:25.615, 2444 MHz, 0x0000000000000000, 76, 62.50 W
2026/09/15 15:35:26.615, 2444 MHz, 0x0000000000000000, 75, 62.48 W
2026/09/15 15:35:27.616, 2444 MHz, 0x0000000000000000, 74, 63.27 W
2026/09/15 15:35:28.616, 2444 MHz, 0x0000000000000000, 76, 62.85 W
2026/09/15 15:35:29.617, 2444 MHz, 0x0000000000000000, 77, 62.71 W
2026/09/15 15:35:30.617, 2444 MHz, 0x0000000000000000, 76, 62.74 W
2026/09/15 15:35:31.617, 2444 MHz, 0x0000000000000000, 76, 62.72 W
2026/09/15 15:35:32.617, 2444 MHz, 0x0000000000000000, 74, 63.67 W
2026/09/15 15:35:33.618, 2444 MHz, 0x0000000000000000, 78, 63.00 W
2026/09/15 15:35:34.618, 2450 MHz, 0x0000000000000000, 74, 61.04 W
2026/09/15 15:35:35.618, 2444 MHz, 0x0000000000000000, 75, 62.57 W
2026/09/15 15:35:36.618, 2444 MHz, 0x0000000000000000, 77, 62.17 W
2026/09/15 15:35:37.619, 2444 MHz, 0x0000000000000000, 75, 62.17 W
2026/09/15 15:35:38.619, 2457 MHz, 0x0000000000000000, 71, 47.36 W
2026/09/15 15:35:39.619, 2444 MHz, 0x0000000000000000, 75, 60.69 W
2026/09/15 15:35:40.619, 2463 MHz, 0x0000000000000000, 71, 50.46 W
2026/09/15 15:35:41.620, 2470 MHz, 0x0000000000000000, 71, 35.68 W
2026/09/15 15:35:42.620, 2470 MHz, 0x0000000000000000, 71, 35.65 W
2026/09/15 15:35:43.620, 2470 MHz, 0x0000000000000000, 70, 35.53 W
2026/09/15 15:35:44.620, 2470 MHz, 0x0000000000000000, 70, 35.53 W
2026/09/15 15:35:45.620, 2470 MHz, 0x0000000000000000, 70, 35.46 W
2026/09/15 15:35:46.621, 2470 MHz, 0x0000000000000000, 69, 35.47 W
2026/09/15 15:35:47.621, 2470 MHz, 0x0000000000000000, 69, 34.83 W
2026/09/15 15:35:48.621, 2470 MHz, 0x0000000000000000, 69, 34.79 W
2026/09/15 15:35:49.621, 2470 MHz, 0x0000000000000000, 69, 37.00 W
2026/09/15 15:35:50.622, 2470 MHz, 0x0000000000000000, 69, 34.76 W
2026/09/15 15:35:51.622, 2470 MHz, 0x0000000000000000, 69, 34.76 W
2026/09/15 15:35:52.622, 2470 MHz, 0x0000000000000000, 68, 34.72 W
2026/09/15 15:35:53.623, 2470 MHz, 0x0000000000000000, 68, 34.69 W
2026/09/15 15:35:54.623, 2470 MHz, 0x0000000000000000, 68, 34.63 W
2026/09/15 15:35:55.623, 2470 MHz, 0x0000000000000000, 68, 34.67 W
2026/09/15 15:35:56.624, 2470 MHz, 0x0000000000000000, 68, 34.58 W
2026/09/15 15:35:57.624, 2470 MHz, 0x0000000000000000, 68, 34.55 W
2026/09/15 15:35:58.624, 2470 MHz, 0x0000000000000000, 68, 34.56 W
2026/09/15 15:35:59.624, 2470 MHz, 0x0000000000000000, 68, 34.51 W
2026/09/15 15:36:00.624, 2470 MHz, 0x0000000000000000, 68, 34.54 W
2026/09/15 15:36:01.625, 2470 MHz, 0x0000000000000000, 67, 34.52 W
2026/09/15 15:36:02.625, 2470 MHz, 0x0000000000000000, 67, 34.44 W
2026/09/15 15:36:03.625, 2470 MHz, 0x0000000000000000, 67, 34.47 W
2026/09/15 15:36:04.625, 2470 MHz, 0x0000000000000000, 67, 34.47 W
2026/09/15 15:36:05.625, 2470 MHz, 0x0000000000000000, 67, 34.44 W
2026/09/15 15:36:06.626, 2470 MHz, 0x0000000000000000, 67, 34.44 W
2026/09/15 15:36:07.626, 2470 MHz, 0x0000000000000000, 67, 34.43 W
2026/09/15 15:36:08.626, 2470 MHz, 0x0000000000000000, 67, 34.44 W
2026/09/15 15:36:09.627, 2470 MHz, 0x0000000000000000, 67, 34.40 W
2026/09/15 15:36:10.627, 2457 MHz, 0x0000000000000000, 71, 47.87 W
2026/09/15 15:36:11.627, 2457 MHz, 0x0000000000000000, 70, 47.38 W
2026/09/15 15:36:12.628, 2470 MHz, 0x0000000000000000, 71, 49.35 W
2026/09/15 15:36:13.628, 2457 MHz, 0x0000000000000000, 68, 51.92 W
