timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:08:33.962, 2405 MHz, 0x0000000000000000, 46, 12.92 W
2026/09/15 15:08:34.967, 208 MHz, 0x0000000000000000, 46, 9.44 W
2026/09/15 15:08:35.968, 208 MHz, 0x0000000000000000, 46, 6.58 W
2026/09/15 15:08:36.968, 208 MHz, 0x0000000000000000, 46, 6.58 W
2026/09/15 15:08:37.968, 208 MHz, 0x0000000000000000, 46, 6.21 W
2026/09/15 15:08:38.969, 208 MHz, 0x0000000000000004, 46, 6.13 W
2026/09/15 15:08:39.969, 208 MHz, 0x0000000000000000, 46, 5.99 W
2026/09/15 15:08:40.970, 208 MHz, 0x0000000000000004, 46, 5.99 W
2026/09/15 15:08:41.970, 208 MHz, 0x0000000000000000, 46, 6.11 W
2026/09/15 15:08:42.970, 208 MHz, 0x0000000000000000, 46, 6.06 W
2026/09/15 15:08:43.970, 208 MHz, 0x0000000000000000, 46, 5.99 W
2026/09/15 15:08:44.970, 208 MHz, 0x0000000000000004, 46, 5.97 W
2026/09/15 15:08:45.971, 208 MHz, 0x0000000000000000, 46, 5.99 W
2026/09/15 15:08:46.971, 208 MHz, 0x0000000000000004, 46, 6.01 W
2026/09/15 15:08:47.971, 208 MHz, 0x0000000000000000, 46, 6.01 W
2026/09/15 15:08:48.972, 208 MHz, 0x0000000000000004, 46, 6.04 W
2026/09/15 15:08:49.972, 208 MHz, 0x0000000000000000, 46, 5.99 W
2026/09/15 15:08:50.972, 208 MHz, 0x0000000000000004, 46, 5.99 W
2026/09/15 15:08:51.972, 208 MHz, 0x0000000000000000, 46, 6.04 W
2026/09/15 15:08:52.973, 208 MHz, 0x0000000000000000, 46, 6.08 W
2026/09/15 15:08:53.973, 208 MHz, 0x0000000000000000, 46, 6.12 W
2026/09/15 15:08:54.973, 208 MHz, 0x0000000000000000, 47, 6.09 W
2026/09/15 15:08:55.973, 208 MHz, 0x0000000000000004, 47, 6.04 W
2026/09/15 15:08:56.974, 208 MHz, 0x0000000000000004, 47, 6.03 W
2026/09/15 15:08:57.974, 208 MHz, 0x0000000000000000, 47, 6.02 W
2026/09/15 15:08:58.974, 208 MHz, 0x0000000000000004, 47, 6.06 W
2026/09/15 15:08:59.975, 208 MHz, 0x0000000000000000, 47, 6.05 W
2026/09/15 15:09:00.975, 208 MHz, 0x0000000000000000, 47, 6.11 W
2026/09/15 15:09:01.975, 208 MHz, 0x0000000000000000, 47, 6.12 W
2026/09/15 15:09:02.976, 208 MHz, 0x0000000000000000, 47, 6.02 W
2026/09/15 15:09:03.976, 208 MHz, 0x0000000000000004, 47, 6.01 W
2026/09/15 15:09:04.976, 214 MHz, 0x0000000000000000, 47, 6.03 W
2026/09/15 15:09:05.976, 208 MHz, 0x0000000000000004, 47, 6.01 W
2026/09/15 15:09:06.977, 208 MHz, 0x0000000000000000, 47, 6.02 W
2026/09/15 15:09:07.977, 208 MHz, 0x0000000000000004, 47, 6.05 W
2026/09/15 15:09:08.978, 208 MHz, 0x0000000000000000, 47, 6.05 W
2026/09/15 15:09:09.978, 208 MHz, 0x0000000000000004, 47, 5.88 W
2026/09/15 15:09:10.978, 208 MHz, 0x0000000000000000, 47, 5.88 W
2026/09/15 15:09:11.979, 208 MHz, 0x0000000000000004, 47, 5.88 W
2026/09/15 15:09:12.980, 208 MHz, 0x0000000000000000, 47, 5.88 W
2026/09/15 15:09:13.980, 208 MHz, 0x0000000000000004, 47, 5.87 W
2026/09/15 15:09:14.980, 208 MHz, 0x0000000000000000, 47, 5.87 W
2026/09/15 15:09:15.981, 208 MHz, 0x0000000000000004, 47, 5.87 W
2026/09/15 15:09:16.981, 208 MHz, 0x0000000000000000, 47, 5.86 W
