timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:08:33.959, 2398 MHz, 0x0000000000000000, 46, 7.84 W
2026/09/15 15:08:34.965, 1924 MHz, 0x0000000000000000, 46, 10.98 W
2026/09/15 15:08:35.965, 208 MHz, 0x0000000000000000, 45, 5.62 W
2026/09/15 15:08:36.965, 208 MHz, 0x0000000000000000, 45, 4.90 W
2026/09/15 15:08:37.966, 208 MHz, 0x0000000000000000, 45, 4.90 W
2026/09/15 15:08:38.966, 208 MHz, 0x0000000000000000, 45, 4.43 W
2026/09/15 15:08:39.966, 208 MHz, 0x0000000000000004, 45, 4.40 W
2026/09/15 15:08:40.967, 208 MHz, 0x0000000000000000, 45, 4.36 W
2026/09/15 15:08:41.967, 208 MHz, 0x0000000000000004, 46, 4.29 W
2026/09/15 15:08:42.968, 208 MHz, 0x0000000000000000, 46, 4.45 W
2026/09/15 15:08:43.968, 208 MHz, 0x0000000000000000, 46, 4.42 W
2026/09/15 15:08:44.969, 208 MHz, 0x0000000000000000, 46, 4.39 W
2026/09/15 15:08:45.969, 208 MHz, 0x0000000000000004, 46, 4.38 W
2026/09/15 15:08:46.970, 208 MHz, 0x0000000000000000, 46, 4.38 W
2026/09/15 15:08:47.971, 208 MHz, 0x0000000000000004, 46, 4.36 W
2026/09/15 15:08:48.972, 208 MHz, 0x0000000000000000, 46, 4.39 W
2026/09/15 15:08:49.972, 208 MHz, 0x0000000000000004, 46, 4.42 W
2026/09/15 15:08:50.973, 208 MHz, 0x0000000000000000, 46, 4.40 W
2026/09/15 15:08:51.973, 208 MHz, 0x0000000000000004, 46, 4.48 W
2026/09/15 15:08:52.974, 214 MHz, 0x0000000000000000, 46, 4.62 W
2026/09/15 15:08:53.974, 208 MHz, 0x0000000000000000, 46, 4.57 W
2026/09/15 15:08:54.975, 208 MHz, 0x0000000000000000, 46, 4.57 W
2026/09/15 15:08:55.976, 208 MHz, 0x0000000000000000, 46, 4.59 W
2026/09/15 15:08:56.976, 208 MHz, 0x0000000000000004, 46, 4.54 W
2026/09/15 15:08:57.976, 208 MHz, 0x0000000000000000, 46, 4.44 W
2026/09/15 15:08:58.976, 208 MHz, 0x0000000000000004, 46, 4.45 W
2026/09/15 15:08:59.977, 208 MHz, 0x0000000000000000, 46, 4.49 W
2026/09/15 15:09:00.977, 208 MHz, 0x0000000000000004, 46, 4.53 W
2026/09/15 15:09:01.978, 208 MHz, 0x0000000000000000, 47, 4.62 W
2026/09/15 15:09:02.978, 208 MHz, 0x0000000000000000, 46, 4.53 W
2026/09/15 15:09:03.978, 208 MHz, 0x0000000000000000, 46, 4.43 W
2026/09/15 15:09:04.979, 208 MHz, 0x0000000000000004, 46, 4.43 W
2026/09/15 15:09:05.980, 208 MHz, 0x0000000000000000, 46, 4.43 W
2026/09/15 15:09:06.980, 208 MHz, 0x0000000000000004, 46, 4.38 W
2026/09/15 15:09:07.981, 208 MHz, 0x0000000000000000, 46, 4.50 W
2026/09/15 15:09:08.982, 208 MHz, 0x0000000000000004, 47, 4.61 W
2026/09/15 15:09:09.983, 208 MHz, 0x0000000000000000, 47, 4.32 W
2026/09/15 15:09:10.983, 208 MHz, 0x0000000000000004, 47, 4.20 W
2026/09/15 15:09:11.984, 208 MHz, 0x0000000000000000, 46, 4.09 W
2026/09/15 15:09:12.985, 208 MHz, 0x0000000000000004, 46, 4.09 W
2026/09/15 15:09:13.986, 208 MHz, 0x0000000000000000, 46, 4.09 W
2026/09/15 15:09:14.987, 208 MHz, 0x0000000000000004, 46, 4.07 W
2026/09/15 15:09:15.988, 208 MHz, 0x0000000000000000, 46, 4.07 W
2026/09/15 15:09:16.988, 208 MHz, 0x0000000000000004, 46, 4.07 W
2026/09/15 15:09:17.988, 208 MHz, 0x0000000000000000, 46, 4.09 W
2026/09/15 15:09:18.989, 208 MHz, 0x0000000000000004, 46, 4.08 W
2026/09/15 15:09:19.989, 208 MHz, 0x0000000000000000, 46, 4.10 W
2026/09/15 15:09:20.990, 208 MHz, 0x0000000000000004, 46, 4.09 W
2026/09/15 15:09:21.990, 208 MHz, 0x0000000000000000, 46, 4.09 W
2026/09/15 15:09:22.991, 208 MHz, 0x0000000000000004, 46, 4.09 W
2026/09/15 15:09:23.992, 208 MHz, 0x0000000000000000, 46, 4.08 W
2026/09/15 15:09:24.992, 208 MHz, 0x0000000000000004, 46, 4.07 W
2026/09/15 15:09:25.992, 208 MHz, 0x0000000000000000, 46, 4.19 W
2026/09/15 15:09:26.993, 208 MHz, 0x0000000000000000, 47, 7.28 W
2026/09/15 15:09:27.993, 2398 MHz, 0x0000000000000000, 47, 12.36 W
2026/09/15 15:09:28.994, 2405 MHz, 0x0000000000000000, 47, 12.41 W
2026/09/15 15:09:29.994, 2411 MHz, 0x0000000000000000, 47, 12.42 W
2026/09/15 15:09:30.995, 2405 MHz, 0x0000000000000000, 47, 12.51 W
2026/09/15 15:09:31.995, 2405 MHz, 0x0000000000000000, 47, 12.47 W
2026/09/15 15:09:32.995, 2398 MHz, 0x0000000000000000, 48, 12.46 W
2026/09/15 15:09:33.995, 2405 MHz, 0x0000000000000000, 48, 12.57 W
2026/09/15 15:09:34.996, 2398 MHz, 0x0000000000000000, 48, 12.79 W
2026/09/15 15:09:35.996, 2405 MHz, 0x0000000000000000, 48, 12.85 W
2026/09/15 15:09:36.996, 2405 MHz, 0x0000000000000000, 48, 12.60 W
2026/09/15 15:09:37.997, 2405 MHz, 0x0000000000000000, 48, 12.59 W
2026/09/15 15:09:38.997, 2398 MHz, 0x0000000000000000, 48, 12.53 W
2026/09/15 15:09:39.997, 2405 MHz, 0x0000000000000000, 49, 13.37 W
2026/09/15 15:09:40.997, 2457 MHz, 0x0000000000000000, 49, 21.02 W
2026/09/15 15:09:41.998, 2463 MHz, 0x0000000000000000, 50, 19.82 W
2026/09/15 15:09:42.998, 2450 MHz, 0x0000000000000000, 50, 19.11 W
2026/09/15 15:09:43.998, 2463 MHz, 0x0000000000000000, 50, 19.87 W
