timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:08:33.966, 208 MHz, 0x0000000000000000, 45, 3.99 W
2026/09/15 15:08:34.974, 2405 MHz, 0x0000000000000000, 46, 8.67 W
2026/09/15 15:08:35.975, 2366 MHz, 0x0000000000000000, 46, 11.27 W
2026/09/15 15:08:36.975, 208 MHz, 0x0000000000000000, 45, 5.00 W
2026/09/15 15:08:37.976, 208 MHz, 0x0000000000000000, 46, 4.70 W
2026/09/15 15:08:38.976, 208 MHz, 0x0000000000000000, 46, 4.70 W
2026/09/15 15:08:39.976, 208 MHz, 0x0000000000000000, 45, 4.28 W
2026/09/15 15:08:40.977, 208 MHz, 0x0000000000000004, 46, 4.25 W
2026/09/15 15:08:41.977, 208 MHz, 0x0000000000000000, 46, 4.16 W
2026/09/15 15:08:42.977, 208 MHz, 0x0000000000000000, 46, 4.24 W
2026/09/15 15:08:43.978, 208 MHz, 0x0000000000000000, 46, 4.20 W
2026/09/15 15:08:44.978, 208 MHz, 0x0000000000000000, 46, 4.15 W
2026/09/15 15:08:45.978, 208 MHz, 0x0000000000000004, 46, 4.21 W
2026/09/15 15:08:46.979, 208 MHz, 0x0000000000000000, 46, 4.17 W
2026/09/15 15:08:47.979, 208 MHz, 0x0000000000000004, 46, 4.18 W
2026/09/15 15:08:48.980, 208 MHz, 0x0000000000000000, 46, 4.21 W
2026/09/15 15:08:49.980, 208 MHz, 0x0000000000000004, 46, 4.24 W
2026/09/15 15:08:50.980, 208 MHz, 0x0000000000000000, 46, 4.22 W
2026/09/15 15:08:51.981, 208 MHz, 0x0000000000000004, 46, 4.27 W
2026/09/15 15:08:52.981, 208 MHz, 0x0000000000000000, 46, 4.37 W
2026/09/15 15:08:53.981, 208 MHz, 0x0000000000000000, 46, 4.31 W
2026/09/15 15:08:54.982, 208 MHz, 0x0000000000000000, 46, 4.35 W
2026/09/15 15:08:55.982, 208 MHz, 0x0000000000000000, 46, 4.40 W
2026/09/15 15:08:56.982, 208 MHz, 0x0000000000000004, 46, 4.15 W
2026/09/15 15:08:57.983, 208 MHz, 0x0000000000000000, 46, 4.18 W
2026/09/15 15:08:58.983, 208 MHz, 0x0000000000000004, 46, 4.17 W
2026/09/15 15:08:59.983, 208 MHz, 0x0000000000000000, 46, 4.22 W
2026/09/15 15:09:00.984, 208 MHz, 0x0000000000000004, 46, 4.21 W
2026/09/15 15:09:01.984, 208 MHz, 0x0000000000000000, 46, 4.40 W
2026/09/15 15:09:02.984, 208 MHz, 0x0000000000000000, 46, 4.31 W
2026/09/15 15:09:03.984, 208 MHz, 0x0000000000000000, 46, 4.31 W
2026/09/15 15:09:04.985, 208 MHz, 0x0000000000000000, 46, 4.27 W
2026/09/15 15:09:05.985, 208 MHz, 0x0000000000000004, 46, 4.26 W
2026/09/15 15:09:06.985, 208 MHz, 0x0000000000000000, 46, 4.25 W
2026/09/15 15:09:07.986, 208 MHz, 0x0000000000000004, 46, 4.25 W
2026/09/15 15:09:08.986, 208 MHz, 0x0000000000000000, 46, 4.26 W
2026/09/15 15:09:09.986, 208 MHz, 0x0000000000000004, 46, 4.25 W
2026/09/15 15:09:10.986, 208 MHz, 0x0000000000000000, 46, 4.31 W
2026/09/15 15:09:11.986, 208 MHz, 0x0000000000000004, 47, 4.40 W
2026/09/15 15:09:12.987, 208 MHz, 0x0000000000000000, 47, 4.34 W
2026/09/15 15:09:13.987, 208 MHz, 0x0000000000000004, 47, 4.20 W
2026/09/15 15:09:14.987, 208 MHz, 0x0000000000000000, 47, 4.24 W
2026/09/15 15:09:15.988, 208 MHz, 0x0000000000000004, 47, 4.24 W
2026/09/15 15:09:16.988, 208 MHz, 0x0000000000000000, 47, 4.33 W
2026/09/15 15:09:17.988, 208 MHz, 0x0000000000000004, 47, 4.37 W
2026/09/15 15:09:18.989, 208 MHz, 0x0000000000000000, 47, 4.10 W
2026/09/15 15:09:19.989, 208 MHz, 0x0000000000000004, 47, 4.01 W
2026/09/15 15:09:20.990, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:09:21.990, 208 MHz, 0x0000000000000004, 47, 4.04 W
2026/09/15 15:09:22.991, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:09:23.991, 208 MHz, 0x0000000000000004, 46, 4.02 W
2026/09/15 15:09:24.992, 208 MHz, 0x0000000000000000, 46, 4.03 W
2026/09/15 15:09:25.992, 208 MHz, 0x0000000000000004, 46, 4.05 W
2026/09/15 15:09:26.992, 2405 MHz, 0x0000000000000000, 47, 6.40 W
2026/09/15 15:09:27.992, 2405 MHz, 0x0000000000000000, 47, 11.77 W
2026/09/15 15:09:28.992, 2405 MHz, 0x0000000000000000, 48, 11.70 W
2026/09/15 15:09:29.993, 2411 MHz, 0x0000000000000000, 48, 11.76 W
2026/09/15 15:09:30.993, 2411 MHz, 0x0000000000000000, 48, 11.77 W
2026/09/15 15:09:31.993, 2405 MHz, 0x0000000000000000, 48, 11.76 W
2026/09/15 15:09:32.994, 2405 MHz, 0x0000000000000000, 48, 11.76 W
2026/09/15 15:09:33.994, 2405 MHz, 0x0000000000000000, 48, 11.73 W
2026/09/15 15:09:34.995, 2405 MHz, 0x0000000000000000, 48, 12.18 W
2026/09/15 15:09:35.995, 2405 MHz, 0x0000000000000000, 48, 11.98 W
2026/09/15 15:09:36.995, 2405 MHz, 0x0000000000000000, 48, 11.83 W
2026/09/15 15:09:37.995, 2405 MHz, 0x0000000000000000, 48, 11.81 W
2026/09/15 15:09:38.995, 2405 MHz, 0x0000000000000000, 48, 11.76 W
2026/09/15 15:09:39.996, 2405 MHz, 0x0000000000000000, 49, 12.09 W
2026/09/15 15:09:40.996, 2431 MHz, 0x0000000000000000, 49, 17.61 W
2026/09/15 15:09:41.996, 2463 MHz, 0x0000000000000000, 50, 16.90 W
2026/09/15 15:09:42.996, 2450 MHz, 0x0000000000000000, 50, 17.17 W
2026/09/15 15:09:43.996, 2463 MHz, 0x0000000000000000, 51, 17.81 W
2026/09/15 15:09:44.996, 2431 MHz, 0x0000000000000000, 51, 15.53 W
2026/09/15 15:09:45.997, 2463 MHz, 0x0000000000000000, 51, 16.19 W
2026/09/15 15:09:46.997, 2450 MHz, 0x0000000000000000, 51, 17.39 W
2026/09/15 15:09:47.997, 2483 MHz, 0x0000000000000000, 52, 18.81 W
2026/09/15 15:09:48.997, 2444 MHz, 0x0000000000000000, 52, 17.26 W
2026/09/15 15:09:49.997, 2444 MHz, 0x0000000000000000, 52, 16.03 W
2026/09/15 15:09:50.997, 2444 MHz, 0x0000000000000000, 52, 16.14 W
2026/09/15 15:09:51.998, 2457 MHz, 0x0000000000000000, 52, 16.36 W
2026/09/15 15:09:52.998, 2476 MHz, 0x0000000000000000, 53, 18.70 W
2026/09/15 15:09:53.998, 2450 MHz, 0x0000000000000000, 53, 16.98 W
2026/09/15 15:09:54.998, 2457 MHz, 0x0000000000000000, 53, 17.46 W
2026/09/15 15:09:55.998, 2476 MHz, 0x0000000000000000, 53, 17.76 W
2026/09/15 15:09:56.998, 2476 MHz, 0x0000000000000000, 53, 17.95 W
2026/09/15 15:09:57.999, 2470 MHz, 0x0000000000000000, 54, 18.94 W
2026/09/15 15:09:58.999, 2450 MHz, 0x0000000000000000, 53, 18.52 W
2026/09/15 15:09:59.999, 2437 MHz, 0x0000000000000000, 53, 16.78 W
2026/09/15 15:10:00.999, 2450 MHz, 0x0000000000000000, 54, 17.53 W
2026/09/15 15:10:01.999, 2431 MHz, 0x0000000000000000, 54, 16.68 W
2026/09/15 15:10:02.999, 2437 MHz, 0x0000000000000000, 54, 16.28 W
2026/09/15 15:10:04.000, 2437 MHz, 0x0000000000000000, 54, 16.32 W
2026/09/15 15:10:05.000, 2437 MHz, 0x0000000000000000, 54, 16.65 W
2026/09/15 15:10:06.000, 2457 MHz, 0x0000000000000000, 54, 18.09 W
2026/09/15 15:10:07.000, 2450 MHz, 0x0000000000000000, 54, 18.02 W
2026/09/15 15:10:08.001, 2450 MHz, 0x0000000000000000, 54, 18.65 W
2026/09/15 15:10:09.001, 2457 MHz, 0x0000000000000000, 55, 19.00 W
2026/09/15 15:10:10.001, 2463 MHz, 0x0000000000000000, 55, 18.71 W
2026/09/15 15:10:11.001, 2463 MHz, 0x0000000000000000, 55, 19.28 W
2026/09/15 15:10:12.001, 2444 MHz, 0x0000000000000000, 55, 17.24 W
2026/09/15 15:10:13.001, 2457 MHz, 0x0000000000000000, 55, 17.57 W
2026/09/15 15:10:14.002, 2431 MHz, 0x0000000000000000, 55, 18.14 W
2026/09/15 15:10:15.002, 2463 MHz, 0x0000000000000000, 55, 17.94 W
2026/09/15 15:10:16.002, 2463 MHz, 0x0000000000000000, 56, 18.94 W
2026/09/15 15:10:17.002, 2463 MHz, 0x0000000000000000, 56, 19.37 W
2026/09/15 15:10:18.002, 2457 MHz, 0x0000000000000000, 56, 18.73 W
2026/09/15 15:10:19.003, 2457 MHz, 0x0000000000000000, 56, 18.90 W
2026/09/15 15:10:20.003, 2437 MHz, 0x0000000000000000, 56, 17.06 W
2026/09/15 15:10:21.003, 2437 MHz, 0x0000000000000000, 56, 16.90 W
