timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:03:59.979, 208 MHz, 0x0000000000000000, 49, 4.34 W
2026/09/15 15:04:00.989, 208 MHz, 0x0000000000000004, 49, 4.36 W
2026/09/15 15:04:01.989, 208 MHz, 0x0000000000000000, 49, 4.23 W
2026/09/15 15:04:02.990, 208 MHz, 0x0000000000000004, 49, 4.22 W
2026/09/15 15:04:03.991, 208 MHz, 0x0000000000000000, 49, 4.22 W
2026/09/15 15:04:04.992, 208 MHz, 0x0000000000000004, 49, 4.19 W
2026/09/15 15:04:05.993, 208 MHz, 0x0000000000000000, 49, 4.22 W
2026/09/15 15:04:06.993, 208 MHz, 0x0000000000000004, 48, 4.19 W
2026/09/15 15:04:07.994, 208 MHz, 0x0000000000000000, 48, 4.20 W
2026/09/15 15:04:08.995, 208 MHz, 0x0000000000000004, 48, 4.19 W
2026/09/15 15:04:09.995, 208 MHz, 0x0000000000000000, 48, 4.25 W
2026/09/15 15:04:10.995, 208 MHz, 0x0000000000000004, 48, 4.22 W
2026/09/15 15:04:11.995, 208 MHz, 0x0000000000000000, 48, 4.18 W
2026/09/15 15:04:12.996, 208 MHz, 0x0000000000000004, 48, 4.22 W
2026/09/15 15:04:13.996, 208 MHz, 0x0000000000000000, 48, 4.33 W
2026/09/15 15:04:14.997, 208 MHz, 0x0000000000000004, 48, 4.20 W
2026/09/15 15:04:15.998, 208 MHz, 0x0000000000000000, 48, 4.20 W
2026/09/15 15:04:16.998, 208 MHz, 0x0000000000000004, 48, 4.20 W
2026/09/15 15:04:17.999, 208 MHz, 0x0000000000000000, 48, 4.21 W
2026/09/15 15:04:19.000, 208 MHz, 0x0000000000000004, 48, 4.19 W
2026/09/15 15:04:20.000, 208 MHz, 0x0000000000000000, 48, 4.19 W
2026/09/15 15:04:21.001, 208 MHz, 0x0000000000000004, 48, 4.20 W
2026/09/15 15:04:22.001, 208 MHz, 0x0000000000000000, 48, 4.26 W
2026/09/15 15:04:23.002, 208 MHz, 0x0000000000000004, 48, 4.22 W
2026/09/15 15:04:24.002, 208 MHz, 0x0000000000000000, 48, 4.18 W
2026/09/15 15:04:25.003, 208 MHz, 0x0000000000000004, 48, 4.18 W
2026/09/15 15:04:26.003, 208 MHz, 0x0000000000000000, 48, 4.18 W
2026/09/15 15:04:27.004, 208 MHz, 0x0000000000000004, 48, 4.17 W
2026/09/15 15:04:28.005, 208 MHz, 0x0000000000000000, 48, 4.17 W
2026/09/15 15:04:29.006, 208 MHz, 0x0000000000000004, 48, 4.17 W
2026/09/15 15:04:30.006, 208 MHz, 0x0000000000000000, 47, 4.18 W
2026/09/15 15:04:31.007, 208 MHz, 0x0000000000000004, 47, 4.19 W
2026/09/15 15:04:32.007, 208 MHz, 0x0000000000000000, 47, 4.18 W
2026/09/15 15:04:33.008, 208 MHz, 0x0000000000000004, 47, 4.18 W
2026/09/15 15:04:34.008, 208 MHz, 0x0000000000000000, 47, 4.18 W
2026/09/15 15:04:35.009, 208 MHz, 0x0000000000000004, 47, 4.16 W
2026/09/15 15:04:36.010, 208 MHz, 0x0000000000000000, 47, 4.16 W
2026/09/15 15:04:37.010, 208 MHz, 0x0000000000000004, 47, 4.19 W
2026/09/15 15:04:38.010, 208 MHz, 0x0000000000000000, 47, 4.17 W
2026/09/15 15:04:39.011, 208 MHz, 0x0000000000000004, 47, 4.15 W
2026/09/15 15:04:40.012, 208 MHz, 0x0000000000000000, 47, 4.17 W
2026/09/15 15:04:41.012, 208 MHz, 0x0000000000000004, 47, 4.16 W
2026/09/15 15:04:42.013, 208 MHz, 0x0000000000000000, 47, 4.18 W
2026/09/15 15:04:43.013, 208 MHz, 0x0000000000000004, 47, 4.17 W
2026/09/15 15:04:44.014, 208 MHz, 0x0000000000000000, 47, 4.17 W
2026/09/15 15:04:45.014, 208 MHz, 0x0000000000000004, 47, 4.16 W
2026/09/15 15:04:46.015, 208 MHz, 0x0000000000000000, 47, 4.16 W
2026/09/15 15:04:47.016, 208 MHz, 0x0000000000000004, 47, 4.15 W
2026/09/15 15:04:48.017, 208 MHz, 0x0000000000000000, 47, 4.16 W
2026/09/15 15:04:49.017, 208 MHz, 0x0000000000000004, 47, 4.16 W
2026/09/15 15:04:50.018, 208 MHz, 0x0000000000000000, 47, 4.16 W
2026/09/15 15:04:51.019, 208 MHz, 0x0000000000000004, 47, 4.15 W
2026/09/15 15:04:52.019, 208 MHz, 0x0000000000000000, 47, 4.16 W
2026/09/15 15:04:53.020, 208 MHz, 0x0000000000000004, 47, 4.14 W
2026/09/15 15:04:54.020, 208 MHz, 0x0000000000000000, 47, 4.20 W
2026/09/15 15:04:55.021, 208 MHz, 0x0000000000000004, 47, 4.14 W
2026/09/15 15:04:56.022, 208 MHz, 0x0000000000000000, 47, 4.14 W
2026/09/15 15:04:57.022, 208 MHz, 0x0000000000000004, 47, 4.14 W
2026/09/15 15:04:58.022, 208 MHz, 0x0000000000000000, 47, 4.15 W
2026/09/15 15:04:59.023, 208 MHz, 0x0000000000000004, 47, 4.13 W
2026/09/15 15:05:00.024, 208 MHz, 0x0000000000000000, 47, 4.13 W
2026/09/15 15:05:01.024, 208 MHz, 0x0000000000000004, 47, 4.12 W
2026/09/15 15:05:02.025, 208 MHz, 0x0000000000000000, 47, 4.13 W
2026/09/15 15:05:03.026, 208 MHz, 0x0000000000000004, 47, 4.12 W
2026/09/15 15:05:04.027, 208 MHz, 0x0000000000000000, 47, 4.12 W
2026/09/15 15:05:05.027, 208 MHz, 0x0000000000000004, 47, 4.11 W
2026/09/15 15:05:06.027, 208 MHz, 0x0000000000000000, 47, 4.12 W
2026/09/15 15:05:07.028, 208 MHz, 0x0000000000000004, 47, 4.12 W
2026/09/15 15:05:08.029, 208 MHz, 0x0000000000000000, 47, 4.13 W
2026/09/15 15:05:09.030, 208 MHz, 0x0000000000000004, 47, 4.11 W
2026/09/15 15:05:10.031, 208 MHz, 0x0000000000000000, 47, 4.14 W
2026/09/15 15:05:11.032, 208 MHz, 0x0000000000000004, 47, 4.13 W
2026/09/15 15:05:12.032, 208 MHz, 0x0000000000000000, 47, 4.12 W
2026/09/15 15:05:13.033, 208 MHz, 0x0000000000000004, 47, 4.11 W
2026/09/15 15:05:14.034, 208 MHz, 0x0000000000000000, 47, 4.10 W
2026/09/15 15:05:15.035, 208 MHz, 0x0000000000000004, 47, 4.13 W
2026/09/15 15:05:16.036, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:17.036, 208 MHz, 0x0000000000000004, 46, 4.10 W
2026/09/15 15:05:18.037, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:19.038, 208 MHz, 0x0000000000000004, 46, 4.12 W
2026/09/15 15:05:20.039, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:21.039, 208 MHz, 0x0000000000000004, 46, 4.12 W
2026/09/15 15:05:22.040, 208 MHz, 0x0000000000000000, 46, 4.14 W
2026/09/15 15:05:23.040, 208 MHz, 0x0000000000000004, 46, 4.13 W
2026/09/15 15:05:24.041, 208 MHz, 0x0000000000000000, 46, 4.14 W
2026/09/15 15:05:25.042, 208 MHz, 0x0000000000000004, 46, 4.13 W
2026/09/15 15:05:26.042, 208 MHz, 0x0000000000000000, 46, 4.14 W
2026/09/15 15:05:27.043, 208 MHz, 0x0000000000000004, 46, 4.13 W
2026/09/15 15:05:28.044, 208 MHz, 0x0000000000000000, 46, 4.15 W
2026/09/15 15:05:29.045, 208 MHz, 0x0000000000000004, 46, 4.14 W
2026/09/15 15:05:30.045, 208 MHz, 0x0000000000000000, 46, 4.13 W
2026/09/15 15:05:31.046, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:32.046, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:33.047, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:34.047, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:35.048, 208 MHz, 0x0000000000000004, 46, 4.10 W
2026/09/15 15:05:36.049, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:37.049, 208 MHz, 0x0000000000000004, 46, 4.10 W
2026/09/15 15:05:38.049, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:39.050, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:40.051, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:41.051, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:42.052, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:43.053, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:44.054, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:45.054, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:46.054, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:47.055, 208 MHz, 0x0000000000000004, 46, 4.12 W
2026/09/15 15:05:48.056, 208 MHz, 0x0000000000000000, 46, 4.12 W
2026/09/15 15:05:49.056, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:50.057, 208 MHz, 0x0000000000000000, 46, 4.13 W
2026/09/15 15:05:51.058, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:52.058, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:53.059, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:54.059, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:55.060, 208 MHz, 0x0000000000000004, 46, 4.11 W
2026/09/15 15:05:56.061, 208 MHz, 0x0000000000000000, 46, 4.11 W
2026/09/15 15:05:57.061, 208 MHz, 0x0000000000000004, 46, 4.11 W
