timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 15:03:59.964, 208 MHz, 0x0000000000000004, 49, 4.21 W
2026/09/15 15:04:00.973, 208 MHz, 0x0000000000000000, 49, 4.33 W
2026/09/15 15:04:01.974, 208 MHz, 0x0000000000000004, 49, 4.21 W
2026/09/15 15:04:02.975, 208 MHz, 0x0000000000000000, 49, 4.12 W
2026/09/15 15:04:03.975, 208 MHz, 0x0000000000000004, 49, 4.10 W
2026/09/15 15:04:04.976, 208 MHz, 0x0000000000000000, 49, 4.09 W
2026/09/15 15:04:05.977, 208 MHz, 0x0000000000000004, 49, 4.08 W
2026/09/15 15:04:06.978, 208 MHz, 0x0000000000000000, 49, 4.09 W
2026/09/15 15:04:07.979, 208 MHz, 0x0000000000000004, 48, 4.08 W
2026/09/15 15:04:08.980, 208 MHz, 0x0000000000000000, 48, 4.08 W
2026/09/15 15:04:09.980, 208 MHz, 0x0000000000000004, 48, 4.10 W
2026/09/15 15:04:10.981, 208 MHz, 0x0000000000000000, 48, 4.08 W
2026/09/15 15:04:11.982, 208 MHz, 0x0000000000000004, 48, 4.08 W
2026/09/15 15:04:12.983, 208 MHz, 0x0000000000000000, 48, 4.07 W
2026/09/15 15:04:13.984, 208 MHz, 0x0000000000000004, 48, 4.07 W
2026/09/15 15:04:14.984, 208 MHz, 0x0000000000000000, 48, 4.07 W
2026/09/15 15:04:15.985, 208 MHz, 0x0000000000000004, 48, 4.05 W
2026/09/15 15:04:16.986, 208 MHz, 0x0000000000000000, 48, 4.03 W
2026/09/15 15:04:17.986, 208 MHz, 0x0000000000000004, 48, 4.03 W
2026/09/15 15:04:18.987, 208 MHz, 0x0000000000000000, 48, 4.07 W
2026/09/15 15:04:19.988, 208 MHz, 0x0000000000000004, 48, 4.05 W
2026/09/15 15:04:20.988, 208 MHz, 0x0000000000000000, 48, 4.14 W
2026/09/15 15:04:21.989, 208 MHz, 0x0000000000000004, 48, 4.19 W
2026/09/15 15:04:22.989, 208 MHz, 0x0000000000000000, 48, 4.06 W
2026/09/15 15:04:23.990, 208 MHz, 0x0000000000000004, 48, 4.05 W
2026/09/15 15:04:24.991, 208 MHz, 0x0000000000000000, 48, 4.05 W
2026/09/15 15:04:25.992, 208 MHz, 0x0000000000000004, 48, 4.04 W
2026/09/15 15:04:26.993, 208 MHz, 0x0000000000000000, 48, 4.07 W
2026/09/15 15:04:27.994, 208 MHz, 0x0000000000000004, 48, 4.04 W
2026/09/15 15:04:28.994, 208 MHz, 0x0000000000000000, 48, 4.08 W
2026/09/15 15:04:29.995, 208 MHz, 0x0000000000000004, 47, 4.06 W
2026/09/15 15:04:30.996, 208 MHz, 0x0000000000000000, 47, 4.05 W
2026/09/15 15:04:31.996, 208 MHz, 0x0000000000000004, 47, 4.05 W
2026/09/15 15:04:32.997, 208 MHz, 0x0000000000000000, 47, 4.06 W
2026/09/15 15:04:33.997, 208 MHz, 0x0000000000000004, 47, 4.04 W
2026/09/15 15:04:34.998, 208 MHz, 0x0000000000000000, 47, 4.02 W
2026/09/15 15:04:35.999, 208 MHz, 0x0000000000000004, 47, 4.02 W
2026/09/15 15:04:36.999, 208 MHz, 0x0000000000000000, 47, 4.05 W
2026/09/15 15:04:38.000, 208 MHz, 0x0000000000000004, 47, 4.03 W
2026/09/15 15:04:39.000, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:04:40.001, 208 MHz, 0x0000000000000004, 47, 4.01 W
2026/09/15 15:04:41.001, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:04:42.002, 208 MHz, 0x0000000000000004, 47, 4.01 W
2026/09/15 15:04:43.003, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:04:44.004, 208 MHz, 0x0000000000000004, 47, 4.00 W
2026/09/15 15:04:45.004, 208 MHz, 0x0000000000000000, 47, 4.04 W
2026/09/15 15:04:46.004, 208 MHz, 0x0000000000000004, 47, 4.04 W
2026/09/15 15:04:47.005, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:04:48.006, 208 MHz, 0x0000000000000004, 47, 4.03 W
2026/09/15 15:04:49.006, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:04:50.007, 208 MHz, 0x0000000000000004, 47, 4.05 W
2026/09/15 15:04:51.007, 208 MHz, 0x0000000000000000, 47, 4.04 W
2026/09/15 15:04:52.008, 208 MHz, 0x0000000000000004, 47, 4.02 W
2026/09/15 15:04:53.008, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:04:54.009, 208 MHz, 0x0000000000000004, 47, 4.03 W
2026/09/15 15:04:55.009, 208 MHz, 0x0000000000000000, 47, 4.03 W
2026/09/15 15:04:56.010, 208 MHz, 0x0000000000000004, 47, 4.02 W
2026/09/15 15:04:57.010, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:04:58.011, 208 MHz, 0x0000000000000004, 47, 4.00 W
2026/09/15 15:04:59.012, 208 MHz, 0x0000000000000000, 47, 3.99 W
2026/09/15 15:05:00.012, 208 MHz, 0x0000000000000004, 47, 3.99 W
2026/09/15 15:05:01.012, 208 MHz, 0x0000000000000000, 47, 3.99 W
2026/09/15 15:05:02.013, 208 MHz, 0x0000000000000004, 47, 4.00 W
2026/09/15 15:05:03.014, 208 MHz, 0x0000000000000000, 47, 4.05 W
2026/09/15 15:05:04.015, 208 MHz, 0x0000000000000004, 47, 4.04 W
2026/09/15 15:05:05.015, 208 MHz, 0x0000000000000000, 47, 4.02 W
2026/09/15 15:05:06.015, 208 MHz, 0x0000000000000004, 47, 4.02 W
2026/09/15 15:05:07.016, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:05:08.017, 208 MHz, 0x0000000000000004, 47, 4.02 W
2026/09/15 15:05:09.017, 208 MHz, 0x0000000000000000, 47, 4.02 W
2026/09/15 15:05:10.018, 208 MHz, 0x0000000000000004, 47, 3.99 W
2026/09/15 15:05:11.019, 208 MHz, 0x0000000000000000, 47, 3.99 W
2026/09/15 15:05:12.019, 208 MHz, 0x0000000000000004, 47, 4.00 W
2026/09/15 15:05:13.020, 208 MHz, 0x0000000000000000, 47, 4.01 W
2026/09/15 15:05:14.020, 208 MHz, 0x0000000000000004, 46, 4.00 W
2026/09/15 15:05:15.021, 208 MHz, 0x0000000000000000, 46, 3.97 W
2026/09/15 15:05:16.022, 208 MHz, 0x0000000000000004, 46, 3.97 W
2026/09/15 15:05:17.022, 208 MHz, 0x0000000000000000, 46, 3.97 W
2026/09/15 15:05:18.023, 208 MHz, 0x0000000000000004, 46, 3.97 W
