timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 13:29:30.718, 2411 MHz, 0x0000000000000000, 51, 13.46 W
2026/09/15 13:29:31.726, 2411 MHz, 0x0000000000000000, 51, 13.47 W
2026/09/15 13:29:32.726, 2411 MHz, 0x0000000000000000, 51, 13.45 W
2026/09/15 13:29:33.727, 2411 MHz, 0x0000000000000000, 51, 13.44 W
2026/09/15 13:29:34.728, 2411 MHz, 0x0000000000000000, 51, 13.46 W
2026/09/15 13:29:35.728, 2411 MHz, 0x0000000000000000, 51, 13.42 W
2026/09/15 13:29:36.728, 2411 MHz, 0x0000000000000000, 51, 13.40 W
2026/09/15 13:29:37.728, 2411 MHz, 0x0000000000000000, 51, 13.40 W
2026/09/15 13:29:38.729, 2411 MHz, 0x0000000000000000, 51, 13.43 W
2026/09/15 13:29:39.729, 2411 MHz, 0x0000000000000000, 51, 13.41 W
2026/09/15 13:29:40.729, 2411 MHz, 0x0000000000000000, 51, 13.42 W
2026/09/15 13:29:41.730, 2411 MHz, 0x0000000000000000, 51, 13.47 W
2026/09/15 13:29:42.730, 2411 MHz, 0x0000000000000000, 51, 13.43 W
2026/09/15 13:29:43.731, 2411 MHz, 0x0000000000000000, 51, 13.42 W
2026/09/15 13:29:44.731, 2411 MHz, 0x0000000000000000, 51, 13.41 W
2026/09/15 13:29:45.732, 2411 MHz, 0x0000000000000000, 51, 13.48 W
2026/09/15 13:29:46.732, 2411 MHz, 0x0000000000000000, 51, 13.51 W
2026/09/15 13:29:47.732, 2411 MHz, 0x0000000000000000, 51, 13.46 W
2026/09/15 13:29:48.732, 2411 MHz, 0x0000000000000000, 51, 14.09 W
2026/09/15 13:29:49.732, 2411 MHz, 0x0000000000000000, 51, 14.36 W
2026/09/15 13:29:50.732, 2411 MHz, 0x0000000000000000, 51, 13.90 W
2026/09/15 13:29:51.733, 208 MHz, 0x0000000000000000, 50, 7.73 W
2026/09/15 13:29:52.733, 208 MHz, 0x0000000000000000, 50, 6.30 W
2026/09/15 13:29:53.733, 208 MHz, 0x0000000000000000, 50, 6.30 W
2026/09/15 13:29:54.733, 2411 MHz, 0x0000000000000000, 51, 9.79 W
2026/09/15 13:29:55.734, 2411 MHz, 0x0000000000000000, 51, 13.46 W
2026/09/15 13:29:56.734, 208 MHz, 0x0000000000000000, 50, 7.63 W
2026/09/15 13:29:57.734, 208 MHz, 0x0000000000000000, 50, 6.26 W
2026/09/15 13:29:58.735, 208 MHz, 0x0000000000000000, 50, 6.26 W
2026/09/15 13:29:59.735, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:00.736, 208 MHz, 0x0000000000000004, 50, 5.59 W
2026/09/15 13:30:01.736, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:02.736, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:03.737, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:04.738, 208 MHz, 0x0000000000000000, 50, 5.58 W
2026/09/15 13:30:05.738, 208 MHz, 0x0000000000000004, 50, 5.53 W
2026/09/15 13:30:06.738, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 13:30:07.739, 208 MHz, 0x0000000000000004, 50, 5.54 W
2026/09/15 13:30:08.740, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 13:30:09.741, 208 MHz, 0x0000000000000004, 50, 5.54 W
2026/09/15 13:30:10.741, 208 MHz, 0x0000000000000000, 50, 5.57 W
2026/09/15 13:30:11.742, 208 MHz, 0x0000000000000004, 50, 5.56 W
2026/09/15 13:30:12.742, 208 MHz, 0x0000000000000000, 50, 5.51 W
2026/09/15 13:30:13.743, 208 MHz, 0x0000000000000000, 50, 5.59 W
2026/09/15 13:30:14.743, 208 MHz, 0x0000000000000000, 50, 5.67 W
2026/09/15 13:30:15.743, 208 MHz, 0x0000000000000000, 50, 5.67 W
2026/09/15 13:30:16.744, 208 MHz, 0x0000000000000000, 50, 5.55 W
2026/09/15 13:30:17.744, 208 MHz, 0x0000000000000004, 50, 5.52 W
2026/09/15 13:30:18.744, 208 MHz, 0x0000000000000000, 50, 5.62 W
2026/09/15 13:30:19.745, 208 MHz, 0x0000000000000004, 50, 5.56 W
2026/09/15 13:30:20.745, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:21.745, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:22.746, 208 MHz, 0x0000000000000000, 50, 5.63 W
2026/09/15 13:30:23.746, 208 MHz, 0x0000000000000000, 50, 5.54 W
2026/09/15 13:30:24.747, 208 MHz, 0x0000000000000004, 50, 5.53 W
2026/09/15 13:30:25.747, 208 MHz, 0x0000000000000000, 50, 5.55 W
2026/09/15 13:30:26.747, 208 MHz, 0x0000000000000004, 50, 5.57 W
2026/09/15 13:30:27.748, 208 MHz, 0x0000000000000000, 50, 5.61 W
2026/09/15 13:30:28.748, 208 MHz, 0x0000000000000004, 50, 5.57 W
2026/09/15 13:30:29.749, 208 MHz, 0x0000000000000000, 50, 5.56 W
2026/09/15 13:30:30.749, 208 MHz, 0x0000000000000004, 50, 5.54 W
2026/09/15 13:30:31.750, 208 MHz, 0x0000000000000000, 50, 5.57 W
2026/09/15 13:30:32.750, 208 MHz, 0x0000000000000004, 50, 5.55 W
2026/09/15 13:30:33.750, 208 MHz, 0x0000000000000000, 50, 5.56 W
2026/09/15 13:30:34.751, 208 MHz, 0x0000000000000004, 50, 5.62 W
2026/09/15 13:30:35.752, 208 MHz, 0x0000000000000000, 50, 5.59 W
2026/09/15 13:30:36.752, 201 MHz, 0x0000000000000004, 50, 5.54 W
