timestamp, clocks.current.sm [MHz], clocks_event_reasons.active, temperature.gpu, power.draw [W]
2026/09/15 13:29:30.736, 2398 MHz, 0x0000000000000000, 50, 11.12 W
2026/09/15 13:29:31.745, 2398 MHz, 0x0000000000000000, 50, 11.00 W
2026/09/15 13:29:32.746, 2398 MHz, 0x0000000000000000, 50, 10.94 W
2026/09/15 13:29:33.747, 2398 MHz, 0x0000000000000000, 50, 10.92 W
2026/09/15 13:29:34.747, 2398 MHz, 0x0000000000000000, 50, 10.96 W
2026/09/15 13:29:35.747, 2398 MHz, 0x0000000000000000, 50, 10.94 W
2026/09/15 13:29:36.747, 2398 MHz, 0x0000000000000000, 50, 10.92 W
2026/09/15 13:29:37.747, 2398 MHz, 0x0000000000000000, 50, 10.95 W
2026/09/15 13:29:38.748, 2398 MHz, 0x0000000000000000, 50, 10.95 W
2026/09/15 13:29:39.748, 2398 MHz, 0x0000000000000000, 50, 10.93 W
2026/09/15 13:29:40.748, 2398 MHz, 0x0000000000000000, 50, 11.10 W
2026/09/15 13:29:41.749, 2398 MHz, 0x0000000000000000, 50, 11.22 W
2026/09/15 13:29:42.749, 2398 MHz, 0x0000000000000000, 50, 12.14 W
2026/09/15 13:29:43.750, 2398 MHz, 0x0000000000000000, 50, 11.59 W
2026/09/15 13:29:44.750, 208 MHz, 0x0000000000000000, 49, 5.26 W
2026/09/15 13:29:45.751, 208 MHz, 0x0000000000000000, 49, 4.40 W
2026/09/15 13:29:46.751, 208 MHz, 0x0000000000000000, 49, 4.38 W
2026/09/15 13:29:47.752, 208 MHz, 0x0000000000000000, 49, 3.70 W
2026/09/15 13:29:48.753, 208 MHz, 0x0000000000000004, 49, 3.63 W
2026/09/15 13:29:49.753, 208 MHz, 0x0000000000000000, 49, 3.53 W
2026/09/15 13:29:50.753, 208 MHz, 0x0000000000000004, 49, 3.55 W
2026/09/15 13:29:51.753, 208 MHz, 0x0000000000000000, 48, 3.53 W
2026/09/15 13:29:52.754, 208 MHz, 0x0000000000000004, 48, 3.65 W
2026/09/15 13:29:53.754, 2398 MHz, 0x0000000000000000, 50, 9.38 W
2026/09/15 13:29:54.755, 2262 MHz, 0x0000000000000000, 49, 10.41 W
2026/09/15 13:29:55.756, 208 MHz, 0x0000000000000000, 49, 4.89 W
2026/09/15 13:29:56.756, 208 MHz, 0x0000000000000000, 49, 4.46 W
2026/09/15 13:29:57.757, 208 MHz, 0x0000000000000000, 49, 4.46 W
2026/09/15 13:29:58.757, 208 MHz, 0x0000000000000000, 48, 3.85 W
2026/09/15 13:29:59.758, 208 MHz, 0x0000000000000004, 48, 3.69 W
2026/09/15 13:30:00.758, 208 MHz, 0x0000000000000000, 48, 3.72 W
2026/09/15 13:30:01.758, 208 MHz, 0x0000000000000000, 48, 3.84 W
2026/09/15 13:30:02.759, 214 MHz, 0x0000000000000000, 48, 3.80 W
2026/09/15 13:30:03.759, 208 MHz, 0x0000000000000000, 48, 3.62 W
2026/09/15 13:30:04.759, 208 MHz, 0x0000000000000000, 48, 3.68 W
2026/09/15 13:30:05.759, 208 MHz, 0x0000000000000004, 48, 3.72 W
2026/09/15 13:30:06.760, 201 MHz, 0x0000000000000000, 48, 3.76 W
2026/09/15 13:30:07.760, 214 MHz, 0x0000000000000000, 48, 3.80 W
2026/09/15 13:30:08.761, 208 MHz, 0x0000000000000004, 48, 3.84 W
2026/09/15 13:30:09.761, 208 MHz, 0x0000000000000000, 48, 3.80 W
2026/09/15 13:30:10.762, 208 MHz, 0x0000000000000004, 48, 3.72 W
2026/09/15 13:30:11.762, 208 MHz, 0x0000000000000000, 48, 3.84 W
2026/09/15 13:30:12.763, 214 MHz, 0x0000000000000000, 48, 3.87 W
2026/09/15 13:30:13.763, 208 MHz, 0x0000000000000000, 48, 3.93 W
2026/09/15 13:30:14.764, 208 MHz, 0x0000000000000000, 48, 3.93 W
2026/09/15 13:30:15.764, 208 MHz, 0x0000000000000000, 48, 3.85 W
2026/09/15 13:30:16.765, 208 MHz, 0x0000000000000004, 49, 3.83 W
2026/09/15 13:30:17.765, 208 MHz, 0x0000000000000000, 48, 3.83 W
2026/09/15 13:30:18.766, 208 MHz, 0x0000000000000004, 48, 3.70 W
2026/09/15 13:30:19.766, 208 MHz, 0x0000000000000000, 48, 3.78 W
2026/09/15 13:30:20.767, 208 MHz, 0x0000000000000000, 49, 3.89 W
2026/09/15 13:30:21.767, 208 MHz, 0x0000000000000000, 49, 3.84 W
2026/09/15 13:30:22.767, 208 MHz, 0x0000000000000000, 49, 3.80 W
2026/09/15 13:30:23.768, 208 MHz, 0x0000000000000000, 49, 3.77 W
2026/09/15 13:30:24.768, 208 MHz, 0x0000000000000004, 48, 3.80 W
2026/09/15 13:30:25.769, 208 MHz, 0x0000000000000000, 48, 3.75 W
2026/09/15 13:30:26.769, 208 MHz, 0x0000000000000004, 48, 3.78 W
2026/09/15 13:30:27.770, 208 MHz, 0x0000000000000000, 49, 3.85 W
2026/09/15 13:30:28.771, 208 MHz, 0x0000000000000004, 49, 3.65 W
2026/09/15 13:30:29.772, 208 MHz, 0x0000000000000000, 48, 3.45 W
2026/09/15 13:30:30.772, 208 MHz, 0x0000000000000004, 48, 3.45 W
2026/09/15 13:30:31.773, 208 MHz, 0x0000000000000000, 48, 3.48 W
2026/09/15 13:30:32.774, 208 MHz, 0x0000000000000004, 48, 3.48 W
2026/09/15 13:30:33.775, 208 MHz, 0x0000000000000000, 48, 3.48 W
2026/09/15 13:30:34.776, 214 MHz, 0x0000000000000000, 48, 3.45 W
2026/09/15 13:30:35.776, 208 MHz, 0x0000000000000004, 48, 3.46 W
2026/09/15 13:30:36.777, 208 MHz, 0x0000000000000000, 48, 3.48 W
2026/09/15 13:30:37.778, 208 MHz, 0x0000000000000004, 48, 3.48 W
2026/09/15 13:30:38.778, 208 MHz, 0x0000000000000000, 48, 3.56 W
2026/09/15 13:30:39.779, 208 MHz, 0x0000000000000004, 48, 3.51 W
2026/09/15 13:30:40.779, 208 MHz, 0x0000000000000000, 48, 3.49 W
2026/09/15 13:30:41.780, 208 MHz, 0x0000000000000004, 48, 3.49 W
2026/09/15 13:30:42.780, 208 MHz, 0x0000000000000000, 48, 3.49 W
2026/09/15 13:30:43.781, 208 MHz, 0x0000000000000004, 47, 3.48 W
2026/09/15 13:30:44.782, 208 MHz, 0x0000000000000000, 47, 3.45 W
2026/09/15 13:30:45.783, 208 MHz, 0x0000000000000004, 47, 3.46 W
2026/09/15 13:30:46.783, 208 MHz, 0x0000000000000000, 47, 3.44 W
2026/09/15 13:30:47.784, 201 MHz, 0x0000000000000004, 47, 3.44 W
2026/09/15 13:30:48.784, 728 MHz, 0x0000000000000000, 49, 6.49 W
2026/09/15 13:30:49.784, 2405 MHz, 0x0000000000000000, 49, 11.18 W
2026/09/15 13:30:50.785, 2405 MHz, 0x0000000000000000, 49, 11.30 W
2026/09/15 13:30:51.785, 2405 MHz, 0x0000000000000000, 49, 11.17 W
2026/09/15 13:30:52.785, 2398 MHz, 0x0000000000000000, 49, 11.26 W
2026/09/15 13:30:53.786, 2398 MHz, 0x0000000000000000, 49, 11.34 W
